评分,评论内容,评论时间,商品规格,清洗后评论,分词后评论,来源文件
1,说实话，这个机器一上手是「超出我预期」的。它没有早年间那种“傻大黑粗”的刻板印象。它没有粗边框、用的是正儿八经双曲面，边框算是比较窄，这块 1080P 双曲面 OLED 柔性屏 还有着 3200nits峰值亮度，观感“很不千元机”；周边配置还包括 5800mAh+45W充电、骁龙6Gen3、生活防水、屏下指纹、红外遥控；当然，塑料边框塑料后盖、不支持NFC是肯定的，成本考虑嘛。  用起来怎么样？讲道理，如果不是亲自上手体验尝试，我还真不知道 Note15 用起来会这么流畅（比上一代Note14 5G流畅多了...）果然低端机砍完特效还是可以的。,2026年1月13日,"{'机身颜色': '天青蓝', '存储容量': '6GB+128GB'}",说实话这个机器一上手是超出我预期的它没有早年间那种傻大黑粗的刻板印象它没有粗边框用的是正儿八经双曲面边框算是比较窄这块  双曲面  柔性屏 还有着 峰值亮度观感很不千元机周边配置还包括 充电骁龙生活防水屏下指纹红外遥控当然塑料边框塑料后盖不支持是肯定的成本考虑嘛  用起来怎么样讲道理如果不是亲自上手体验尝试我还真不知道  用起来会这么流畅比上一代 流畅多了果然低端机砍完特效还是可以的,说实话 这个 机器 一上 超出 预期 没有 早年间 那种 傻大黑粗 刻板 印象 没有 边框 正儿八经 双曲面 边框 算是 比较 这块 双曲面 柔性 还有 峰值 亮度 观感 千元 周边 配置 包括 充电 骁龙 生活 防水 屏下 指纹 红外 遥控 当然 塑料 边框 塑料 后盖 支持 肯定 成本 考虑 起来 怎么样 讲道理 如果 不是 亲自 体验 尝试 真不知道 起来 这么 流畅 比上 一代 流畅 果然 低端 机砍 特效 还是 可以,商品8.csv
1,手机收到了，很好呀，发货快没有破损 功能全 很智能,2026年1月27日,"{'机身颜色': '子夜黑', '存储容量': '6GB+128GB'}",手机收到了很好呀发货快没有破损 功能全 很智能,手机 收到 发货 没有 破损 功能 智能,商品8.csv
1,千元机里面性价比高的，红米第一代出来就开始用，现在越来越精进，足够基础使用。5kw像素也够日常拍照，电池🔋充满不打游戏可以用一天。总体上在同价位机型里很抗打。,2026年1月25日,"{'机身颜色': '天青蓝', '存储容量': '8GB+128GB'}",千元机里面性价比高的红米第一代出来就开始用现在越来越精进足够基础使用像素也够日常拍照电池充满不打游戏可以用一天总体上在同价位机型里很抗打,千元 里面 性价比 红米 第一代 出来 开始 现在 越来越 精进 足够 基础 使用 像素 日常 拍照 电池 充满 打游戏 可以 一天 总体 同价位 机型 抗打,商品8.csv
1,这个红米手机还是挺好用的，还挺方便。,2026年3月6日,"{'机身颜色': '天青蓝', '存储容量': '6GB+128GB'}",这个红米手机还是挺好用的还挺方便,这个 红米 手机 还是 挺好用 方便,商品8.csv
1,小米手机质量不错，性价比很高。放在家里备用非常划算。拍照功能强大，待机时间也长。,2026年3月4日,"{'机身颜色': '星辉白', '存储容量': '8GB+128GB'}",小米手机质量不错性价比很高放在家里备用非常划算拍照功能强大待机时间也长,小米 手机 质量 不错 性价比 放在 家里 备用 非常 划算 拍照 功能强大 待机时间,商品8.csv
1,用了几天才来评价，总体感觉不错，值得购买！而且这个红色非常好看，孩子很喜欢！,2026年3月3日,"{'机身颜色': '车厘子红', '存储容量': '8GB+256GB'}",用了几天才来评价总体感觉不错值得购买而且这个红色非常好看孩子很喜欢,几天 评价 总体 感觉 不错 值得 购买 而且 这个 红色 非常 好看 孩子 喜欢,商品8.csv
1,手机运行流畅 ，拍照清楚，性价比高 忠实的米粉。,2026年2月27日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",手机运行流畅 拍照清楚性价比高 忠实的米粉,手机 运行 流畅 拍照 清楚 性价比 忠实 米粉,商品8.csv
1,挺好的，拍照运行流畅，电池也比较大，可以舒舒服服玩好久的手机，推荐买,2026年2月24日,"{'机身颜色': '星辉白', '存储容量': '8GB+256GB'}",挺好的拍照运行流畅电池也比较大可以舒舒服服玩好久的手机推荐买,拍照 运行 流畅 电池 比较 可以 舒舒服服 好久 手机 推荐,商品8.csv
1,手机是新机，过年期间物流快， 通信音质：音量很大，适合老年人,2026年2月19日,"{'机身颜色': '子夜黑', '存储容量': '6GB+128GB'}",手机是新机过年期间物流快 通信音质音量很大适合老年人,手机 新机 过年 期间 物流 通信 音质 音量 很大 适合 老年人,商品8.csv
1,✨子夜黑机身质感超棒，上手高级感满满🌟！8G存储日常使用很流畅，完全符合描述呢😊。拍照效果也很惊喜，色彩还原真实，电池续航也给力👍。总之物超所值，非常满意这次购物体验~,2026年1月6日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",子夜黑机身质感超棒上手高级感满满存储日常使用很流畅完全符合描述呢拍照效果也很惊喜色彩还原真实电池续航也给力总之物超所值非常满意这次购物体验,子夜 机身 质感 超棒 上手 高级 满满 存储 日常 使用 流畅 完全符合 描述 拍照 效果 惊喜 色彩 还原 真实 电池 续航 总之 物超所值 非常 满意 这次 购物 体验,商品8.csv
1,这款REDMI Note 15 5G真的太香了！作为千元机，配置完全超出预期，5G网速嗖嗖的，刷视频、打游戏一点不卡顿。屏幕显示清晰，色彩也舒服，长时间看手机眼睛不累。续航更是惊喜，日常使用一天下来还剩30%的电，充电速度也快。机身轻薄，握感特别好，小米的系统流畅又好用，千元价位能买到这样的机子，性价比直接拉满。,2025年12月31日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",这款   真的太香了作为千元机配置完全超出预期网速嗖嗖的刷视频打游戏一点不卡顿屏幕显示清晰色彩也舒服长时间看手机眼睛不累续航更是惊喜日常使用一天下来还剩的电充电速度也快机身轻薄握感特别好小米的系统流畅又好用千元价位能买到这样的机子性价比直接拉满,真的 太香 作为 千元 配置 完全 超出 预期 网速 嗖嗖 视频 打游戏 一点 不卡顿 屏幕显示 清晰 色彩 舒服 长时间 手机 眼睛 续航 更是 惊喜 日常 使用 一天 下来 充电 速度 机身 轻薄 握感 特别 小米 系统 流畅 千元 价位 这样 机子 性价比 直接 拉满,商品8.csv
1,帮朋友购买的 反馈质量特别好 非常顺畅,2026年1月12日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",帮朋友购买的 反馈质量特别好 非常顺畅,朋友 购买 反馈 质量 特别 非常 顺畅,商品8.csv
1,✨子夜黑配色真的高级感拉满！🌟拿到手比图片还好看，质感超棒～💯存储容量用起来很流畅，完全够用啦！👍描述和实物一模一样，非常满意的一次购物～😊,2026年1月5日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",子夜黑配色真的高级感拉满拿到手比图片还好看质感超棒存储容量用起来很流畅完全够用啦描述和实物一模一样非常满意的一次购物,子夜 配色 真的 高级 感拉满 拿到 手比 图片 好看 质感 超棒 存储容量 起来 流畅 完全 够用 描述 实物 一模一样 非常 满意 一次 购物,商品8.csv
1,物流很快，质量很好，非常满意还会回购的,2026年2月15日,"{'机身颜色': '子夜黑', '存储容量': '6GB+128GB'}",物流很快质量很好非常满意还会回购的,物流 很快 质量 非常 满意 还会 回购,商品8.csv
1,一点都不卡，非常顺畅，打游戏没问题 ,2026年1月27日,"{'机身颜色': '天青蓝', '存储容量': '6GB+128GB'}",一点都不卡非常顺畅打游戏没问题,一点 不卡 非常 顺畅 打游戏 问题,商品8.csv
1,发货快，包装无破损，机身薄，五星好评！质量不错。 ,2026年3月7日,"{'机身颜色': '星辉白', '存储容量': '8GB+128GB'}",发货快包装无破损机身薄五星好评质量不错,发货 包装 破损 机身 五星 好评 质量 不错,商品8.csv
1,用了几天才来评价，总体感觉不错，值得购买！,2026年3月3日,"{'机身颜色': '子夜黑', '存储容量': '8GB+256GB'}",用了几天才来评价总体感觉不错值得购买,几天 评价 总体 感觉 不错 值得 购买,商品8.csv
1,这款手机的屏幕的显示效果超细腻，色彩还原度也高。生活办公使用起来特别方便，续航也很顶，满电用一天办公还剩不少电，轻薄的机身拿着也不累，红米的品控果然没话说，性价比和体验感都绝了！,2025年12月31日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",这款手机的屏幕的显示效果超细腻色彩还原度也高生活办公使用起来特别方便续航也很顶满电用一天办公还剩不少电轻薄的机身拿着也不累红米的品控果然没话说性价比和体验感都绝了,手机 屏幕 显示 效果 细腻 色彩 还原 生活 办公 使用 起来 特别 方便 续航 满电 一天 办公 不少 轻薄 机身 累红米 品控 果然 没话说 性价比 体验 感都绝,商品8.csv
1,买过两个红米的，性价比高，买这个15的更加精进了。只是希望耐用一点，上两个一年就听筒坏了。这个价钱比实体店便宜很多，换机速度几分钟就好。带的手机套和膜特别满意。,2026年2月28日,"{'机身颜色': '子夜黑', '存储容量': '6GB+128GB'}",买过两个红米的性价比高买这个的更加精进了只是希望耐用一点上两个一年就听筒坏了这个价钱比实体店便宜很多换机速度几分钟就好带的手机套和膜特别满意,买过 两个 红米 性价比 高买 这个 更加 精进 只是 希望 耐用 一点 两个 一年 听筒 这个 价钱 实体店 便宜 很多 换机 速度 几分钟 手机套 特别 满意,商品8.csv
1,外观很好看，质量很好，值得购买，物美价廉，！！！品质好 通信音质：👍🏻 其他特色：👍🏻 显示效果：👍🏻 服务👍🏻,2026年1月5日,"{'机身颜色': '车厘子红', '存储容量': '8GB+128GB'}",外观很好看质量很好值得购买物美价廉品质好 通信音质 其他特色 显示效果 服务,外观 好看 质量 值得 购买 物美价廉 品质 通信 音质 其他 特色 显示 效果 服务,商品8.csv
1,货到手了，质量很好，是正品，用了放心！,2026年2月23日,"{'机身颜色': '子夜黑', '存储容量': '8GB+256GB'}",货到手了质量很好是正品用了放心,到手 质量 正品 放心,商品8.csv
1,手机收到了，质量很好，画面清晰，声音大,2026年1月19日,"{'机身颜色': '天青蓝', '存储容量': '8GB+128GB'}",手机收到了质量很好画面清晰声音大,手机 收到 质量 画面 清晰 声音,商品8.csv
1,发货很快。小米手机不错，性价比高。只是为什么NOTE 15比NOTE 13 的内存小一些？,2026年2月13日,"{'机身颜色': '车厘子红', '存储容量': '12GB+256GB'}",发货很快小米手机不错性价比高只是为什么 比  的内存小一些,发货 很快 小米 手机 不错 性价比 只是 为什么 内存 一些,商品8.csv
1,很快就收到了，包装很严实 ，手感挺不错的,2025年12月27日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",很快就收到了包装很严实 手感挺不错的,很快 收到 包装 严实 手感 挺不错,商品8.csv
1,手机收到了，用起来很流畅，物流也很快，会继续回购的,2025年12月27日,"{'机身颜色': '天青蓝', '存储容量': '8GB+128GB'}",手机收到了用起来很流畅物流也很快会继续回购的,手机 收到 起来 流畅 物流 很快 继续 回购,商品8.csv
1,小米，你始终可以信任，下单后第二天就到了，马力全开🎊,2026年2月12日,"{'机身颜色': '星辉白', '存储容量': '12GB+256GB'}",小米你始终可以信任下单后第二天就到了马力全开,小米 始终 可以 信任 下单 第二天 马力 全开,商品8.csv
1,手机运行速度快，不卡顿，比预想中的要好！,2026年1月16日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",手机运行速度快不卡顿比预想中的要好,手机 运行 速度 不卡顿 预想,商品8.csv
1,手机性价比很高。收到包装完好无损。活动价很划算。满意,2026年1月16日,"{'机身颜色': '子夜黑', '存储容量': '6GB+128GB'}",手机性价比很高收到包装完好无损活动价很划算满意,手机 性价比 收到 包装 完好无损 活动 划算 满意,商品8.csv
1,不错不错，物流很快，是正品，，，,2025年12月31日,"{'机身颜色': '天青蓝', '存储容量': '8GB+128GB'}",不错不错物流很快是正品,不错 不错 物流 很快 正品,商品8.csv
1,好用还是可以的手机很好看用起来很流畅,2025年12月30日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",好用还是可以的手机很好看用起来很流畅,好用 还是 可以 手机 好看 起来 流畅,商品8.csv
1,值得购买的机器，物美价廉，加上国补，就是更上一层楼！！！  显示效果：棒👍🏻 其他特色：外观美美哒 通信音质：音量大，跟细腻,2026年1月5日,"{'机身颜色': '星辉白', '存储容量': '8GB+128GB'}",值得购买的机器物美价廉加上国补就是更上一层楼  显示效果棒 其他特色外观美美哒 通信音质音量大跟细腻,值得 购买 机器 物美价廉 加上 国补 就是 更上一层楼 显示 效果 其他 特色 外观 美美 通信 音质 音量 细腻,商品8.csv
1,客服服务非常棒，一直用的红米，性价比很高！发货很快！一如既往的棒，很满意的一次购物,2025年12月24日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",客服服务非常棒一直用的红米性价比很高发货很快一如既往的棒很满意的一次购物,客服 服务 非常 一直 红米 性价比 发货 很快 一如既往 满意 一次 购物,商品8.csv
1,物流很快，给帮朋友买的，看了好久才下单的，确实很好用，很流畅。㊗️商家生意兴隆,2026年1月22日,"{'机身颜色': '天青蓝', '存储容量': '6GB+128GB'}",物流很快给帮朋友买的看了好久才下单的确实很好用很流畅商家生意兴隆,物流 很快 朋友 好久 下单 确实 流畅 商家 生意兴隆,商品8.csv
1,手机很好用流畅不卡顿，妈妈很喜欢，以旧换新补贴到账神速啊，好用还会回购哦，支持小米，支持国货，祝商家生意兴隆财源广进！,2026年3月6日,"{'机身颜色': '天青蓝', '存储容量': '8GB+128GB'}",手机很好用流畅不卡顿妈妈很喜欢以旧换新补贴到账神速啊好用还会回购哦支持小米支持国货祝商家生意兴隆财源广进,手机 流畅 不卡顿 妈妈 喜欢 以旧换新 补贴 神速 回购 支持 小米 支持 国货 商家 生意兴隆 财源 广进,商品8.csv
1,通信音质：满意 其他特色：满意 显示效果：满意,2026年1月4日,"{'机身颜色': '天青蓝', '存储容量': '8GB+128GB'}",通信音质满意 其他特色满意 显示效果满意,通信 音质 满意 其他 特色 满意 显示 效果 满意,商品8.csv
1,手机性能很棒，卖家解答问题及时，物流也超快，是一次愉快的购物体验。,2026年1月21日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",手机性能很棒卖家解答问题及时物流也超快是一次愉快的购物体验,手机 性能 很棒 卖家 解答 问题 及时 物流 超快 一次 愉快 购物 体验,商品8.csv
1,一直给老人买的是红米note系列，两到三年更换一次，界面一样老人不会因为换新手机而不会操作。,2026年3月2日,"{'机身颜色': '星辉白', '存储容量': '12GB+256GB'}",一直给老人买的是红米系列两到三年更换一次界面一样老人不会因为换新手机而不会操作,一直 老人 红米 系列 两到 三年 更换 一次 界面 一样 老人 不会 因为 新手机 不会 操作,商品8.csv
1,物流很快 手机内存也够用一点都不卡拍照很清晰 性价比,2026年1月11日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",物流很快 手机内存也够用一点都不卡拍照很清晰 性价比,物流 很快 手机 内存 够用 一点 不卡 拍照 清晰 性价比,商品8.csv
1,🌟这款手机真的超出预期啦！✨描述和实物完全一致，星辉白颜值超高，拿在手里质感很棒~💯存储容量也够用，日常使用很流畅，推荐给需要换手机的朋友哦~😊,2026年2月28日,"{'机身颜色': '星辉白', '存储容量': '6GB+128GB'}",这款手机真的超出预期啦描述和实物完全一致星辉白颜值超高拿在手里质感很棒存储容量也够用日常使用很流畅推荐给需要换手机的朋友哦,手机 真的 超出 预期 描述 实物 完全一致 星辉 白颜值 超高 手里 质感 很棒 存储容量 够用 日常 使用 流畅 推荐 需要 手机 朋友,商品8.csv
1,入手用了两天。感觉还不错。反应比较灵敏。文件导入比较方便。建议购买。,2026年2月28日,"{'机身颜色': '子夜黑', '存储容量': '12GB+256GB'}",入手用了两天感觉还不错反应比较灵敏文件导入比较方便建议购买,入手 两天 感觉 不错 反应 比较 灵敏 文件 导入 比较 方便 建议 购买,商品8.csv
1,款式喜欢，外观也非常好看，必须赞一个,2025年12月24日,"{'机身颜色': '天青蓝', '存储容量': '8GB+128GB'}",款式喜欢外观也非常好看必须赞一个,款式 喜欢 外观 非常 好看 必须 一个,商品8.csv
1,性价比高，画质好学，不错推荐国产手机,2025年12月24日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",性价比高画质好学不错推荐国产手机,性价比 高画质 好学 不错 推荐 国产手机,商品8.csv
1,物流很快，第二天上午就到手了，包装很好没有损伤，实物与图片上相符，正在使用中，手机配件齐全。👍👍👍👍,2026年1月29日,"{'机身颜色': '子夜黑', '存储容量': '6GB+128GB'}",物流很快第二天上午就到手了包装很好没有损伤实物与图片上相符正在使用中手机配件齐全,物流 很快 第二天 上午 到手 包装 没有 损伤 实物 图片 相符 正在 使用 手机配件 齐全,商品8.csv
1,很好用，老爸简直就是爱不释手乐不思蜀废寝忘食哈哈哈,2026年2月21日,"{'机身颜色': '天青蓝', '存储容量': '6GB+128GB'}",很好用老爸简直就是爱不释手乐不思蜀废寝忘食哈哈哈,老爸 简直 就是 爱不释手 乐不思蜀 废寝忘食 哈哈哈,商品8.csv
1,物流快手机可以 通信音质： 显示效果：很好好用,2026年2月19日,"{'机身颜色': '子夜黑', '存储容量': '6GB+128GB'}",物流快手机可以 通信音质 显示效果很好好用,物流 手机 可以 通信 音质 显示 效果 好好,商品8.csv
1,给家里人买的 性价比好 会一直支持小米的,2026年1月28日,"{'机身颜色': '星辉白', '存储容量': '6GB+128GB'}",给家里人买的 性价比好 会一直支持小米的,家里人 性价比 一直 支持 小米,商品8.csv
1,质量不错，客服也很好，超值 ,2026年1月6日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",质量不错客服也很好超值,质量 不错 客服 超值,商品8.csv
1,收到啦 还不错哦适合给家里老人用,2026年1月6日,"{'机身颜色': '车厘子红', '存储容量': '8GB+128GB'}",收到啦 还不错哦适合给家里老人用,收到 不错 适合 家里 老人,商品8.csv
1,快递盒是小米专用的，下单后很快就到了，手机是全新的，正常千元机的品质。价格很实惠,2025年12月23日,"{'机身颜色': '子夜黑', '存储容量': '8GB+128GB'}",快递盒是小米专用的下单后很快就到了手机是全新的正常千元机的品质价格很实惠,快递 小米 专用 下单 很快 手机 全新 正常 千元 品质 价格 实惠,商品8.csv
