评分,评论内容,评论时间,商品规格,清洗后评论,分词后评论,来源文件
1,我这是在OPPO旗舰店，给家人购买的第三台OPPO手机了，这款特意给女儿购买的，星星粉特别好看，女儿很喜欢，特意购买的大内存和运行内存，反应速度快，存储量大，OPPO手机越来越高大上了，官方还送了OPPO原装蓝牙耳机，音效特别好，蓝牙通话很清晰，小欧客服回复特别快，解答很好，以后需要手机的再来官方旗舰店购买，另外，赶上国补优惠了500元，下次有需要再来购买，祝OPPO手机，越造越好，蒸蒸日上！！！！,2026年1月20日,"{'机身颜色': '星星粉', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",我这是在旗舰店给家人购买的第三台手机了这款特意给女儿购买的星星粉特别好看女儿很喜欢特意购买的大内存和运行内存反应速度快存储量大手机越来越高大上了官方还送了原装蓝牙耳机音效特别好蓝牙通话很清晰小欧客服回复特别快解答很好以后需要手机的再来官方旗舰店购买另外赶上国补优惠了元下次有需要再来购买祝手机越造越好蒸蒸日上,旗舰店 家人 购买 第三台 手机 这款 特意 女儿 购买 星星 特别 好看 女儿 喜欢 特意 购买 内存 运行 内存 反应速度快 存储量 手机 越来越 高大 官方 原装 蓝牙 耳机 音效 特别 蓝牙 通话 清晰 小欧 客服 回复 特别 解答 以后 需要 手机 官方 旗舰店 购买 另外 赶上 国补 优惠 下次 需要 购买 手机 越造 蒸蒸日上,商品4.csv
1,这是第四部oppo手机，我原先的oppo r17用了7年，除了电池不行了以外，其他一切都好，我都不想换，实在是一天充几次电觉得烦了，看到这款reno15觉得不错就买了，颜色也好看，手感也好，就是比r17厚一点，拍照和听歌都还行，我的app很少，除了自带的，就是几个常用的，也不用来追剧和玩大游戏，现在一天充一次电够够的了，充电也超快，没开极速也就半个小时就充好了。送的蓝牙耳机和小音箱都好用，一边看书/练字，一边听歌很惬意。客服也很好，回复很快，有问题及时解决了。🌷🌷,2026年2月11日,"{'机身颜色': '极光蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",这是第四部手机我原先的 用了年除了电池不行了以外其他一切都好我都不想换实在是一天充几次电觉得烦了看到这款觉得不错就买了颜色也好看手感也好就是比厚一点拍照和听歌都还行我的很少除了自带的就是几个常用的也不用来追剧和玩大游戏现在一天充一次电够够的了充电也超快没开极速也就半个小时就充好了送的蓝牙耳机和小音箱都好用一边看书练字一边听歌很惬意客服也很好回复很快有问题及时解决了,这是 第四部 手机 原先 除了 电池 不行 以外 其他 一切 不想 实在 一天 几次 觉得 看到 觉得 不错 颜色 好看 手感 也好 就是 比厚 一点 拍照 听歌 还行 很少 除了 自带 就是 几个 常用 用来 追剧 游戏 现在 一天 一次 电够 充电 超快 没开 极速 半个 小时 充好 蓝牙 耳机 音箱 一边 看书 练字 一边 听歌 惬意 客服 回复 很快 问题 及时 解决,商品4.csv
1,OPPO 手机用了十几年了R系列，Reno11绿色、13白色、这次买的15粉色。比13小一点，手感不错。送的OPPO蓝牙耳机也很好。直播间下单送杯子，大学生送充电宝。会员送音响。到手四件赠品。,2026年1月12日,"{'机身颜色': '星星粉', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",手机用了十几年了系列绿色白色这次买的粉色比小一点手感不错送的蓝牙耳机也很好直播间下单送杯子大学生送充电宝会员送音响到手四件赠品,手机 十几年 系列 绿色 白色 这次 粉色 比小 一点 手感 不错 蓝牙 耳机 直播间 下单 杯子 大学生 充电 会员 音响 到手 四件 赠品,商品4.csv
1,该用户未填写评价内容,2026年2月6日,"{'机身颜色': '极光蓝', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",该用户未填写评价内容,用户 未填写 评价 内容,商品4.csv
1,大小合适，用着手感也很好，颜值很高，就是充电有点慢,2026年3月5日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",大小合适用着手感也很好颜值很高就是充电有点慢,大小 合适 手感 颜值 就是 充电 有点,商品4.csv
1,物流很快，包装十分到位。在星星粉和极光蓝之间纠结，最终选择了极光蓝，拿到手之后实物特别漂亮，尤其是在天气好的情况下通体透蓝超级漂亮，连边框都是淡淡的蓝色，作为一个喜欢蓝色的人来说简直就是天选机！手机大小刚好合适，四周是圆弧边软软糯糯的，外观很好看。使用四五天之后来评价发现手机使用感挺好的，充电也快，上手很快十分流畅。送了很多赠品，耳机是性价比最高的！不错不错很满意此次购物,2026年1月4日,"{'机身颜色': '极光蓝', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",物流很快包装十分到位在星星粉和极光蓝之间纠结最终选择了极光蓝拿到手之后实物特别漂亮尤其是在天气好的情况下通体透蓝超级漂亮连边框都是淡淡的蓝色作为一个喜欢蓝色的人来说简直就是天选机手机大小刚好合适四周是圆弧边软软糯糯的外观很好看使用四五天之后来评价发现手机使用感挺好的充电也快上手很快十分流畅送了很多赠品耳机是性价比最高的不错不错很满意此次购物,物流 很快 包装 十分 到位 星星 极光 之间 纠结 最终 选择 极光 拿到 之后 实物 特别 漂亮 尤其 天气 情况 通体 透蓝 超级 漂亮 边框 淡淡的 蓝色 作为 一个 喜欢 蓝色 来说 简直 就是 选机 手机 大小 刚好 合适 四周 圆弧 软软 外观 好看 使用 四五天 之后 评价 发现 手机 使用 感挺 充电 很快 十分 流畅 很多 赠品 耳机 性价比 最高 不错 不错 满意 此次 购物,商品4.csv
1,很丝滑，就是屏幕小了点，本来想买个大屏幕手机。像素也还可以吗,2026年2月28日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",很丝滑就是屏幕小了点本来想买个大屏幕手机像素也还可以吗,很丝滑 就是 屏幕 本来 想买个 大屏幕 手机 像素 可以,商品4.csv
1,物流很快，包装完好，到货后使用了四天，内存大，感谢客服耐心解答，谢谢，祝厂家生意兴隆！  通信音质：清晰  其他特色：很合适，一只手拿起很好用  显示效果：可以,2026年2月26日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",物流很快包装完好到货后使用了四天内存大感谢客服耐心解答谢谢祝厂家生意兴隆  通信音质清晰  其他特色很合适一只手拿起很好用  显示效果可以,物流 很快 包装 完好 到货 使用 四天 内存 感谢 客服 耐心 解答 谢谢 厂家 生意兴隆 通信 音质 清晰 其他 特色 合适 一只 手拿起 显示 效果 可以,商品4.csv
1,✨商品收到啦，打开包装有点小惊喜呢~ 外观和图片上描述的一样好看，没有色差，做工也挺细致的！💖使用起来很顺手，功能都正常，目前没发现什么问题。物流也挺快的，客服态度也不错，总体来说 ✨开箱瞬间即见品质，星光蝴蝶结配色与渲染图零偏差，工艺细节经得起近距离审视。🎯核心功能运行流畅，响应速度符合预期，未出现异常卡顿。🚚物流时效超出承诺，客服咨询响应及时且专业。真正的价值认同，往往藏在这些无需刻意强调的体验里。很满意啦~😊,2026年2月20日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",商品收到啦打开包装有点小惊喜呢 外观和图片上描述的一样好看没有色差做工也挺细致的使用起来很顺手功能都正常目前没发现什么问题物流也挺快的客服态度也不错总体来说 开箱瞬间即见品质星光蝴蝶结配色与渲染图零偏差工艺细节经得起近距离审视核心功能运行流畅响应速度符合预期未出现异常卡顿物流时效超出承诺客服咨询响应及时且专业真正的价值认同往往藏在这些无需刻意强调的体验里很满意啦,商品 收到 打开 包装 有点 惊喜 外观 图片 描述 一样 好看 没有 色差 做工 细致 使用 起来 顺手 功能 正常 目前 发现 什么 问题 物流 挺快 客服 态度 不错 总体 来说 开箱 瞬间 即见 品质 星光 蝴蝶结 配色 渲染 图零 偏差 工艺 细节 经得起 近距离 审视 核心 功能 运行 流畅 响应速度 符合 预期 出现异常 卡顿 物流 时效 超出 承诺 客服 咨询 响应 及时 专业 真正 价值 认同 往往 这些 无需 刻意 强调 体验 满意,商品4.csv
1,实物手感非常棒，很喜欢，拍照很清晰，运行流畅，送的赠品很多，非常满意的一次购物体验👍👍👍,2026年1月21日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",实物手感非常棒很喜欢拍照很清晰运行流畅送的赠品很多非常满意的一次购物体验,实物 手感 非常 喜欢 拍照 清晰 运行 流畅 赠品 很多 非常 满意 一次 购物 体验,商品4.csv
1,手机外形和苹果的好像啊，拍照清晰，特意买给喜欢拍照的老爸用的。,2026年2月15日,"{'机身颜色': '可露丽棕', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",手机外形和苹果的好像啊拍照清晰特意买给喜欢拍照的老爸用的,手机 外形 苹果 好像 拍照 清晰 特意 喜欢 拍照 老爸,商品4.csv
1,棕色很好看 外观优美 机身轻薄 价格优惠 赠品也很多 系统使用流畅 值得购买  快递是顺丰 到货非常快 客服服务态度良好,2026年1月11日,"{'机身颜色': '可露丽棕', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",棕色很好看 外观优美 机身轻薄 价格优惠 赠品也很多 系统使用流畅 值得购买  快递是顺丰 到货非常快 客服服务态度良好,棕色 好看 外观 优美 机身 轻薄 价格 优惠 赠品 很多 系统 使用 流畅 值得 购买 快递 顺丰 到货 非常 客服 服务态度 良好,商品4.csv
1,给丫头买的手机  外观质感都很好 丫头特别喜欢爱不释手 值得推荐购买,2026年1月27日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",给丫头买的手机  外观质感都很好 丫头特别喜欢爱不释手 值得推荐购买,丫头 手机 外观 质感 丫头 特别 喜欢 爱不释手 值得 推荐 购买,商品4.csv
1,总体表现很不错，外观非常大气漂亮，背部蝴蝶结花纹相当有魅力，很不错，颜值这方面没的说。手感上，女生用刚好适合，单手可以完全操作，系统很丝滑，不错的呢，拍照功能是个重点，非常棒的摄像体验。,2026年1月3日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",总体表现很不错外观非常大气漂亮背部蝴蝶结花纹相当有魅力很不错颜值这方面没的说手感上女生用刚好适合单手可以完全操作系统很丝滑不错的呢拍照功能是个重点非常棒的摄像体验,总体 表现 不错 外观 非常 大气 漂亮 背部 蝴蝶结 花纹 相当 魅力 不错 颜值 这方面 手感 女生 刚好 适合 单手 可以 完全 操作系统 很丝滑 不错 拍照 功能 重点 非常 摄像 体验,商品4.csv
1,送得很快，觉得好看，质量不知道，新手机第一天用不出好不好用。,2026年3月4日,"{'机身颜色': '极光蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",送得很快觉得好看质量不知道新手机第一天用不出好不好用,送得 很快 觉得 好看 质量 知道 新手机 第一天 用不出 好不好,商品4.csv
1,✨刚收到货，打开包装有点小惊喜呢~🤩机身颜色比图片上还好看，星光蝴蝶结设计很别致，拿在手里大小也合适。😊目前用着挺流畅的，希望能一直保持这种状态呀~🌟,2026年3月3日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",刚收到货打开包装有点小惊喜呢机身颜色比图片上还好看星光蝴蝶结设计很别致拿在手里大小也合适目前用着挺流畅的希望能一直保持这种状态呀,收到 打开 包装 有点 惊喜 机身 颜色 图片 好看 星光 蝴蝶结 设计 别致 手里 大小 合适 目前 流畅 希望 一直 保持 这种 状态,商品4.csv
1,这款商品的样式真的非常好看！好好看好好看！像素超级高清！,2026年3月1日,"{'机身颜色': '极光蓝', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",这款商品的样式真的非常好看好好看好好看像素超级高清,商品 样式 真的 非常 好看 好好 看好 好看 像素 超级 高清,商品4.csv
1,发货速度快昨天晚上买点今天中午就到了运行速度都很快希望好用,2026年2月27日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",发货速度快昨天晚上买点今天中午就到了运行速度都很快希望好用,发货 速度 昨天晚上 买点 今天 中午 运行 速度 很快 希望 好用,商品4.csv
1,非常好看的配色，大小合适，手感不错，快递运输快,2026年2月26日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",非常好看的配色大小合适手感不错快递运输快,非常 好看 配色 大小 合适 手感 不错 快递 运输,商品4.csv
0,✨商品颜色和存储容量基本符合描述，整体还算可以。🤔不过目前使用下来没什么特别惊喜的地方，日常用着还行吧。😐就是感觉性价比一般，没有达到预期的惊艳效果。,2026年2月25日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",商品颜色和存储容量基本符合描述整体还算可以不过目前使用下来没什么特别惊喜的地方日常用着还行吧就是感觉性价比一般没有达到预期的惊艳效果,商品 颜色 存储容量 基本 符合 描述 整体 可以 不过 目前 使用 下来 没什么 特别 惊喜 地方 日常 还行 就是 感觉 性价比 一般 没有 达到 预期 惊艳 效果,商品4.csv
1,机器颜值高 摄像功能很棒 尺寸大小正好 除了处理器配置低了一点 关键是女儿喜欢 宋雨琦的钟爱粉,2026年2月25日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",机器颜值高 摄像功能很棒 尺寸大小正好 除了处理器配置低了一点 关键是女儿喜欢 宋雨琦的钟爱粉,机器 颜值 摄像 功能 很棒 尺寸 大小 正好 除了 处理器 配置 一点 关键 女儿 喜欢 宋雨琦 钟爱,商品4.csv
1,挺好的  用oppo用习惯了  就是长得挺像苹果 比reno9pro小了一圈,2026年2月24日,"{'机身颜色': '极光蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",挺好的  用用习惯了  就是长得挺像苹果 比小了一圈,习惯 就是 长得 苹果 比小 一圈,商品4.csv
1,颜值在线，第一部手机也是OPPOReno，但用了太多年真的已经不行了所以想买一部新手机，看来看去还是选择了OPPO划算，因为不玩游戏所以也不太追求高配置但追求拍照好看，所以OPPOReno15这款中端机对我来说足够了，国补用完很优惠，还有赠品,2026年2月22日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",颜值在线第一部手机也是但用了太多年真的已经不行了所以想买一部新手机看来看去还是选择了划算因为不玩游戏所以也不太追求高配置但追求拍照好看所以这款中端机对我来说足够了国补用完很优惠还有赠品,颜值 在线 第一部 手机 多年 真的 已经 不行 所以 一部 新手机 看来看去 还是 选择 划算 因为 玩游戏 所以 追求 配置 追求 拍照 好看 所以 这款 端机 来说 足够 国补用 优惠 还有 赠品,商品4.csv
1,这款手机操作体验极佳，十分顺滑，运行多个应用也不卡顿。外观简约时尚，拍照效果清晰，色彩还原度高。电池续航能力不错，性价比很高，值得入手。之前一直纠结买14还是15，但目前用下来感觉还是挺好的，送的音箱和相机也很方便,2025年12月31日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",这款手机操作体验极佳十分顺滑运行多个应用也不卡顿外观简约时尚拍照效果清晰色彩还原度高电池续航能力不错性价比很高值得入手之前一直纠结买还是但目前用下来感觉还是挺好的送的音箱和相机也很方便,手机 操作 体验 极佳 十分 顺滑 运行 多个 应用 不卡顿 外观 简约 时尚 拍照 效果 清晰 色彩 还原 度高 电池 续航 能力 不错 性价比 值得 入手 之前 一直 纠结 还是 目前 下来 感觉 还是 音箱 相机 方便,商品4.csv
1,✨星光蝴蝶结配色真的太戳我了！💫拿到手比图片还好看，颜值直接拉满～📱机身轻薄手感超舒服，单手操作无压力～⚡️运行速度也很流畅，日常使用完全够用～👍总之这次购物体验超棒，推荐给想换手机的小伙伴！😊,2026年1月11日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",星光蝴蝶结配色真的太戳我了拿到手比图片还好看颜值直接拉满机身轻薄手感超舒服单手操作无压力运行速度也很流畅日常使用完全够用总之这次购物体验超棒推荐给想换手机的小伙伴,星光 蝴蝶结 配色 真的 拿到 手比 图片 好看 颜值 直接 拉满 机身 轻薄 手感 舒服 单手操作 压力 运行 速度 流畅 日常 使用 完全 够用 总之 这次 购物 体验 超棒 推荐 手机 小伙伴,商品4.csv
1,✨手机收到啦，星光蝴蝶结配色真的好温柔～🌟描述和实物完全一致，每个细节都很精致呢～💖拍照也很清晰，日常用着很顺手，满意！😊,2026年1月11日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",手机收到啦星光蝴蝶结配色真的好温柔描述和实物完全一致每个细节都很精致呢拍照也很清晰日常用着很顺手满意,手机 收到 星光 蝴蝶结 配色 真的 温柔 描述 实物 完全一致 每个 细节 精致 拍照 清晰 日常 顺手 满意,商品4.csv
1,特别特别喜欢！很好用啊！不管是新出的功能还是外观！赠品也都很好哈哈哈哈，什么都是假的，只有我的 reno 15 是真的！！,2026年1月11日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",特别特别喜欢很好用啊不管是新出的功能还是外观赠品也都很好哈哈哈哈什么都是假的只有我的   是真的,特别 特别 喜欢 不管 新出 功能 还是 外观 赠品 哈哈哈哈 什么 只有 真的,商品4.csv
1,✨颜值真的没话说，星光蝴蝶结配色太戳我了，本来想买粉色的但是没库存了，买了白色发现很百搭！🎀上手使用特别流畅，日常刷视频、聊天一点不卡顿。🎁还送了好多礼品，快递也超给力，隔天就收到了，体验感满分！💯,2026年2月13日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",颜值真的没话说星光蝴蝶结配色太戳我了本来想买粉色的但是没库存了买了白色发现很百搭上手使用特别流畅日常刷视频聊天一点不卡顿还送了好多礼品快递也超给力隔天就收到了体验感满分,颜值 真的 没话说 星光 蝴蝶结 配色 本来 粉色 但是 库存 白色 发现 很百搭上 使用 特别 流畅 日常 视频 聊天 一点 不卡顿 好多 礼品 快递 超给力 隔天 收到 体验 满分,商品4.csv
1,手机颜值很高！这种蓝色不会很突兀，而且手机用着很顺滑，也不会卡顿，买来当备用机的，很不错！,2025年12月29日,"{'机身颜色': '极光蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",手机颜值很高这种蓝色不会很突兀而且手机用着很顺滑也不会卡顿买来当备用机的很不错,手机 颜值 这种 蓝色 不会 突兀 而且 手机 顺滑 不会 卡顿 买来 备用机 不错,商品4.csv
1,OPPO Reno15星光白的颜值真的没话说，贝母般的光泽搭配全息纹理，拿在手里辨识度超高。机身轻薄便携，小包包也能轻松装下。影像表现超出预期，2亿像素拍风景细节拉满，夜间拍摄也不会过曝。系统运行丝滑，刷视频、玩小游戏毫无压力，客服态度好，物流也快，真心推荐！,2025年12月29日,"{'机身颜色': '星光蝴蝶结', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",星光白的颜值真的没话说贝母般的光泽搭配全息纹理拿在手里辨识度超高机身轻薄便携小包包也能轻松装下影像表现超出预期亿像素拍风景细节拉满夜间拍摄也不会过曝系统运行丝滑刷视频玩小游戏毫无压力客服态度好物流也快真心推荐,星光 颜值 真的 没话说 贝母 般的 光泽 搭配 全息 纹理 手里 辨识 超高 机身 轻薄 便携 小包 轻松 影像 表现 超出 预期 像素 风景 细节 拉满 夜间 拍摄 不会 系统 运行 丝滑刷 视频 小游戏 毫无 压力 客服 态度 物流 真心 推荐,商品4.csv
1,"也是赶上2026年的国补了，再叠加淘宝的消费券，共优惠了五百多。中度使用了七小时，屏幕顺滑，电量还剩6成，再也不用带充电器出门了👏（本人不打游戏，就拍拍照刷刷视频看看微博）。之前用的是reno5,五年了，除了电量有点捉急，拍照📸没有长焦没有实况，系统微微有点卡之外还是能用的。幸好没有入手reno1314,这台reno15极光蓝颜值太高啦！大小刚好。目前一定要我挑点毛病的话，就是卡槽的缝隙不均匀😭",2026年1月3日,"{'机身颜色': '极光蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",也是赶上年的国补了再叠加淘宝的消费券共优惠了五百多中度使用了七小时屏幕顺滑电量还剩成再也不用带充电器出门了本人不打游戏就拍拍照刷刷视频看看微博之前用的是五年了除了电量有点捉急拍照没有长焦没有实况系统微微有点卡之外还是能用的幸好没有入手这台极光蓝颜值太高啦大小刚好目前一定要我挑点毛病的话就是卡槽的缝隙不均匀,赶上 国补 叠加 淘宝 消费 券共 优惠 五百多 中度 使用 小时 屏幕 顺滑 电量 剩成 再也 不用 充电器 出门 本人 打游戏 拍拍 刷刷 视频 看看 微博 之前 五年 除了 电量 有点 捉急 拍照 没有 长焦 没有 实况 系统 微微 有点 之外 还是 能用 幸好 没有 入手 这台 极光 蓝颜值 太高 大小 刚好 目前 一定 挑点 毛病 的话 就是 卡槽 缝隙 均匀,商品4.csv
1,收到货啦，不错，物流挺快的，服务也很好，送货员也挺不错，很有礼貌，拍照很清晰，像素很好。,2026年1月9日,"{'机身颜色': '极光蓝', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",收到货啦不错物流挺快的服务也很好送货员也挺不错很有礼貌拍照很清晰像素很好,收到 不错 物流 挺快 服务 送货员 挺不错 礼貌 拍照 清晰 像素,商品4.csv
