评论,分数,产品,名字,评论ID,清洗后评论,分词后评论,来源文件
"外形外观：漂亮(⁎⁍̴̛ᴗ⁍̴̛⁎)
屏幕音效：非常推荐
拍照效果：清晰
运行速度：很快
待机时间：待机时间长了
其他特色：性价比很高👍",5,已购 月岩白 12GB+256GB,m***4,10,"外形外观漂亮
屏幕音效非常推荐
拍照效果清晰
运行速度很快
待机时间待机时间长了
其他特色性价比很高",外形 外观 漂亮 屏幕 音效 非常 推荐 拍照 效果 清晰 运行 速度 很快 待机时间 待机时间 其他 特色 性价比,商品3.csv
外放声音还行，阳光下能看得清，操作很顺畅，自拍也还行，属大众水平。外观也不错。电池也够用。,5,已购 砂岩灰 12GB+256GB,股出神,11,外放声音还行阳光下能看得清操作很顺畅自拍也还行属大众水平外观也不错电池也够用,外放 声音 阳光 下能 看得清 操作 顺畅 自拍 行属 大众 水平 外观 不错 电池 够用,商品3.csv
手机待机时间长，操作很流畅，自拍很好看，120瓦的充电速度杠杠的。澎湃os3系统还不错。5星好评。,5,已购 砂岩灰 12GB+512GB,南***5,12,手机待机时间长操作很流畅自拍很好看瓦的充电速度杠杠的澎湃系统还不错星好评,手机 待机时间 操作 流畅 自拍 好看 充电 速度 杠杠 澎湃 系统 不错 好评,商品3.csv
手机质感杠杠的，至尊版比普通版质感强多了，手机用起来不卡，多个程序，玩王者都不卡。很不错！,5,已购 云杉绿 16GB+512GB,小晨晨你懂我,13,手机质感杠杠的至尊版比普通版质感强多了手机用起来不卡多个程序玩王者都不卡很不错,手机 质感 杠杠 至尊版 普通 质感 强多 手机 起来 不卡 多个 程序 王者 不卡 不错,商品3.csv
"终于换上新手机啦，很好用，刷刷的来！
红米k80至尊版性能就是顶呱呱
外形外观：时尚性能还好",5,已购 月岩白 12GB+256GB,jd_CtPDBLYWdFZl,14,"终于换上新手机啦很好用刷刷的来
红米至尊版性能就是顶呱呱
外形外观时尚性能还好",终于 换上 新手机 刷刷 红米 至尊版 性能 就是 顶呱呱 外形 外观 时尚 性能 还好,商品3.csv
电池容量大待机时间还可以，使用起来也很流畅。外观看着很舒服，手感很好。整体来说很满意。,5,已购 云杉绿 16GB+256GB,jd_570397593,15,电池容量大待机时间还可以使用起来也很流畅外观看着很舒服手感很好整体来说很满意,电池容量 待机时间 可以 使用 起来 流畅 外观 看着 舒服 手感 整体 来说 满意,商品3.csv
手机很漂亮，显示清晰，运行流畅，电池大充电速度很快，拍照也是很不错的，价钱很便宜，性价比很高啊。,5,已购 砂岩灰 12GB+256GB,m08b1v41bexp13,16,手机很漂亮显示清晰运行流畅电池大充电速度很快拍照也是很不错的价钱很便宜性价比很高啊,手机 很漂亮 显示 清晰 运行 流畅 电池 充电 速度 很快 拍照 不错 价钱 便宜 性价比,商品3.csv
四曲包裹金属中框，手感舒适抗造，系统运行流畅不卡顿，拍照效果很不错，夜景也很清晰。,5,已购 砂岩灰 12GB+256GB,春***1,17,四曲包裹金属中框手感舒适抗造系统运行流畅不卡顿拍照效果很不错夜景也很清晰,四曲 包裹 金属 中框 手感 舒适 抗造 系统 运行 流畅 不卡顿 拍照 效果 不错 夜景 清晰,商品3.csv
太值了，性能强，续航顶，拍照清晰，价格还香，用着顺手，推荐入手，而且电池抗用，一天无压力,5,已购 云杉绿 12GB+256GB,水***糖,18,太值了性能强续航顶拍照清晰价格还香用着顺手推荐入手而且电池抗用一天无压力,太值 性能 续航 拍照 清晰 价格 香用 顺手 推荐 入手 而且 电池 抗用 一天 压力,商品3.csv
"已经是第三次买小米手机了。
这款挺棒的，待机速度非常的持久。功能也挺齐全的，使用感受良好。",5,已购 冰锋蓝 16GB+512GB,甜甜我的最爱,19,"已经是第三次买小米手机了
这款挺棒的待机速度非常的持久功能也挺齐全的使用感受良好",已经 第三次 小米 手机 挺棒 待机 速度 非常 持久 功能 齐全 使用 感受 良好,商品3.csv
白色的颜值很高，不带手机壳挺好看，更重要的是性能很不错，打游戏一点儿不卡，电池续航也足够日常使用,5,已购 月岩白 12GB+256GB,水***糖,20,白色的颜值很高不带手机壳挺好看更重要的是性能很不错打游戏一点儿不卡电池续航也足够日常使用,白色 颜值 高不带 手机 好看 重要 性能 不错 打游戏 一点儿 不卡 电池 续航 足够 日常 使用,商品3.csv
手机质感舒适，屏幕清晰细腻；电池容量大，日常使用一天一充毫无压力，拍照色彩自然；系统流畅,5,已购 云杉绿 12GB+512GB,Y***T,21,手机质感舒适屏幕清晰细腻电池容量大日常使用一天一充毫无压力拍照色彩自然系统流畅,手机 质感 舒适 屏幕 清晰 细腻 电池容量 日常 使用 一天 一充 毫无 压力 拍照 色彩 自然 系统 流畅,商品3.csv
一直买至尊版 好用  上一个好像是70屏幕干碎了 换这个新的也不错，拍照也很清晰，不错,5,已购 砂岩灰 12GB+256GB,卿卿负相思,22,一直买至尊版 好用  上一个好像是屏幕干碎了 换这个新的也不错拍照也很清晰不错,一直 至尊版 好用 一个 好像 屏幕 干碎 这个 不错 拍照 清晰 不错,商品3.csv
手机确实很好用，屏幕够大，触屏也很灵敏，大小非常合适，质量很好，使用感特别的舒服,5,已购 月岩白 12GB+256GB,清风轻云1972,23,手机确实很好用屏幕够大触屏也很灵敏大小非常合适质量很好使用感特别的舒服,手机 确实 屏幕 大触 灵敏 大小 非常 合适 质量 使用 特别 舒服,商品3.csv
物流速度快，性价比超高，比实体店便宜，充电速度快，声音品质高，运行速度很快，本想当备用机,5,已购 砂岩灰 16GB+512GB,芳妮蒽,24,物流速度快性价比超高比实体店便宜充电速度快声音品质高运行速度很快本想当备用机,物流 速度 性价比 超高 实体店 便宜 充电 速度 声音 品质 运行 速度 很快 本想 备用机,商品3.csv
给老妈买的手机，用着很流畅，电池也够耐用，妈妈很开心，长辈使用方便，系统流畅，很不错。,5,已购 月岩白 12GB+256GB,j***h,25,给老妈买的手机用着很流畅电池也够耐用妈妈很开心长辈使用方便系统流畅很不错,老妈 手机 流畅 电池 耐用 妈妈 开心 长辈 使用方便 系统 流畅 不错,商品3.csv
首先运行很流畅。以前用的k10，换了k80简直丝滑的不要不要的，其次屏幕很大，手小的握持感会吃力。,5,已购 月岩白 12GB+256GB,向***丶,26,首先运行很流畅以前用的换了简直丝滑的不要不要的其次屏幕很大手小的握持感会吃力,首先 运行 流畅 以前 简直 丝滑 不要 不要 其次 屏幕 很大 手小 握持 感会 吃力,商品3.csv
手机性能很不错，内存大打游戏丝滑流畅，不发热而且电池超耐用，屏幕显示清晰户外看也不反光,5,已购 月岩白 12GB+256GB,36r4g4tltk9e0u,27,手机性能很不错内存大打游戏丝滑流畅不发热而且电池超耐用屏幕显示清晰户外看也不反光,手机 性能 不错 内存 打游戏 丝滑 流畅 发热 而且 电池 耐用 屏幕显示 清晰 户外 反光,商品3.csv
手机质感不错，这个价格很划算 ，很高级的感觉，拍照也清晰，音质也好，打游戏也不卡。,5,已购 月岩白 12GB+256GB,小黄1呀,28,手机质感不错这个价格很划算 很高级的感觉拍照也清晰音质也好打游戏也不卡,手机 质感 不错 这个 价格 划算 高级 感觉 拍照 清晰 音质 也好 打游戏 不卡,商品3.csv
K80至尊版颜值在线，手感顺滑✨；拍照清晰，性能强劲⚡；物流超快，包装完好📦。整体体验满分，值得入手！👍📱💖💖,5,已购 砂岩灰 12GB+256GB,j***0,29,至尊版颜值在线手感顺滑拍照清晰性能强劲物流超快包装完好整体体验满分值得入手,至尊版 颜值 在线 手感 顺滑 拍照 清晰 性能 强劲 物流 超快 包装 完好 整体 体验 满分 值得 入手,商品3.csv
不错，给老人买的。标着刷镜眼，睛个视频，看个短信，打个电话，戳戳有余。屏幕也不小,5,已购 砂岩灰 16GB+256GB,k0rpi8lznl97zn,30,不错给老人买的标着刷镜眼睛个视频看个短信打个电话戳戳有余屏幕也不小,不错 老人 标着 刷镜 眼睛 视频 看个 短信 打个 电话 戳戳 有余 屏幕 不小,商品3.csv
买到了天马屏，感觉还好吧，就是拍照不怎么样，其他地方挺好的，为了续航和游戏买的，能满足预期需求,5,已购 冰锋蓝 12GB+512GB,揽明月摘星星,31,买到了天马屏感觉还好吧就是拍照不怎么样其他地方挺好的为了续航和游戏买的能满足预期需求,买到 天马 感觉 还好 就是 拍照 不怎么样 其他 地方 为了 续航 游戏 满足 预期 需求,商品3.csv
手机总体还是可以的，续航长，不会很重，除了刚开始用的时候自动重启了几次，其他都满意,5,已购 砂岩灰 16GB+512GB,赚钱买大别野啊,32,手机总体还是可以的续航长不会很重除了刚开始用的时候自动重启了几次其他都满意,手机 总体 还是 可以 续航 不会 除了 开始 时候 自动 重启 几次 其他 满意,商品3.csv
手机很好，样子漂亮，性能顶尖。很喜欢，2000元左右性价比最高的手机，没有之一。闭眼入。,5,已购 冰锋蓝 12GB+256GB,达达鞋,33,手机很好样子漂亮性能顶尖很喜欢元左右性价比最高的手机没有之一闭眼入,手机 样子 漂亮 性能 顶尖 喜欢 左右 性价比 最高 手机 没有 之一 闭眼,商品3.csv
手机性能很好，系统操作起来很流畅，用了一段用后时间了，没有什么质量问题，玩游戏也很流畅,5,已购 月岩白 12GB+256GB,u***u,34,手机性能很好系统操作起来很流畅用了一段用后时间了没有什么质量问题玩游戏也很流畅,手机 性能 系统 操作 起来 流畅 一段 用后 时间 没有 什么 质量 问题 玩游戏 流畅,商品3.csv
很好用，音响很好，超级OK，手机质感也很不错，这个手机的形状看起来也非常好看！我很喜欢！,5,已购 月岩白 16GB+512GB,jd_ak1z10i7x6guhg,35,很好用音响很好超级手机质感也很不错这个手机的形状看起来也非常好看我很喜欢,音响 超级 手机 质感 不错 这个 手机 形状 看起来 非常 好看 喜欢,商品3.csv
看了很久的红米k80至尊版，这次双十二终于入手了，操作起来顺滑，外观也挺喜欢的，就是拍照有点偏黄。,5,已购 月岩白 16GB+1T,半***-,36,看了很久的红米至尊版这次双十二终于入手了操作起来顺滑外观也挺喜欢的就是拍照有点偏黄,红米 至尊版 这次 十二 终于 入手 操作 起来 顺滑 外观 喜欢 就是 拍照 有点 偏黄,商品3.csv
用了这么久，好用，没什么问题！拍照清晰，充电很快！软件启动也很快！服务态度很好，物流也很快！,5,已购 冰锋蓝 12GB+512GB,嬡小兔,37,用了这么久好用没什么问题拍照清晰充电很快软件启动也很快服务态度很好物流也很快,这么久 好用 没什么 问题 拍照 清晰 充电 很快 软件 启动 很快 服务态度 物流 很快,商品3.csv
用了一段时间了，还是挺不错的，双十一有活动，价格优惠不少了，性能还是可以的，日常使用完全没问题。,5,已购 冰锋蓝 16GB+512GB,l***5,38,用了一段时间了还是挺不错的双十一有活动价格优惠不少了性能还是可以的日常使用完全没问题,一段时间 还是 挺不错 双十 一有 活动 价格 优惠 不少 性能 还是 可以 日常 使用 完全 问题,商品3.csv
手机收到了，质量很好，物流也很快，一直用小米手机，这款性价比超高，操作流畅，屏幕也大,5,已购 月岩白 12GB+256GB,5***5,39,手机收到了质量很好物流也很快一直用小米手机这款性价比超高操作流畅屏幕也大,手机 收到 质量 物流 很快 一直 小米 手机 性价比 超高 操作 流畅 屏幕,商品3.csv
"这款手机太值了！颜值超高，手感顺滑，拿在手里特
别舒服。屏幕显示清晰，色彩饱满，看视频超爽。性
能也很能打，玩游戏、刷视频都不卡顿，续航更是惊
喜，充一次用一天妥妥的。拍照效果惊艳，无论白天黑夜都能拍出高清大片感。客服态度好，物流快，总之性价比拉满，强烈推荐！",5,已购 樱花金 12GB+256GB,jd_180128yaj,40,"这款手机太值了颜值超高手感顺滑拿在手里特
别舒服屏幕显示清晰色彩饱满看视频超爽性
能也很能打玩游戏刷视频都不卡顿续航更是惊
喜充一次用一天妥妥的拍照效果惊艳无论白天黑夜都能拍出高清大片感客服态度好物流快总之性价比拉满强烈推荐",手机 太值 颜值 超高 手感 顺滑 手里 舒服 屏幕显示 清晰 色彩 饱满 视频 超爽 玩游戏 视频 不卡顿 续航 更是 喜充 一次 一天 妥妥 拍照 效果 惊艳 无论 白天黑夜 拍出 高清 大片 客服 态度 物流 总之 性价比 拉满 强烈推荐,商品3.csv
"拍照效果：可以，像素高，画质清晰。
外形外观：菱角分明，手感不错。
运行速度：打开程序很快，运营流畅。
待机时间：待机时间特久。",5,已购 樱花金 12GB+256GB,jd_t4y8jwph9dify3,41,"拍照效果可以像素高画质清晰
外形外观菱角分明手感不错
运行速度打开程序很快运营流畅
待机时间待机时间特久",拍照 效果 可以 像素 高画质 清晰 外形 外观 菱角 分明 手感 不错 运行 速度 打开 程序 很快 运营 流畅 待机时间 待机时间 特久,商品3.csv
这款手机给我带来了非常好的使用体验。它的外观设计简洁大气，手感舒适。功能方面，非常齐全，无论是娱乐还是工作都能满足我的需求。性价比非常高，值得购买！,5,已购 白色 16GB+512GB,婷***-,42,这款手机给我带来了非常好的使用体验它的外观设计简洁大气手感舒适功能方面非常齐全无论是娱乐还是工作都能满足我的需求性价比非常高值得购买,手机 带来 非常 使用 体验 外观设计 简洁 大气 手感 舒适 功能 方面 非常 齐全 无论是 娱乐 还是 工作 满足 需求 性价比 非常 值得 购买,商品3.csv
"外形外观：好看播放音乐摄像头还有灯光
运行速度：很快
待机时间：玩了4把王者还有70多电量
屏幕音效：阳光下很清晰 外放音乐声音也大",5,已购 樱花金 16GB+512GB,龙涎香草,43,"外形外观好看播放音乐摄像头还有灯光
运行速度很快
待机时间玩了把王者还有多电量
屏幕音效阳光下很清晰 外放音乐声音也大",外形 外观 好看 播放 音乐 摄像头 还有 灯光 运行 速度 很快 待机时间 王者 还有 电量 屏幕 音效 阳光 清晰 外放 音乐 声音,商品3.csv
使用了一段时间才来评价，90W快充很快充满，续航能力能很强，系统很流畅，玩游戏也很流畅，画质还很好，发电池很好，闭眼入,5,已购 白色 12GB+256GB,jd_il02903oq7j4c2,44,使用了一段时间才来评价快充很快充满续航能力能很强系统很流畅玩游戏也很流畅画质还很好发电池很好闭眼入,使用 一段时间 评价 快充 很快 充满 续航 能力 系统 流畅 玩游戏 流畅 画质 好发 电池 闭眼,商品3.csv
红米turbo4 pro颜值很高，选了我最喜欢的白色。大电池续航超强，出门再也不用担心没电了。看剧玩游戏是一点都不卡顿。这样的配置一千多到手，性价比超高,5,已购 白色 12GB+256GB,u_84nuhdh1r79a,45,红米 颜值很高选了我最喜欢的白色大电池续航超强出门再也不用担心没电了看剧玩游戏是一点都不卡顿这样的配置一千多到手性价比超高,红米 颜值 高选 喜欢 白色 电池 续航 超强 出门 再也 不用 担心 没电 看剧 玩游戏 一点 不卡顿 这样 配置 一千多 到手 性价比 超高,商品3.csv
这款手机质量很棒，运行流畅，拍照清晰。描述与实物完全相符，没有夸大。物流速度快，下单不久就收到。客服服务周到，性价比超高，很满意。,5,已购 白色 12GB+256GB,hh7881,46,这款手机质量很棒运行流畅拍照清晰描述与实物完全相符没有夸大物流速度快下单不久就收到客服服务周到性价比超高很满意,手机 质量 很棒 运行 流畅 拍照 清晰 描述 实物 完全 相符 没有 夸大 物流 速度 下单 不久 收到 客服 服务周到 性价比 超高 满意,商品3.csv
手机到了。打开看颜值不错。手机系统非常流畅，功能齐全。老婆喜欢，手机屏幕色彩很鲜艳。软件都启动的很快，棒棒哒！,5,已购 黑色 12GB+256GB,p***7,47,手机到了打开看颜值不错手机系统非常流畅功能齐全老婆喜欢手机屏幕色彩很鲜艳软件都启动的很快棒棒哒,手机 打开 看颜值 不错 手机 系统 非常 流畅 功能齐全 老婆 喜欢 手机 屏幕 色彩 鲜艳 软件 启动 很快 棒棒,商品3.csv
手机颜值高手感也不错，用起来很流畅一点也不卡顿，拍照像素清晰，续航也不错，整体体验超级棒，物超所值。,5,已购 白色 12GB+256GB,jd_zs9h0bte984pof,48,手机颜值高手感也不错用起来很流畅一点也不卡顿拍照像素清晰续航也不错整体体验超级棒物超所值,手机 颜值 高手 不错 起来 流畅 一点 不卡顿 拍照 像素 清晰 续航 不错 整体 体验 超级 物超所值,商品3.csv
"运行非常流畅，无论是刷信息流、看视频还是轻度游戏，都丝般顺滑。屏幕显示效果出色，色彩鲜艳，亮度足够，看起来很舒服。拍照效果令人满意，日常记录生活绰绰有余。电池续航持久,满足一天使用无压力。整体非常满意!",5,已购 黑色 12GB+256GB,jd_85909nt2jx9r4p,49,运行非常流畅无论是刷信息流看视频还是轻度游戏都丝般顺滑屏幕显示效果出色色彩鲜艳亮度足够看起来很舒服拍照效果令人满意日常记录生活绰绰有余电池续航持久满足一天使用无压力整体非常满意,运行 非常 流畅 无论是 信息流 视频 还是 轻度 游戏 丝般 顺滑 屏幕显示 效果 出色 色彩鲜艳 亮度 足够 看起来 舒服 拍照 效果 令人满意 日常 记录 生活 绰绰有余 电池 续航 持久 满足 一天 使用 压力 整体 非常 满意,商品3.csv
手机收到完好，与描述完全一致，质量没的说，颜色外观都是我喜欢的，用起来不卡不盾很流畅，画面清晰，音质也好，发货快服务也热情，价格也实惠，总之非常非常满意！,5,已购 黑色 12GB+256GB,4425温馨达叔,50,手机收到完好与描述完全一致质量没的说颜色外观都是我喜欢的用起来不卡不盾很流畅画面清晰音质也好发货快服务也热情价格也实惠总之非常非常满意,手机 收到 完好 描述 完全一致 质量 颜色 外观 喜欢 起来 不卡 不盾 流畅 画面 清晰 音质 也好 发货 服务 热情 价格 实惠 总之 非常 非常 满意,商品3.csv
充电很快！比我之前的老机子快一倍！而且功能齐全！内存很大！应该不会出现游戏闪退的现象了吧！,5,已购 黑色 16GB+512GB,玥***乐,51,充电很快比我之前的老机子快一倍而且功能齐全内存很大应该不会出现游戏闪退的现象了吧,充电 很快 之前 机子 一倍 而且 功能齐全 内存 很大 应该 不会 出现 游戏 闪退 现象,商品3.csv
感觉外放声音没有红米K40大,5,已购 黑色 16GB+512GB,jd_a23jx0slc68wro,52,感觉外放声音没有红米大,感觉 外放 声音 没有 红米,商品3.csv
商家发货很快，但是有我一点不满意，为什么商家发货包装那么差呀？ 就这个样子，快递员问我这个是什么，我说是手机，他说手机这样包装很容易摔坏的，我觉得也是的，毕竟这个也是很容易摔坏的吗,5,已购 黑色 16GB+512GB,K***a,53,商家发货很快但是有我一点不满意为什么商家发货包装那么差呀 就这个样子快递员问我这个是什么我说是手机他说手机这样包装很容易摔坏的我觉得也是的毕竟这个也是很容易摔坏的吗,商家 发货 很快 但是 一点 满意 为什么 商家 发货 包装 那么 这个 样子 快递 这个 什么 手机 手机 这样 包装 容易 摔坏 觉得 毕竟 这个 容易 摔坏,商品3.csv
等了有小半年了，双11期间总算降价了，连同室友几位一起拼单买了，收到后感觉还挺不错的，操作非常的顺畅，游戏体验非常棒,5,已购 黑色 12GB+256GB,f***w,54,等了有小半年了双期间总算降价了连同室友几位一起拼单买了收到后感觉还挺不错的操作非常的顺畅游戏体验非常棒,半年 期间 总算 降价 连同 室友 几位 一起 单买 收到 感觉 挺不错 操作 非常 顺畅 游戏 体验 非常,商品3.csv
正品店铺，放心购买，手机做工精细，直接很好，客服态度也很OK，整个购物过程非常顺利！下次还会再来的！,5,已购 黑色 12GB+256GB,jd_170767fsm,55,正品店铺放心购买手机做工精细直接很好客服态度也很整个购物过程非常顺利下次还会再来的,正品 店铺 放心 购买 手机 做工 精细 直接 客服 态度 整个 购物 过程 非常 顺利 下次 还会,商品3.csv
"比较了很长一段时间，包括机型还有价格，最终选择了这一款。目前看来算是买在近期比较优惠的价格上面。
这个机子的外观我非常的满意，金属边框非常有当年苹果的感觉。机子运行非常的顺畅，电池也很耐用，目前看撑个两天没什么问题，当然这跟我目前还没有深度使用可能也有点关系。
整体来说，我可以给这个机子打满分。",5,已购 白色 12GB+512GB,s***2,56,"比较了很长一段时间包括机型还有价格最终选择了这一款目前看来算是买在近期比较优惠的价格上面
这个机子的外观我非常的满意金属边框非常有当年苹果的感觉机子运行非常的顺畅电池也很耐用目前看撑个两天没什么问题当然这跟我目前还没有深度使用可能也有点关系
整体来说我可以给这个机子打满分",比较 很长 一段时间 包括 机型 还有 价格 最终 选择 一款 目前 看来 算是 近期 比较 优惠 价格 上面 这个 机子 外观 非常 满意 金属 边框 非常 当年 苹果 感觉 机子 运行 非常 顺畅 电池 耐用 目前 看撑 两天 没什么 问题 当然 目前 没有 深度 使用 可能 有点 关系 整体 来说 可以 这个 机子 满分,商品3.csv
屏幕清晰，音质很好，运行流畅，刷抖音非常快，外观设计也很漂亮，电池容量大，待机时间长，很满意的一款手机！,5,已购 黑色 12GB+256GB,坚持一份坚持,57,屏幕清晰音质很好运行流畅刷抖音非常快外观设计也很漂亮电池容量大待机时间长很满意的一款手机,屏幕 清晰 音质 运行 流畅 刷抖音 非常 外观设计 很漂亮 电池容量 待机时间 满意 一款 手机,商品3.csv
很快就到了，感觉做工挺好的，手感非常的棒，款式也好看，很漂亮的，用起来非常的丝滑，小米的质量棒棒哒，个人感觉很满意的，值得购买。,5,已购 黑色 12GB+256GB,anhui1000,58,很快就到了感觉做工挺好的手感非常的棒款式也好看很漂亮的用起来非常的丝滑小米的质量棒棒哒个人感觉很满意的值得购买,很快 感觉 做工 手感 非常 款式 好看 很漂亮 起来 非常 小米 质量 棒棒 个人感觉 满意 值得 购买,商品3.csv
手机在这个价位里，真的算性价比很高了，手机运行很流畅的，外观、手感都很棒!没有很专业的评价，就我自己而言，我很喜欢!,5,已购 樱花金 12GB+256GB,j***S,59,手机在这个价位里真的算性价比很高了手机运行很流畅的外观手感都很棒没有很专业的评价就我自己而言我很喜欢,手机 这个 价位 真的 性价比 手机 运行 流畅 外观 手感 很棒 没有 专业 评价 自己 而言 喜欢,商品3.csv
"物流挺快的,而且质感看着非常可以，用着还比较舒服,非常的适合购买，这已经是买的第二个了，之前帮朋友买了一个，都说可以。值得推荐",5,已购 樱花金 12GB+256GB,3qxcg7rlfu0i6u,60,物流挺快的而且质感看着非常可以用着还比较舒服非常的适合购买这已经是买的第二个了之前帮朋友买了一个都说可以值得推荐,物流 挺快 而且 质感 看着 非常 可以 比较 舒服 非常 适合 购买 已经 第二个 之前 朋友 一个 可以 值得 推荐,商品3.csv
买给父母用的，这个价格和这个配置非常划算，性价比杠杠的，好看又耐摔，骁龙处理器，运行很流畅，拍照也特别清晰！,5,已购 黑色 12GB+256GB,473c34pvdafgy9,61,买给父母用的这个价格和这个配置非常划算性价比杠杠的好看又耐摔骁龙处理器运行很流畅拍照也特别清晰,父母 这个 价格 这个 配置 非常 划算 性价比 杠杠 好看 骁龙 处理器 运行 流畅 拍照 特别 清晰,商品3.csv
"手机流畅，配置刚好是自己想要的，屏幕大，续航很牛，价格实惠,有国补更实惠,首销直播间买的，用小米手机很多年了，喜欢不要犹豫直接购买。",5,已购 樱花金 12GB+256GB,jd_2697b4keam3ms6,62,手机流畅配置刚好是自己想要的屏幕大续航很牛价格实惠有国补更实惠首销直播间买的用小米手机很多年了喜欢不要犹豫直接购买,手机 流畅 配置 刚好 自己 想要 屏幕 续航 价格 实惠 有国补 实惠 首销 直播间 小米 手机 很多年 喜欢 不要 犹豫 直接 购买,商品3.csv
