评论,分数,产品,名字,平台,来源文件
给家里老人买的 用了一段时间 整体还是不错的感觉 正好赶上国补价格还是很实惠的 还不错 就是屏幕贴膜收到有划痕 很不舒服 其他使用上还是不错的,5,已购 玄夜黑 12GB+256GB,yuanyuan520xixi,未知平台,商品1.csv
手感很棒，屏幕色彩细腻，运行速度超快，拍照清晰，音质很不错，电池超长续航，充电速度超快，ip68级防尘防水，不愧是旗舰机，价格更是满意。,5,已购 玄夜黑 12GB+256GB,小***生,未知平台,商品1.csv
颜值高，性价比高，待机时长正常，新手机软件启动正常，送了手机壳，自己又另外买了手机膜，希望能用个几年吧。给家里老人选的。,5,已购 玄夜黑 12GB+256GB,jd_4i5718x71i0e77,未知平台,商品1.csv
去年给妈妈买了一台，今年给爸爸又买了一台，k80性价比很高的，性能又好，还是很推荐购买的，拍照质感很好，手机运行很流畅，不错不错,5,已购 玄夜黑 12GB+256GB,依然0315,未知平台,商品1.csv
十小时，到货，真快。小米手机，出了奇的好用。可比那些爱国机好用多了。价格好，且品质高。充电好快。太牛了。这才是妥妥的爱国机！,5,已购 玄夜黑 12GB+256GB,4tz8d383c2o2sh,未知平台,商品1.csv
这款手机看了好长时间，看价格合适，还有国补，90瓦快充，充电速度快，宝贝非常棒，是自己想要的那种风格，到货也很快，谢谢老板，服务五颗星,5,已购 玄夜黑 12GB+256GB,LZ_091*****1108,未知平台,商品1.csv
外形外观特别的棒，而且他的拍照效果也特别好，屏幕素质特别好，一直内存也特别的大，而且能够参与以旧换新,5,已购 玄夜黑 12GB+256GB,望仔小伟,未知平台,商品1.csv
"性价比极高,非常好用,简直就是梦中情机
充电速度90W，有线快充
手感好，用阳光下能看的机应用启动快
而且基于澎湃os,的更新bug非常少",5,已购 玄夜黑 12GB+512GB,jd_k35e5sa3obs9tl,未知平台,商品1.csv
手机很不错，有国补价格很合适，京东快递也很快，快递小哥现场核销，一直购买红米手机，性价比很高，使用不卡顿，好用，和线下购买没啥差别！,5,已购 玄夜黑 12GB+512GB,小犟豆,未知平台,商品1.csv
K80不愧是千元旗舰！续航强、屏幕好、性能稳，该有的功能全配齐，拍照日常够用，手感颜值都在线，这个价位找不到对手，非常满意！,5,已购 玄夜黑 16GB+256GB,从***茶,未知平台,商品1.csv
这款手机使用体验超棒，外观简约时尚，握持感舒适。性能强劲运行流畅，拍照清晰效果好。电池续航也不错，性价比很高，值得购买。,5,已购 雪岩白 12GB+256GB,老陈13601,未知平台,商品1.csv
东西很不错，看起来很高级，k80 还是很有性价比，整体做工系统也流畅，系统也好，做工也精细。但是和k50 相比也摸不出什么差别，就是外观上变高级了体使用体验上没什么太大变,5,已购 玄夜黑 12GB+512GB,hohooz,未知平台,商品1.csv
一直关注，有优惠了，并且还享受国补直降，比较划算，性价比OK。充电速度快，90W。操作反应很快。手感舒适。但感觉相机一般，这个价位，总体满意。,5,已购 汐月蓝 16GB+1TB,Singa889,未知平台,商品1.csv
是挺不错的，给老人用足够了，手机很大，显示很清楚，拍照效果也很好，能满足老人所有的需求，推荐给有需要的朋友们，物流也很快,5,已购 雪岩白 12GB+256GB,8yr8olbbcdwl4r,未知平台,商品1.csv
小米的K80质感颜值都很棒，我一直是小米用户，感觉最省心的就是数据迁移，太方便了，以后没特殊情况，就一直用小米手机吧！,5,已购 玄夜黑 12GB+512GB,孙兆磊33,未知平台,商品1.csv
K80手感舒适，2K直屏清晰护眼。骁龙8 Gen3运行超流畅，6550mAh大电池续航顶，90W快充回血快，拍照成像稳，IP68耐用，性价比拉满超适合日常与游戏。,5,已购 雪岩白 16GB+256GB,红***圆,未知平台,商品1.csv
颜值很高，手机也很轻，关键是内存1t对于拍照片的人来说很有好，不像我老公有百度网盘俺不会用，农村老娘们，虽然我很自以为是，但这是我的本质！自己没理也要把别人说成有理！,5,已购 雪岩白 16GB+1TB,慧瞾,未知平台,商品1.csv
"春节期间，快递速度依然很给力
外形外观：外观磨砂金属的背板
拍照效果：拍照效果很好，夜晚光线不足环境也很清晰，日常拍照适用。
待机时间：使用频率高的情况下，全天也不需要充电，没有电量焦虑",5,已购 玄夜黑 16GB+512GB,j***v,未知平台,商品1.csv
便宜是最大特点，也不卡 给孩子挺好,3,已购 山峦青 12GB+256GB,平***远,未知平台,商品1.csv
全家都是小米忠实拥护者，这次正好赶上国补，便宜了好多。手机运行很顺畅，拍照更清晰了，今天帮娃拍照完成寒假实践作业，拍出来的照片大家都惊叹，就像新的一样。真是神奇。,5,已购 雪岩白 12GB+512GB,15mi59e7s1sx8n,未知平台,商品1.csv
还不错的手机，外观挺好看的。配套齐全，价格美丽，不可多得的性价比，内存大，怎么用都不会卡，挺好的好评,5,已购 山峦青 16GB+1TB,0***1,未知平台,商品1.csv
发货速度快，包装完好无损。红米K80是一款优缺点鲜明、主打性能和续航的性价比手机，适合预算在2000元档、追求均衡体验但对拍照要求不高的用户。,5,已购 山峦青 12GB+256GB,j***m,未知平台,商品1.csv
"一直在找一部性能强、续航久还屏幕好的手机，预算大概 2000内 ，挑来选去，最终入手了红米 K80。
同级别，我认为他是最水桶的，再加上国补的价格，是真的很香。",5,已购 山峦青 12GB+256GB,J***2,未知平台,商品1.csv
公司日常业务用的手机，都是在京东购买，发货快，购买方便。这次买了小米的K80，颜色好好看，容易大，而且价格挺划算的，手机用起来很流畅。,5,已购 山峦青 16GB+1TB,欣0011,未知平台,商品1.csv
一直用的红米K系列，从60换成了80，习惯了它的操作系统，感觉用的顺手了，颜色也好看，一直用的青色的。,5,已购 山峦青 16GB+256GB,ztukle453ar8j1,未知平台,商品1.csv
拍照清晰，外观好看，运行速度还可以，毕竟一分钱一分货，待机时间长，流畅不卡顿，充电速度快，不错值得拥有,5,已购 雪岩白 16GB+512GB,琪树留其名A,未知平台,商品1.csv
买的白色，已经用上了，质量还可以。第一次买小米手机，据说性价比比较高，给家人买的，用了一阵了，再用用看,5,已购 雪岩白 12GB+256GB,j***a,未知平台,商品1.csv
买了好久啦，给爸妈买的，价格很美丽，用了几天发现充电很慢，维修后好了，手机用着没事，应该是充电器问题。买旧款就是很划算，小米手机还不错的。,5,已购 玄夜黑 12GB+256GB,hhyshfq,未知平台,商品1.csv
颜值高，手感好，丝滑顺畅，电池很耐用，从来没有用过这么久，耐用的电池，拍照色素很饱满，性价比很高出的新款K90，特意来京东买的这款的k80，送货的快递小哥也很认真负责,5,已购 玄夜黑 12GB+512GB,jd_yHDFiUASBjEQ,未知平台,商品1.csv
红米k80，性价比挺高的，系统流畅，手机外观也漂亮，价格也划算，日常使用非常不错，用个3年问题不大。,5,已购 玄夜黑 12GB+256GB,牙不齐先生,未知平台,商品1.csv
帮朋友下单的，有国补，很便宜，朋友很满意，我决定自己也入手一个，现在手机比以前便宜多了，从上大学就一直用红米手机。从来没换过别的,5,已购 山峦青 12GB+256GB,孙大6681,未知平台,商品1.csv
。京东自营的小米K80智能手机颜色好看，样子优美很实整很满意，试用了一下很滑手感池一流产颜色好看十二分满意。,5,已购 汐月蓝 12GB+256GB,智者风骨_舒心x8499,未知平台,商品1.csv
Redmi K80性价比超高，骁龙8 Gen3性能拉满，2K屏幕显示细腻，6550mAh电池续航给力。IP68防水和90W快充是加分项，拍照也够用，适合追求性能的学生党或上班族。,5,已购 汐月蓝 16GB+256GB,飞***8,未知平台,商品1.csv
小米REDMIK80手机已经收到了，产品质量很好，屏幕音效不错，拍照效果一班，待机时间长，京东自营拍的好满意。,5,已购 汐月蓝 12GB+256GB,力量源泉813003930,未知平台,商品1.csv
这款手机这次搞活动价格很优惠，看了下配置很不错，就下单了，一天到货，包装很好，试了一下，很流畅，不错。,5,已购 玄夜黑 12GB+512GB,1***u,未知平台,商品1.csv
使用正常，性价比不错。,3,已购 雪岩白 12GB+256GB,2205b7y6vy27ze,未知平台,商品1.csv
手机看着还不错，重量有点重，但是7000将近7000的电池感觉挺耐用的，总体来说很好。给家里老人买的。各方面也都够用。想要的功能也都有。挺满意。,5,已购 玄夜黑 12GB+512GB,jd_158417vvf,未知平台,商品1.csv
这款红米K80手机，我领到了国礼券，最后实付1529元，太实惠了，京东物流也很快服务好，手机好用性价比高，值得买！,5,已购 玄夜黑 12GB+256GB,j***k,未知平台,商品1.csv
拍照效果特别好，特别是强光下也可看得很情楚，去年儿子给老婆买了一个，我觉得好，今年也买了一个，还便宜了快1000块钱。,5,已购 玄夜黑 12GB+256GB,xoyacn6f53ykca,未知平台,商品1.csv
第二台K80了，首发买的用了一年多，总体上感觉还可以，这次512的价格也很实惠，补贴下来比256的性价比高。,5,已购 玄夜黑 12GB+512GB,d***7,未知平台,商品1.csv
红米K80 12+512款，做工精细，内存充足，系统操作流畅，不卡顿。主流游戏都可以玩，满足日常多数用户的使用。照片像素高，拍照很好。屏幕色彩好，待机时间长。京东自营品质有保证，物流很快，服务很好，值得推荐的好手机，物美价廉。最优质的购物平台够最好的商品。,5,已购 汐月蓝 12GB+512GB,jd159629ryf,未知平台,商品1.csv
材质很好，质量也不错，到货也很快。K80手机不知道为什么不能享受国补。xiaomi手机一直再用，没有换过其它品牌。。。。。。,5,已购 汐月蓝 12GB+256GB,1scwe8h0ma70sa,未知平台,商品1.csv
"外形外观：漂亮🤩🤩
屏幕音效：很好音质很好(≧▽≦)/♫
拍照效果：清晰(⁎⁍̴̛ᴗ⁍̴̛⁎)
运行速度：非常快
待机时间：待机时间长
其他特色：性价比超高",5,已购 雪岩白 12GB+256GB,且听风萦,未知平台,商品1.csv
自己买过好用，小米手机不卡顿，好用，之前用过k40三年没卡过，电池也耐用，工作内容多就换新k80，不错不错不错不错，值得推荐，这次员工活动用来抽奖,5,已购 玄夜黑 12GB+256GB,les199x72ze213,未知平台,商品1.csv
屏幕很亮，比以前的老手机颜色好一点，运行速度很快，足够日常使用，不玩游戏，所以不知道性能如何？拍照还行,5,已购 玄夜黑 12GB+512GB,活力小绅士_发达x8243,未知平台,商品1.csv
用了几天才来评价，给老公买的，以前也一直用小米手机，这次他还是喜欢小米，老公很满意，价格也合适，谢谢商家和平台,5,已购 玄夜黑 16GB+512GB,琴***丽,未知平台,商品1.csv
手机反应速度也很快，内存也很多，用起来上手也非常不错，价格也是挺满意的，性价比也是比较高 拍摄效果还是不错的。,5,已购 雪岩白 16GB+256GB,JIANGRUBING520,未知平台,商品1.csv
买的第2部红米K80，现在买国补有补贴，比发布时要降价很多，综合性能和配置来说这个价格算不错，这部买给妈妈使用。,5,已购 雪岩白 12GB+256GB,s***7,未知平台,商品1.csv
Redmi K80太香了！国补入手性价比拉满，第三代骁龙8性能强劲，游戏多任务都丝滑不卡顿。6550mAh超大电池续航顶流，一天重度使用无压力。澎湃OS流畅稳定，山峦青颜值高级、手感舒服。12+256GB够用好几年，千元价位旗舰体验，闭眼冲不亏！,5,已购 山峦青 12GB+256GB,-***-,未知平台,商品1.csv
用了几天红米K80，性能强、续航顶、屏幕素质好，日常很稳。指纹解锁快，实用。拍照一般。综合来看是两千档很靠谱的手机，给老人用合适。,5,已购 雪岩白 16GB+256GB,-女皇陛下-,未知平台,商品1.csv
"Redmi K80太值了！享国家补贴性价比拉满
三代骁龙8性能强劲，游戏与多任务都流畅。
6550mAh大电池续航超顶，彻底告别电量焦虑。
澎湃OS流畅稳定，日常使用顺滑。雪岩白颜值
高、手感好，12GB+256GB大内存够用，5G信号
稳定。两千档性价比旗舰，红米真香！收",5,已购 雪岩白 16GB+256GB,jd_CzYvqlbKwhCY,未知平台,商品1.csv
这款手机外观时尚，轻薄便携，握持感佳。性能强劲，运行流畅，玩游戏看视频都不卡顿。拍照清晰，色彩还原度高。电池续航也不错，很值得入手。,5,已购 玄夜黑 12GB+256GB,l1o1361atx54s0,未知平台,商品1.csv
"外形外观：精致典雅，大气厚重
屏幕音效：屏幕清晰，色彩饱和
运行速度：运行流畅，不卡顿
待机时间：超长时间待机能力",5,已购 玄夜黑 12GB+256GB,j***加,未知平台,商品1.csv
好啊，早就想入手的，奈何今年收到的红包钱才多，现在才能买，特别的值，打游戏特别流畅，能开高帧，像素也行，非常值得入手啊,5,已购 雪岩白 12GB+256GB,8s4nylalldr325,未知平台,商品1.csv
这个价位，红米K系列值得购买。做工挺好，流畅度不错，给父母日常使用非常合适。颜值做的也挺好，千元机里面算好看的了。,5,已购 玄夜黑 12GB+256GB,33594ue8kg91m9,未知平台,商品1.csv
京东快递次日达，我的红米note9卡的不要不要的，支付拍照得重启才行，用了将近5年，千元机已经很满足了，迫不及待的打开红米k80新机希望能够战斗5年,5,已购 山峦青 12GB+256GB,阿***8,未知平台,商品1.csv
手机收到工作人员现场激活，送货快动作流畅，用了几天手机响应速度还算可以中规中矩，国产屏幕色彩冷淡免强应付用，拍照效果一般没有微距和长镜，电池可以充电也快。,5,已购 雪岩白 12GB+256GB,jd_136804dis,未知平台,商品1.csv
这款小米K八零之前我有个朋友都是米粉，推荐我小孩用的，之前那个不知道是小米几，然后他玩的游戏比较内存比较大，然后现在换这个说这个还可以值得推荐入手，不会玩着玩着卡跟手机发烫,5,已购 汐月蓝 12GB+512GB,j***2,未知平台,商品1.csv
手机不错，但是买完又降价了，不开心,3,已购 玄夜黑 12GB+512GB,什么玩意ly,未知平台,商品1.csv
手机配送特别快，次日达非常划算，然后这个价格也是相当不错的。果普之后非常好，手机性能也很好，已经用了一段时间非常推荐，给爸爸买的用起来很流畅,5,已购 汐月蓝 12GB+256GB,一心求学好少年,未知平台,商品1.csv
早就想买一部红米手机，最近听说手机要涨价于是当即入手了K80 256GB，这部手机性价比极高，很满意。,5,已购 玄夜黑 12GB+256GB,79w8sz96j12wvv,未知平台,商品1.csv
手机质量很好，拍照很清晰，外观设计精美，屏幕显示效果很好，电池续航能力强，系统很流畅，播放音乐很好听，信号稳定，值得购买,5,已购 雪岩白 12GB+256GB,L***云,未知平台,商品1.csv
"外形外观：外观好看轻薄
屏幕音效：屏幕显示效果很好双扬声器立体声听着听歌看视频不错
拍照效果：拍照还可以
运行速度：处理器速度快玩游戏都很好
待机时间：一天一冲差不多",5,已购 山峦青 12GB+256GB,小子萌文,未知平台,商品1.csv
给妈妈换的新手机，现在红米越来越经用了，越来越流畅，充电速度杠杠的，适合年纪大的用，价格实惠,5,已购 玄夜黑 12GB+256GB,jd_156290vrd,未知平台,商品1.csv
旧手机用的红米k60e这次有国补果断入手了k80，这颜值没得说，是真好看手感也好,5,已购 雪岩白 12GB+512GB,隔***7,未知平台,商品1.csv
用着还不错，里面挺流畅，容量都比较大，平时存个视频，照片啥的完全够用，原来的60丢了，这是新买的,5,已购 玄夜黑 16GB+1TB,冲浪二族,未知平台,商品1.csv
从k30换过来的，手感很好，用起来也很顺畅，屏幕音效都很不错，红米还是相当好用的，快递也很快。,5,已购 玄夜黑 12GB+256GB,j***j,未知平台,商品1.csv
还行吧，CPU性能也比较强，屏幕亮度还可以，不会像k401样那么差，自动调节也还行，手感也还可以,5,已购 雪岩白 12GB+512GB,jianshouzhi,未知平台,商品1.csv
外观设计漂亮。中间是金属材质，送了原厂贴膜和套。白色有浮雕，国家补贴后这个价位能买到实在无敌了,5,已购 雪岩白 12GB+256GB,师傅仔1980,未知平台,商品1.csv
有国补就是实惠，京东送货上门需要当面激活。手机手感超好，拍照性能都满意，电池也够大。,5,已购 玄夜黑 12GB+256GB,liiu,未知平台,商品1.csv
软件启动很快，外放声音刚好，操作很流畅，屏幕色彩很鲜艳，快递也很快，还用国补，比较实惠。,5,已购 玄夜黑 12GB+512GB,jd_156753yyn,未知平台,商品1.csv
"红米K80设计很精致，颜色也很耐看，性能表现让我很满意。
充电特别快，电量很大，可以用很久，值得购买",5,已购 雪岩白 12GB+256GB,Like小时光,未知平台,商品1.csv
"拍照效果：很好
运行速度：快
待机时间：电池容量大
其他特色：送的手机壳很有质感
屏幕音效：屏幕护眼",5,已购 雪岩白 12GB+256GB,jd_e3hhri738rg7jc,未知平台,商品1.csv
手感不错，拍照不错，玩游戏挺流程，淡蓝色款个人挺喜欢的，然后年后又给长辈买了一个同款,5,已购 汐月蓝 12GB+512GB,霁月巧晴,未知平台,商品1.csv
红米K80真香！骁龙8 Gen3性能强劲，2K屏清晰护眼，6550mAh大电池续航超顶，系统流畅不卡顿，京东发货快，正品放心，性价比超高！,5,已购 雪岩白 12GB+256GB,罗汉果是我,未知平台,商品1.csv
拍照清晰，屏幕清晰，90W充电速度很快，手机声音效果也挺好，京东快递也很给力，运行速度快,5,已购 山峦青 12GB+256GB,jd_mb24z4zxx8gh2x,未知平台,商品1.csv
手机用着不错内存大拍照清晰，操作流畅，刷视频玩游戏感觉都挺好的，非常非常非常喜欢,5,已购 山峦青 12GB+512GB,傅诗淇vs文淇儿,未知平台,商品1.csv
"拍照效果：还行 不要抱有过高期望 它主要优势在于游戏
待机时间：挺快的
屏幕音效：物超所值",5,已购 汐月蓝 12GB+256GB,jd_8o0awvw16av8ir,未知平台,商品1.csv
红米K80性价比之王6000多毫安电池90万快充屏幕2K虽然不是最好，但已经是这个价位里面的知网还有超声波指纹解锁骁龙八芯片,5,已购 汐月蓝 12GB+256GB,冰蓝99999,未知平台,商品1.csv
手机手感很好，运行流畅不卡顿，拍照清晰色彩自然，续航够用，整体性价比高，用着很满意，推荐入手。,5,已购 汐月蓝 12GB+512GB,j***k,未知平台,商品1.csv
这手机真好用，感觉特别流畅，玩游戏也很流畅，拍照很清晰，外观很好看，下次还来，大家可以买来试试。,5,已购 山峦青 12GB+256GB,小***辉,未知平台,商品1.csv
手机特别好，不卡顿，跑分高，性价比很高，处理器也不错😊，电池很大，支持快充，真棒。,5,已购 玄夜黑 12GB+512GB,迷***-,未知平台,商品1.csv
"这款手机自拍很好看    屏幕色彩非常鲜艳
外放声音很大
运行速度很快   打游戏很流畅",5,已购 玄夜黑 12GB+256GB,可斯威尔的明天,未知平台,商品1.csv
🌟这款手机真的太棒了！🔋待机时间超长，一整天都不用充电，完全不用担心断电问题～🔊,5,已购 雪岩白 12GB+256GB,周***7,未知平台,商品1.csv
红米K80手机外观时尚，轻薄便携。性能强劲，运行流畅，游戏体验佳。拍照清晰，色彩还原度高。电池续航给力，充电速度快，很值得入手。,5,已购 汐月蓝 16GB+512GB,竹影清风静水流深,未知平台,商品1.csv
k80超级好用，外形外观是山峦青，拿到手里手感很棒，拍照效果嘎嘎棒，剪辑视频也贼快，待机时间超久,5,已购 山峦青 12GB+256GB,y308gy05alppf7,未知平台,商品1.csv
"外形外观：给家里人用，好看
屏幕音效：清晰
拍照效果：嘎嘎好
运行速度：反应中规中矩
待机时间：两天",5,已购 玄夜黑 12GB+256GB,axj302,未知平台,商品1.csv
手机买回来很满意，特别这个手机的外形外观都十分的完美，屏幕音效也很丝滑，拍照效果色彩分明，完美极了,5,已购 玄夜黑 12GB+256GB,扎扎9527,未知平台,商品1.csv
手机很小，小米我一直都在用，摄像头，电视都是小米家的，妈妈用的也是小米！这个拍照好看！,5,已购 雪岩白 16GB+512GB,j***h,未知平台,商品1.csv
"外形外观：时尚大气
屏幕音效：非常不错
拍照效果：还可以
运行速度：不错
待机时间：2天",5,已购 玄夜黑 16GB+1TB,桑***云,未知平台,商品1.csv
习惯了红米的操作系统，还是从k50换到k80，使用起来比较流畅，性能也明显得到提升，内存比较大，告别了存储焦虑。在京东上买的，质量放心，不到12小时就收到货了，物流很快，价格也不贵。,5,已购 玄夜黑 12GB+512GB,dyux007,未知平台,商品1.csv
"外形外观：外观还可以，金属边框和后盖
屏幕音效：屏幕显示可以，老人用足够了
拍照效果：拍照效果平常生活中使用足够
运行速度：运行速度12+256的，日常使用也够的
待机时间：待机时间一天没问题
其他特色：12月份家里老人手机坏了，在京东下单还有补贴，到手价1574.1，不知道和双十一双十二的价格差多少",5,已购 汐月蓝 12GB+256GB,嗨***吖,未知平台,商品1.csv
给妈妈入手的红米这款手机，她用着特别顺手，系统操作简单易懂，长辈模式很贴心。续航挺耐用的，日常刷视频聊微信完全够，拍照也清晰，物流还快，妈妈特别满意～,5,已购 雪岩白 12GB+256GB,G***s,未知平台,商品1.csv
"全新未拆封新机，颜值高，运行速度快，游戏不卡，音效不错，整体感觉满意！   
       前两部手机都是是红米的note9pro和note13pro，小金刚是真的耐摔，质量真好。这是第一次买K系列的，冲着颜值去的。背板上下两节材质不一样，13的背板全是k80的上半截这种，玻璃手感的防刮层，k80背板塑料感太强了，这个用起来得保护好了。
       简而言之，我个人觉得红米的note系列和K系列就是一个当儿子养一个当闺女养。",5,已购 山峦青 12GB+256GB,叮了个铛叮咚锵,未知平台,商品1.csv
用了几天，K80真的很不错。打游戏流畅不发热，2K屏幕看视频特别清晰。续航给力，白天用一天晚上还有电。机身手感也很好。这个配置对应这个价格，我觉得是性价比很高的手机了，值得推荐。,5,已购 玄夜黑 12GB+512GB,风***7,未知平台,商品1.csv
"外形外观：看起来蛮不错的，手感握起来很舒服
屏幕音效：用习惯以前的屏幕，这个屏幕显示会较一般，音效还不错，外放挺大声的
其他特色：没有用多久，各个软件启动都很快的，操作也流畅",5,已购 玄夜黑 16GB+256GB,倍***钱,未知平台,商品1.csv
"外形外观：这款红米手机外观已经很不错了！
屏幕音效：屏幕效果相比价格，已经非常可以了，音效也可以，很不错了
拍照效果：红米达到这样的效果就很可以了，能清楚拍摄
运行速度：CPU和我用的小米14一个级别的，还要怎么样",5,已购 玄夜黑 16GB+512GB,79k1yo9h8t8ng7,未知平台,商品1.csv
1. 这款手机太香了！旗舰芯片运行丝滑，多开APP不卡顿，游戏满帧无压力。120Hz高刷屏清晰护眼，触控跟手。5000万像素主摄拍照超清晰，夜景也能轻松出片。6500mAh大电池续航超强，一天一充无压力，快充半小时回血。机身轻薄手感好，颜值在线，性价比拉满，日常办公娱乐都够用，真心推荐！,5,已购 玄夜黑 12GB+256GB,奶驴超人,未知平台,商品1.csv
第一次用红米手机，发货很快，第二天就到了，手机的质感很好，手机很流畅，打游戏可以稳定高清120帧，电池容量大，一局游戏后电量为95，非常满意。,5,已购 玄夜黑 12GB+256GB,AAAA燕子A,未知平台,商品1.csv
很轻巧，很丝滑，拍照像素，像素很高，拍出来的照片特别好看，自带美颜功效，使用了一个月，目前来说没有任何卡顿的现象，充电也特别快，双12趁着有活动买的相对比较划算，，，,5,已购 山峦青 12GB+512GB,溶儿爱吃肉,未知平台,商品1.csv
"外形外观：有点丑 不过都是带壳也没事
屏幕音效：2k屏幕看着还是很舒服的
拍照效果：还行够用给父母用的
运行速度：够用
待机时间：待机时间挺长的",5,已购 雪岩白 12GB+256GB,清***o,未知平台,商品1.csv
之前的手机用了好几年了，电池不行了，换了小米k80 ，这款手机用着很方便，性能也比较好，外观也很漂亮，电池非常持久，运动，生活很方便，感受活动很合适,5,已购 雪岩白 12GB+256GB,cqem113a4df3za,未知平台,商品1.csv
算是比较实惠价格，性能卓越的一款不算落伍的手机。普通用户用起来没任何问题。流畅，电池耐用。用一段时间再来追评。应该是不错的，附带的壳子把高颜值遮住了。,5,已购 汐月蓝 12GB+256GB,妞***爸,未知平台,商品1.csv
不错，包装可以，用了一段时间了不卡，手机也不发烫，音质不错，耐摔，谢谢，操作简单，自拍好看像素画，颜值好看，手感舒服，不错，拍的照片好看,5,已购 玄夜黑 12GB+256GB,真姐姐呀,未知平台,商品1.csv
买的第二个k80了，这个价位感觉最合适的机子。 手感有点分量，自带手机壳，比原来透明的那种要好很多。系统好用，换机方便。,5,已购 玄夜黑 12GB+256GB,71396nbt668c37,未知平台,商品1.csv
旧手机已经这样了，老人家没什么要求，只是刷刷短视频，k80足够了，除了不喜欢超声波指纹之外，没什么缺点。国补到手1485，价格还不错。,5,已购 玄夜黑 12GB+256GB,无***_,未知平台,商品1.csv
趁着双十一活动买的，非常划算的啊，这手机速度很快，虽然是一年前出的机器，但是性能足够，屏幕很顺滑，摸上去触感很好。色彩和声音也很不错，性价比是非常高的机型。推荐购买了。,5,已购 汐月蓝 16GB+256GB,jd_一闷,未知平台,商品1.csv
"作为红米粉丝，从k30pro,k40,再到k80，都选择了红米，性价比高。配置也满足日常的使用需求，整体感觉还可以，就是最近系统优化的不算满意。要是能做着更优惠的活动就好了，送些外设",5,已购 山峦青 16GB+256GB,胖子在开心的购物,未知平台,商品1.csv
用了几天才来评价 K80操作流畅 颜色艳利 拍照清晰 外观时尚大方 电磁也耐用 亮屏10几个小时仍有余电 屏幕大小也刚刚好 值得购买,5,已购 汐月蓝 12GB+256GB,j***d,未知平台,商品1.csv
"到货快，包装完好，实物与描述一致。
做工扎实，用料到位，手感好。
使用稳定，效果符合预期，无明显短板。
价格合理，同价位配置更优，值得入手。
售后响应及时，体验顺畅，愿意回购。",5,已购 玄夜黑 12GB+512GB,AHKY998,未知平台,商品1.csv
颜值高，颜色很好看，汐月蓝，非常好，男女通用，大小合适，屏幕也不错，送一个手机壳，质量也很好。拍照清晰，充电速度快。,5,已购 汐月蓝 16GB+512GB,dingyuandu17,未知平台,商品1.csv
手机已经用上了，没办法拍手机的照片，50%的电好像用不了多久。充电器是90瓦的。颜值还是很高，运算速度还是比较快，操作起来还是比较流畅，自拍没有试过，但是拍视频还可以。,5,已购 玄夜黑 12GB+256GB,事事顺心一家亲,未知平台,商品1.csv
