评论ID,评论内容,商品名称,商品品牌,商品颜色规格,商品价格,平台,来源文件
2292812398752440191,挺不错的，空间也足，之前我老爸用的手机太卡了，给他换了个新的手机就不卡了，还是挺好用的，他说电量也比较经用,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2280634737213048733,性能好，操作方便，运行流畅，拍照清晰，华为的实力粉。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+512GB】,1499,未知平台,商品1.csv
2280634698021475063,买给老人用的，操作方便，运行流畅拍照清晰,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2273161088419761404,好评！性能好！物美价廉！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,原野绿【8GB+512GB】,1499,未知平台,商品1.csv
2262732680032425164,操作方便没有卡顿情况。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
736125492,运行流畅，手感舒适，电量强劲，内存强大，价格实惠，给某人的，使用感觉很满意，还有国补，太赞了。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+512GB】,1499,未知平台,商品1.csv
2317723468591797589,宝贝很好！！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,原野绿【8GB+512GB】,1499,未知平台,商品1.csv
2317714549618252990,非常不错，会再来的！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2317714525882681805,物品收到挺不错的，还会再来的，必须赞！已经买了两次了不错。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2317714247305407627,颜值可以，就几百块钱，还要啥自行车？,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2317704620882797524,买了两个，就是这个比上一个贵了几十块,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2317704567929703928,很流畅，一点都不卡。很不错。外形很好看。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2316606492234482309,挺好的，买给公公用的,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2312182969369890802,性价比不错，系统优越，好评,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2312182969369888798,给老妈买的，足够老人用了！加入远程守护后，定位很方便！感觉卡顿的可以关掉屏幕高级渲染。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+128GB】,929,未知平台,商品1.csv
2312182953679001640,手机特别好用，比实体店还便宜，值得购买,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+256GB】,1099,未知平台,商品1.csv
2312182857700737779,唯品会出品， 相当满意，相当放心， 价格适中， 品质保证。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+128GB】,929,未知平台,商品1.csv
2312171683684817119,手机非常好用，买了两台，非常满意,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2305890299290854928,手机买给妈妈用的，一开始不习惯，慢慢就习惯了！华为的手机一直不错！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白1【8GB+256GB】,1099,未知平台,商品1.csv
2303189938356620529,还可以 屏幕很大,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2302076214145189811,这个价格还要求什么呢，挺好的,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2301683017132803302,老年人用很好,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2292799246656605369,这手机拍了两个了好用电池耐用！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2285029468906981423,老妈非常喜欢,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2284994946194741817,非常不错的一次购物体验！！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2283221836336464009,手机够大，顺畅，配置高，非常满意的一次购物。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2280633167578661309,不错不错(๑>◡<๑)👍🏻,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+256GB】,1099,未知平台,商品1.csv
2278702534803588042,是的操作方便,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2273449307929580038,很合适老人用也很流畅,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2273449128975403279,收到了，给家人买的，使用不错,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,原野绿【8GB+512GB】,1499,未知平台,商品1.csv
2267660233520193766,品质很满意,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+512GB】,1499,未知平台,商品1.csv
2267626968998482969,挺好的华为手机，价格优惠，拿在手里有重量，给孩子用的。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2265393638039101942,收到了，使用了一个段时间！很好用！比店里实惠.！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2265378743650362045,手机不错。挺好的 用着方便 不卡 空间大 支持自己品牌 耐用,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2257953401264412136,正品有保证，颜值高。华为，值得信赖。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
2257949032703856324,这个手机内存很大，嗯，已经在唯品会买过多部的华为手机，质量很好，值得信赖，价格也算是便宜吧，还可以,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,原野绿【8GB+512GB】,1499,未知平台,商品1.csv
2250120883265866813,性价比高的，送家人的很满意，主要是电池容量大,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2250079158753299749,性价比高的一款机型，买了两个送家人,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+256GB】,1099,未知平台,商品1.csv
2250073711950434241,商品质量超乎想象，性价比极高，卖家服务贴心，购物体验完美，大力推荐！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+256GB】,1099,未知平台,商品1.csv
2244569432774935504,使用体验不错,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2242316055936502938,还可以，老人家用的要求没那么高,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
745294978,价格实惠，手机是正品,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+256GB】,1099,未知平台,商品1.csv
744180086,很好很喜欢会持续关注,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+256GB】,1099,未知平台,商品1.csv
743297096,脱穿方便，舒服，性价比高！值得购买！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
742873376,可以的可以,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+128GB】,929,未知平台,商品1.csv
741584483,运行流畅，老人使用方便,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
740111320,颜值非常高,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,原野绿【8GB+512GB】,1499,未知平台,商品1.csv
739356082,使用起来很流畅，性能好，价格比专卖店都优惠，不错！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
737684938,手机很好，给老人买的，很喜欢,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+128GB】,929,未知平台,商品1.csv
737448715,非常好用，,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
730752630,一直都用华为的手机，全家都是华为手机,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
730499451,手机很好非常喜欢,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2317723789858702683,买给老妈的，很喜欢,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝1【8GB+256GB】,1099,未知平台,商品1.csv
2317714478667401806,好看，耐用。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2308453214082564574,经济实惠，物美价廉！！！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+512GB】,1499,未知平台,商品1.csv
2303189365242729685,价格便宜，老年人用用挺好,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2292812466490448028,多次购买华为手机，很好，赞一个,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2286978303153677239,屏幕很大，外观可以，包装严实，物流给力，性价比很高,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2286955241419052706,很好，唯平会的忠实粉丝,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2283238885787961159,还可以，老妈用,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
2280636185514613945,对比几家还是选择唯品会买了比别的平台都要便宜，满意好评,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2265393715906349422,拍照清晰，很智能的一台手机，外观好看，操作也简单！,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+128GB】,929,未知平台,商品1.csv
2257953393777576823,给妈妈买的。使用感不错。看看效果可以的话还会再下单,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+256GB】,1099,未知平台,商品1.csv
2242325173065747653,质量很过关，品质优保障，相当不错的选择，好多朋友看我用都想买，我都推荐了。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+256GB】,1099,未知平台,商品1.csv
739464130,好好看很大气,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天际白【8GB+256GB】,1099,未知平台,商品1.csv
736363922,各种性能优，操作方便，运行流畅，价格合理。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
736363851,各种性能优，运行流畅。,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
735755676,物流很快，服务态度很好,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+512GB】,1499,未知平台,商品1.csv
735526254,不错，很值得,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,天青蓝【8GB+128GB】,929,未知平台,商品1.csv
735526178,不错，很值得,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,曜金黑【8GB+128GB】,929,未知平台,商品1.csv
2317723946889257075,运行流畅，颜值高，操作方便，非常丝滑,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,12GB+256GB原色沙丘,3899,未知平台,商品10.csv
2317704612632594543,系统流畅，很貌美,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB雾光紫,4799,未知平台,商品10.csv
2316596436004768082,唯品会一定要加会员  各种优惠叠加可以做到平台里最低价  性价比绝了,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB雾光紫,4799,未知平台,商品10.csv
2312182842194397381,买的时候有点犹豫收到以后会不会好看是不是正品，收到以后就不想退了喜欢上了用了三天了电量也可以流畅度也行颜色也好看反正超喜欢,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB雾光紫,4799,未知平台,商品10.csv
2305917859190018751,手感不错，性价比也比较高，玩游戏不卡，爱了,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB黑色,4799,未知平台,商品10.csv
2303189938356621203,这个手机的背板看上去很舒服，我还是挺推荐这个手机的，作为一款具有性能又有颜值的手机，非常推荐购买。然后物流非常迅速，顺丰快递送货上门，价格给力，非常推荐购买,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,12GB+256GB原色沙丘,3899,未知平台,商品10.csv
2292812385867539066,物流很快，物美价廉，唯品会绝绝子！,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB黑色,4799,未知平台,商品10.csv
2317723461557952900,"颜值很高，而且摸起来很舒服触感很丝滑
运行速度我就不多说了，嘎嘎快，非常流畅",一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB原色沙丘,4799,未知平台,商品10.csv
2312172069019719826,手机很不错，是新品,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+512GB雾光紫,4799,未知平台,商品10.csv
2298087904620056922,手机流畅不卡顿，外观设计非常好，买了绝对不后悔！,一加15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,16GB+1TB黑色,5299,未知平台,商品10.csv
2295813469762487845,性价比超高的一款手机,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+128GB子夜黑,1029,未知平台,商品2.csv
2292794137818169883,产品质量不错👍,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+128GB子夜黑,1029,未知平台,商品2.csv
2292794101210286299,产品质量不错👍,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+128GB星辉白,1029,未知平台,商品2.csv
2286001873406139184,手机拍照技术可以,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,6GB+128GB天青蓝,969,未知平台,商品2.csv
2280636227864498781,操作简单明了,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,12GB+256GB子夜黑,1389,未知平台,商品2.csv
2320801952390191366,不错正品保证,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+128GB子夜黑,1029,未知平台,商品2.csv
2303189708840110529,买给小孩的，觉得玩游戏运行流畅。不卡,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+256GB子夜黑,1199,未知平台,商品2.csv
2301686802685101086,收到了，非常好用，，，,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,12GB+256GB天青蓝,1389,未知平台,商品2.csv
2298088299757045576,操作方便，运行流畅。,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,12GB+256GB天青蓝,1389,未知平台,商品2.csv
2292813733208000748,非常满意了,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,12GB+256GB子夜黑,1389,未知平台,商品2.csv
2295825572682537702,手机运行速度很快，手感也不错,iQOO 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,赛道版（16+1TB）,5499,未知平台,商品3.csv
2292812337641427215,性价比非常高,iQOO 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,凌云（16+512G）,4999,未知平台,商品3.csv
2292799830772156781,运行顺畅，操作简便，用一段期时间再来评价。,iQOO 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,凌云（16+1TB）,5499,未知平台,商品3.csv
2282816853526978582,凌云版的外壳好好看，实物比宣传图片还好看，儿子们选来专门玩游戏的，特别流畅。,iQOO 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,凌云（16+512G）,4999,未知平台,商品3.csv
2326511607334570399,好用爱用，下次还用,iQOO 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,传奇版（12+256G）,4199,未知平台,商品3.csv
2305907242030867087,待机时间长，外形简单大气，操作流畅，整理很不错,iQOO 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,凌云（16+1TB）,5499,未知平台,商品3.csv
2305896219580308566,一个多月了，才发现这也是一部音乐手机。设置里面各种可设置音质，均衡器哈曼音可自己调。车载音质也好了,iQOO 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,赛道版（16+256G）,4499,未知平台,商品3.csv
2295825712466106626,操作非常丝滑,iQOO 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,传奇版（16+512G）,4999,未知平台,商品3.csv
2284994946194735440,手感好，个人觉得,iQOO 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,凌云（12+512G）,4699,未知平台,商品3.csv
2317714253156456809,帮同事买的~很满意,iQOO 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,赛道版（12+512G）,4699,未知平台,商品3.csv
2320722432408689837,快递速度很快，手机电量耐用操作方便,OPPO Reno15实况神机手机,OPPO,12GB+512GB极光蓝,3199,未知平台,商品4.csv
2317714583793441970,屏幕很大,OPPO Reno15实况神机手机,OPPO,12GB+256GB星星粉,2699,未知平台,商品4.csv
2292799285420361589,很好用的大气,OPPO Reno15实况神机手机,OPPO,12GB+256GB可露丽棕,2699,未知平台,商品4.csv
2320739082767964692,产品满意，用后再追评,OPPO Reno15实况神机手机,OPPO,12GB+256GB星光蝴蝶结,2899,未知平台,商品4.csv
2292799362620724246,快递员上门服务很好，颜色好像有点不一样。总体感受还是不错，价格还是比较合适的，唯品会体验还是不错的。,OPPO Reno15实况神机手机,OPPO,12GB+256GB可露丽棕,2699,未知平台,商品4.csv
2312182813698299718,可以的嘛哈,OPPO Reno15实况神机手机,OPPO,12GB+256GB星光蝴蝶结,2899,未知平台,商品4.csv
2295813469762487845,性价比超高的一款手机,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+128GB子夜黑,1029,未知平台,商品5.csv
2292794137818169883,产品质量不错👍,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+128GB子夜黑,1029,未知平台,商品5.csv
2292794101210286299,产品质量不错👍,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+128GB星辉白,1029,未知平台,商品5.csv
2286001873406139184,手机拍照技术可以,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,6GB+128GB天青蓝,969,未知平台,商品5.csv
2280636227864498781,操作简单明了,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,12GB+256GB子夜黑,1389,未知平台,商品5.csv
2320801952390191366,不错正品保证,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+128GB子夜黑,1029,未知平台,商品5.csv
2303189708840110529,买给小孩的，觉得玩游戏运行流畅。不卡,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,8GB+256GB子夜黑,1199,未知平台,商品5.csv
2301686802685101086,收到了，非常好用，，，,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,12GB+256GB天青蓝,1389,未知平台,商品5.csv
2298088299757045576,操作方便，运行流畅。,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,12GB+256GB天青蓝,1389,未知平台,商品5.csv
2292813733208000748,非常满意了,小米红米Note15第三代骁龙6金刚品质大电量长续航抗摔,小米,12GB+256GB子夜黑,1389,未知平台,商品5.csv
2295825572682537702,手机运行速度很快，手感也不错,iQOO 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,赛道版（16+1TB）,5499,未知平台,商品6.csv
