评分,评论内容,评论时间,商品规格,平台,来源文件
1,"""收到货后直接惊艳到！包装严实精美，打开瞬间就能感受到商家的用心。商品和描述完全一致，甚至比图片更高级！质量超出预期，细节处理得很到位（可举例：面料手感好/做工精细/功能齐全），用了一段时间完全没问题，性价比真的高！客服态度也超棒，回复及时又专业。已经推荐给朋友，下次回购还选这家！五星满分好评！🌟🌟🌟🌟🌟""",2026年3月5日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,Redmi K80性能强劲，2K屏清晰护眼，续航耐用，系统流畅，拍照出色，性价比超高，使用体验超棒！  ,2026年3月3日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,价格实惠 耗电量也不高 拍照也比较好看 学生用大人用都不错 质量可以,2026年3月2日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,红米K80这个手机太好看啦，雪岩白配色正适合我岳母，老人平时喜欢在快手上看视频，骁龙8Gen处理速度确实快啊，而且256G的内存够岳母用啦，哈哈哈,2026年3月1日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,反应迅速，操作灵敏，几年前的手机好太多了。这价格还可以接受。,2026年2月27日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,去年买了一个，现在又买了一个，价格实惠，性能也可以，不发热，打游戏也不怎么热,2026年2月26日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,这款商品质量完全符合我的预期，材质细腻，颜色鲜艳，实物比图片还要让人满意。包装也非常用心，保护得很好，完全没有损坏。物流速度很快，下单后第二天就收到了，客服态度也非常友好，有任何问题都能及时解答。整体购物体验非常愉快，商品性价比高，是我这段时间以来最满意的一次网购。以后还会继续支持这家店铺，也会推荐给身边的朋友。,2026年2月23日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '16GB+1024GB'}",未知平台,商品1.csv
1,"手机颜值高,里面没有什么压,硬件也足够强大,这手机网上评价很高,各APP之间切换也很快,送货上门服务态度好,拍照很好看,操作起来很流畅,非常喜欢,昨天中午12点不到就收到货了",2026年1月13日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,物流配送很及时，外包装完好..,2026年2月19日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,物流很快，昨天下单，今天就到了，手机外观各方面 还不错，手机颜色我还是很喜欢的，性能方面先用一 段时间在看看。,2026年1月25日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,还行吧，刷刷视频看看小说，电池一天一充吧。要不是原来的k40电池不行了，也没想买。刚好当天能用国补，淘金币抵扣后不到一千五就拿下这款，性价比很高！！！,2026年1月24日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,其他特色： 显示效果： 通信音质：骁龙八红米骁龙，非常不错，屏幕非常清楚,2026年1月23日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,红米k80颜值担当，手感好，拍照清晰，待机时间长。不错的货物体验。,2026年3月5日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,宝贝用的不错，物美价廉，实用方便，非常好用，产品质量好，物流时间快，与卖家描述一致，满意的一次购物体验,2026年3月1日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,次日达！快递员当面开箱激活拍条码领取国补，手机是正品，非常不错！,2026年1月5日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,物流很快，国补当面签收，手机运行速度很快，给老人家买的够用了！经济适用！,2026年1月19日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,买给父母的手机，这样的很不错，屏幕清晰，系统流畅，希望能用久一点，挺不错的，价格也算优惠。,2026年1月30日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,用完国补后1610买的，12+256蛮合适的，这个电池容量大，处理器也挺好的，打游戏，王者，吃鸡也不卡，像素也完全够用，主要是电池充电给家里人买的很合适蛮推荐的，1600这个价格也不算高,2026年1月1日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,很流畅，手感很好，很有性价比。,2025年12月31日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,一直用红米，这次特意搜了下 说这款神机还不错，到货了先用用看，外观颜色都可以,2026年2月5日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,非常满意！这次换了红米8k，主要是看中了他的电池大容量🥰1TB的内存，再也不怕下载新软件了！把我小米12Pro的软件全机转过来才占了六分之一不到！太厉害了吧！新手机用起来流畅不卡顿，超级快！拍照比之前的相机清晰多了，晚上拍照也很漂亮！喜欢！,2026年1月5日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+1024GB'}",未知平台,商品1.csv
1,手机是正品，非常满意。下次还来买。,2026年2月4日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,手机不错，用起来很顺滑，一般就刷刷短视频，不玩游戏，足够用！,2026年3月4日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,显示效果：色彩鲜艳视觉效果极佳 通信音质：性能和配置无可挑剔 其他特色：高性价比,2026年3月3日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,还是可以的。速度还是比较快的，玩游戏一点的也不卡。,2026年3月2日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,商品很好，物流也快，很满意的一次购物！,2026年2月27日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,加上国补1600多就拿下了，性能很好，设计也好看，俩天就到货了很快，性价比很高开心。,2025年12月27日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,手机好用不卡顿，抢到国补优惠很多，下次再给儿子买一个,2026年1月29日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,给老人买的 手机挺好看的性能也不错 适合老年人用 自带手机壳手机膜很方便拿到手直接就可以用了,2025年12月26日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,手机收到了非常漂亮，用一段时间再评价,2026年2月14日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,很哇塞，本来2340想买K90 看1624拿下12+512，性价比十足， 淘金币+国补+平台优惠,2026年2月11日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,2167买的，不知道实体店啥价位，充电快，拍照清晰，我选的大内存，不喜欢手机边上的横杠，觉得丑，我照片视频多，就是云存贮空间不足，希望改善，存储还得花钱，头天下单，第二天就到了，总体好评，支持国产,2025年12月24日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",未知平台,商品1.csv
1,国补买的，性价比高。 使用小米换机，旧换新也很方便。,2026年2月6日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,谢谢商家老师！货已收到！ 我在天津市河北区居住，第一天订的，第二天早上9点多钟，顺丰快递员就亲自送到了，而且当面开封、拍照、辅导开机。 手机做工很精细，设计很漂亮，功能很强大，反应很灵敏，操作很方便，续航时间很长，充电很快，只用了40分钟左右，系统升级也很方便，内置软件全面、实用。 这优秀的“小米手机”就是我们现实中，中国人民生活水平提高的表现之一，这归功于中国正确发展理念，归功于年轻人的伟大而美妙的创造力，想象力。 年轻人是祖国的希望！ 祝祖国繁荣昌盛，更加富强！,2025年12月16日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
-1,物流很方便啊、价格也比较优惠、广告太多了,2026年3月4日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,非常不错用起来很流畅充电也很快,2026年3月3日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,不错，收到了之后马上换上，现在体验一切顺利,2026年3月2日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,配送快，使用手感不错，送老人的，很合适,2026年3月2日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,物流很快，用着很好,2026年3月2日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,用着感觉还不错，很流畅，内存也大，可以推荐买,2026年2月28日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,好看，适手，简单的镜头包裹，孩子喜欢。,2026年2月28日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '16GB+1024GB'}",未知平台,商品1.csv
1,给儿砸买的，指定要这个型号，说班里都同学都在用这款,2026年2月27日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,宝贝收到了，物美价廉，推荐大家购买,2025年12月25日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,非常实惠，用完券才1000多，性价比比较高，适合日常实用,2026年2月22日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
-1,刚买来，不知道啥原因，用着就发烫 但里面的功能还是比较好用的，电池也挺耐用 就除了个别时候会发烫而已，其余的还行 还是挺实用的,2026年2月22日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",未知平台,商品1.csv
1, 通信音质：清晰 显示效果：好 其他特色：正品很满意,2025年12月30日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,从K40升级到K80 一直信赖小米 ,2025年12月30日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",未知平台,商品1.csv
1,这款产品颜值爆表，质量上乘，发货速度快，非常满意,2025年12月29日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,哈哈哈到第一张照片 这么大的摄像头没白长！ 我终于换掉我砖头一样重的小米10了 这个机身轻了不少，小拇指再也不容易被压弯了 ,2026年1月14日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '16GB+1024GB'}",未知平台,商品1.csv
1,这个价格比我们这边实体店便宜不少，体验感还不错，发货快，物流也快，次日就到了，好评,2026年2月12日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",未知平台,商品1.csv
1,很好，手机很好看，打游戏很流畅，物流态度特别好，我地址填错了还给我打电话然后直接送到我家门口,2025年12月21日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,还不错，划算,2026年1月22日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,非常好。这个手机我很满意。操作非常顺滑，系统人性化。尤其是触屏震动手感👍,2026年1月22日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,刚到手就迫不及待试用了，速度非常快，宝贝非常好,2026年1月22日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,给老妈买的新手机！颜色喜欢，性能够用，流畅度没得说！希望可以用好几年！,2026年1月2日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,该用户未填写评价内容,2026年2月6日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",未知平台,商品1.csv
1,拍摄用的，主拍 4k 视频，是我需要的，性价比高。,2026年1月20日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,小米手机买了好几个了 给家人换了新的 很亲民 小米继续加油！,2026年1月16日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,服务态度非常好，产品性价比高，购物体验愉快，值得推荐！ ,2026年3月5日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,机器性能很满，对非重度使用者来说，四五年没问题,2026年3月3日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,可以挺好的给爸爸买的电池大耐用,2026年3月1日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,以旧换新有平台红包，还是挺划算的。机子也好用。显示清晰。反应速度快 ,2026年3月1日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,质量很好💯，颜值也是蛮高的✨，非常不错。,2026年2月28日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,颜色好看，使用很流畅，性价比高,2026年2月27日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,通信音质：可以  其他特色：流畅  显示效果：可以的,2026年2月26日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,用了几天，很好用啊，内存选歌大的，很不错，一直在用红米，好像从米一开始用的，电池真的是太抗用了，非常适合我，,2026年2月24日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '16GB+1024GB'}",未知平台,商品1.csv
1,物流很快，1300公里48小时九到了 k80手感，外围配置也很强,2026年2月24日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,好用价格划算性价比高不卡顿 颜色好看边框也好看,2026年1月5日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,红米K80很好，去年买的被压变形了，Sim卡接触不太好，所以又买了这个，是全新未激活的，比实体店便宜不少，非常满意。,2025年12月28日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,手机的手感非常好，用起来非常流畅，价格也很适宜。,2026年1月14日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,好用，一家人都用小米的手机，靠谱！,2026年1月26日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,通信音质：好 其他特色：OK 显示效果：不错咯,2026年2月14日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,加上国补，史低价购买，手机性价比超高。 系统流畅好用，手机手感不错，电池大还轻薄。,2026年1月24日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,k40s退休，直接换到k80美滋滋，更流畅更好用了，点赞👍👍👍👍👍👍,2026年1月11日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,挺好的，爸爸很满意。,2026年2月12日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,这个价格还是很香的，手机性价比无敌，好评,2026年1月23日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,东西挺好的，用了，是正品，牛*66666,2026年2月10日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,物流很快，包装的很好，我妈还用的k70，两年了没啥问题，这次给我爸换了个k80，国补后挺划算的,2026年1月20日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,买来给家里老人用的！流畅度和使用感反馈都很好，手机颜色也好看！,2026年2月6日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,发货快，系统运行流畅，拍照也很清楚！,2025年12月23日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,官方旗舰店买的还是很靠谱的。手机整体不错。512足够用了。正常使用用个几年不是问题,2026年1月31日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,真不错，很好用！验机顺利，新手机上手很快,2026年1月15日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,机身轻薄，功能使用。看了很多评价给老爸配置的，使用感受挺好！,2026年1月30日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,画质很高，很好用的手机，非常好用,2026年1月30日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,目前用着还可以 给老父亲买的,2026年1月30日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,这次有国补，性价比就超高了,2026年1月30日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,非常迅速，全部都很满意。超级感谢客服和配送员。,2026年1月4日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,老人家用的话，字体调到最大还是很有点小，需要用第三方的软件，其他的都还可以。,2026年1月29日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,目前很满意，特意用几天来评价，快递小哥态度也很好，开机验机流程很流畅！,2026年1月28日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+1024GB'}",未知平台,商品1.csv
1,还行吧，感觉和k60差不多，就是处理器是第三代，k60是第一代,2026年3月5日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,不是自用，收到的人说打游戏蛮流程的，也没有网上说的那么多问题，总体挺好的,2026年3月3日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,把广告全部关闭后就适合老人用了，电池续航不错，8gn3用个两三年也不会说特别卡。,2026年3月2日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
0,物流很快 发的顺丰 昨晚刚收到 实物看起来还可以 等用段时间再评价,2026年1月27日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,买的是正品，激活日期是最新的，安全下车，使用感良好,2026年1月27日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",未知平台,商品1.csv
1,物流很快，派送也快，国补价格便宜实惠，收货简单拍拍拍完事了！,2026年2月27日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",未知平台,商品1.csv
1,给爸妈买的手机 一人一个 做了很多攻略感觉这个性价比不错,2026年2月26日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,还行，就是玩游戏会发烫,2026年2月25日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",未知平台,商品1.csv
1,不错，性价比很高。,2026年1月26日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,用起来很顺，操作无延迟。,2026年2月21日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",未知平台,商品1.csv
1,该用户觉得商品非常好，给出5星好评,2026年1月25日,"{'机身颜色': '雪岩白', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",未知平台,商品1.csv
1,国补价格真的很香 平时不打游戏 这款完全可以的   重量合适  手小的握着也可以 尺寸很合适  流畅度和按键也可   推荐,2026年1月10日,"{'机身颜色': '玄夜黑', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,连手机壳都挺漂亮，大爱，很喜欢，物流也很快，,2025年12月6日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,性价比高，给父亲买的，父亲收到很高兴 ,2026年1月9日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",未知平台,商品1.csv
1,加上国补，非常好,2026年1月9日,"{'机身颜色': '山峦青', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
1,商品质量上乘，服务态度极佳，购物体验非常满意，强烈推荐！ ,2026年1月22日,"{'机身颜色': '汐月蓝', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",未知平台,商品1.csv
