评论,分数,产品,名字
手机很漂亮，显示清晰，运行流畅，电池大充电速度很快，拍照也是很不错的，价钱很便宜，性价比很高啊。,5,已购 砂岩灰 12GB+256GB,m08b1v41bexp13
四曲包裹金属中框，手感舒适抗造，系统运行流畅不卡顿，拍照效果很不错，夜景也很清晰。,5,已购 砂岩灰 12GB+256GB,春***1
太值了，性能强，续航顶，拍照清晰，价格还香，用着顺手，推荐入手，而且电池抗用，一天无压力,5,已购 云杉绿 12GB+256GB,水***糖
"已经是第三次买小米手机了。
这款挺棒的，待机速度非常的持久。功能也挺齐全的，使用感受良好。",5,已购 冰锋蓝 16GB+512GB,甜甜我的最爱
白色的颜值很高，不带手机壳挺好看，更重要的是性能很不错，打游戏一点儿不卡，电池续航也足够日常使用,5,已购 月岩白 12GB+256GB,水***糖
手机质感舒适，屏幕清晰细腻；电池容量大，日常使用一天一充毫无压力，拍照色彩自然；系统流畅,5,已购 云杉绿 12GB+512GB,Y***T
一直买至尊版 好用  上一个好像是70屏幕干碎了 换这个新的也不错，拍照也很清晰，不错,5,已购 砂岩灰 12GB+256GB,卿卿负相思
手机确实很好用，屏幕够大，触屏也很灵敏，大小非常合适，质量很好，使用感特别的舒服,5,已购 月岩白 12GB+256GB,清风轻云1972
物流速度快，性价比超高，比实体店便宜，充电速度快，声音品质高，运行速度很快，本想当备用机,5,已购 砂岩灰 16GB+512GB,芳妮蒽
给老妈买的手机，用着很流畅，电池也够耐用，妈妈很开心，长辈使用方便，系统流畅，很不错。,5,已购 月岩白 12GB+256GB,j***h
首先运行很流畅。以前用的k10，换了k80简直丝滑的不要不要的，其次屏幕很大，手小的握持感会吃力。,5,已购 月岩白 12GB+256GB,向***丶
手机性能很不错，内存大打游戏丝滑流畅，不发热而且电池超耐用，屏幕显示清晰户外看也不反光,5,已购 月岩白 12GB+256GB,36r4g4tltk9e0u
手机质感不错，这个价格很划算 ，很高级的感觉，拍照也清晰，音质也好，打游戏也不卡。,5,已购 月岩白 12GB+256GB,小黄1呀
K80至尊版颜值在线，手感顺滑✨；拍照清晰，性能强劲⚡；物流超快，包装完好📦。整体体验满分，值得入手！👍📱💖💖,5,已购 砂岩灰 12GB+256GB,j***0
不错，给老人买的。标着刷镜眼，睛个视频，看个短信，打个电话，戳戳有余。屏幕也不小,5,已购 砂岩灰 16GB+256GB,k0rpi8lznl97zn
买到了天马屏，感觉还好吧，就是拍照不怎么样，其他地方挺好的，为了续航和游戏买的，能满足预期需求,5,已购 冰锋蓝 12GB+512GB,揽明月摘星星
手机总体还是可以的，续航长，不会很重，除了刚开始用的时候自动重启了几次，其他都满意,5,已购 砂岩灰 16GB+512GB,赚钱买大别野啊
手机很好，样子漂亮，性能顶尖。很喜欢，2000元左右性价比最高的手机，没有之一。闭眼入。,5,已购 冰锋蓝 12GB+256GB,达达鞋
手机性能很好，系统操作起来很流畅，用了一段用后时间了，没有什么质量问题，玩游戏也很流畅,5,已购 月岩白 12GB+256GB,u***u
很好用，音响很好，超级OK，手机质感也很不错，这个手机的形状看起来也非常好看！我很喜欢！,5,已购 月岩白 16GB+512GB,jd_ak1z10i7x6guhg
看了很久的红米k80至尊版，这次双十二终于入手了，操作起来顺滑，外观也挺喜欢的，就是拍照有点偏黄。,5,已购 月岩白 16GB+1T,半***-
用了这么久，好用，没什么问题！拍照清晰，充电很快！软件启动也很快！服务态度很好，物流也很快！,5,已购 冰锋蓝 12GB+512GB,嬡小兔
用了一段时间了，还是挺不错的，双十一有活动，价格优惠不少了，性能还是可以的，日常使用完全没问题。,5,已购 冰锋蓝 16GB+512GB,l***5
手机收到了，质量很好，物流也很快，一直用小米手机，这款性价比超高，操作流畅，屏幕也大,5,已购 月岩白 12GB+256GB,5***5
"这款手机太值了！颜值超高，手感顺滑，拿在手里特
别舒服。屏幕显示清晰，色彩饱满，看视频超爽。性
能也很能打，玩游戏、刷视频都不卡顿，续航更是惊
喜，充一次用一天妥妥的。拍照效果惊艳，无论白天黑夜都能拍出高清大片感。客服态度好，物流快，总之性价比拉满，强烈推荐！",5,已购 樱花金 12GB+256GB,jd_180128yaj
"拍照效果：可以，像素高，画质清晰。
外形外观：菱角分明，手感不错。
运行速度：打开程序很快，运营流畅。
待机时间：待机时间特久。",5,已购 樱花金 12GB+256GB,jd_t4y8jwph9dify3
这款手机给我带来了非常好的使用体验。它的外观设计简洁大气，手感舒适。功能方面，非常齐全，无论是娱乐还是工作都能满足我的需求。性价比非常高，值得购买！,5,已购 白色 16GB+512GB,婷***-
"外形外观：好看播放音乐摄像头还有灯光
运行速度：很快
待机时间：玩了4把王者还有70多电量
屏幕音效：阳光下很清晰 外放音乐声音也大",5,已购 樱花金 16GB+512GB,龙涎香草
使用了一段时间才来评价，90W快充很快充满，续航能力能很强，系统很流畅，玩游戏也很流畅，画质还很好，发电池很好，闭眼入,5,已购 白色 12GB+256GB,jd_il02903oq7j4c2
红米turbo4 pro颜值很高，选了我最喜欢的白色。大电池续航超强，出门再也不用担心没电了。看剧玩游戏是一点都不卡顿。这样的配置一千多到手，性价比超高,5,已购 白色 12GB+256GB,u_84nuhdh1r79a
这款手机质量很棒，运行流畅，拍照清晰。描述与实物完全相符，没有夸大。物流速度快，下单不久就收到。客服服务周到，性价比超高，很满意。,5,已购 白色 12GB+256GB,hh7881
手机到了。打开看颜值不错。手机系统非常流畅，功能齐全。老婆喜欢，手机屏幕色彩很鲜艳。软件都启动的很快，棒棒哒！,5,已购 黑色 12GB+256GB,p***7
手机颜值高手感也不错，用起来很流畅一点也不卡顿，拍照像素清晰，续航也不错，整体体验超级棒，物超所值。,5,已购 白色 12GB+256GB,jd_zs9h0bte984pof
"运行非常流畅，无论是刷信息流、看视频还是轻度游戏，都丝般顺滑。屏幕显示效果出色，色彩鲜艳，亮度足够，看起来很舒服。拍照效果令人满意，日常记录生活绰绰有余。电池续航持久,满足一天使用无压力。整体非常满意!",5,已购 黑色 12GB+256GB,jd_85909nt2jx9r4p
手机收到完好，与描述完全一致，质量没的说，颜色外观都是我喜欢的，用起来不卡不盾很流畅，画面清晰，音质也好，发货快服务也热情，价格也实惠，总之非常非常满意！,5,已购 黑色 12GB+256GB,4425温馨达叔
充电很快！比我之前的老机子快一倍！而且功能齐全！内存很大！应该不会出现游戏闪退的现象了吧！,5,已购 黑色 16GB+512GB,玥***乐
感觉外放声音没有红米K40大,5,已购 黑色 16GB+512GB,jd_a23jx0slc68wro
商家发货很快，但是有我一点不满意，为什么商家发货包装那么差呀？ 就这个样子，快递员问我这个是什么，我说是手机，他说手机这样包装很容易摔坏的，我觉得也是的，毕竟这个也是很容易摔坏的吗,5,已购 黑色 16GB+512GB,K***a
等了有小半年了，双11期间总算降价了，连同室友几位一起拼单买了，收到后感觉还挺不错的，操作非常的顺畅，游戏体验非常棒,5,已购 黑色 12GB+256GB,f***w
正品店铺，放心购买，手机做工精细，直接很好，客服态度也很OK，整个购物过程非常顺利！下次还会再来的！,5,已购 黑色 12GB+256GB,jd_170767fsm
"比较了很长一段时间，包括机型还有价格，最终选择了这一款。目前看来算是买在近期比较优惠的价格上面。
这个机子的外观我非常的满意，金属边框非常有当年苹果的感觉。机子运行非常的顺畅，电池也很耐用，目前看撑个两天没什么问题，当然这跟我目前还没有深度使用可能也有点关系。
整体来说，我可以给这个机子打满分。",5,已购 白色 12GB+512GB,s***2
屏幕清晰，音质很好，运行流畅，刷抖音非常快，外观设计也很漂亮，电池容量大，待机时间长，很满意的一款手机！,5,已购 黑色 12GB+256GB,坚持一份坚持
很快就到了，感觉做工挺好的，手感非常的棒，款式也好看，很漂亮的，用起来非常的丝滑，小米的质量棒棒哒，个人感觉很满意的，值得购买。,5,已购 黑色 12GB+256GB,anhui1000
手机在这个价位里，真的算性价比很高了，手机运行很流畅的，外观、手感都很棒!没有很专业的评价，就我自己而言，我很喜欢!,5,已购 樱花金 12GB+256GB,j***S
"物流挺快的,而且质感看着非常可以，用着还比较舒服,非常的适合购买，这已经是买的第二个了，之前帮朋友买了一个，都说可以。值得推荐",5,已购 樱花金 12GB+256GB,3qxcg7rlfu0i6u
买给父母用的，这个价格和这个配置非常划算，性价比杠杠的，好看又耐摔，骁龙处理器，运行很流畅，拍照也特别清晰！,5,已购 黑色 12GB+256GB,473c34pvdafgy9
"手机流畅，配置刚好是自己想要的，屏幕大，续航很牛，价格实惠,有国补更实惠,首销直播间买的，用小米手机很多年了，喜欢不要犹豫直接购买。",5,已购 樱花金 12GB+256GB,jd_2697b4keam3ms6
屏幕显示细腻，追剧时色彩鲜艳又不刺眼，手感也舒服，轻薄机身单手握久了也不累。最意外的是拍照，主摄拍风景清晰有质感，夜景噪点控制得很好，随手拍都能发朋友圈。,5,已购 樱花金 12GB+256GB,f***n
非常不错的手机，而且性价比极高，不换拿来看电影还是玩游戏，都效果很好，运行速度也非常得快，音质也很好。很喜欢的。。。。。,5,已购 樱花金 12GB+256GB,人生只如初见0丶
包装完好，物流给力，次日达，品牌正品，售后无忧，价格比实体店还优惠，物美价廉，续航能力强，自用送人两相宜，有需要还会复购的！,5,已购 樱花金 12GB+256GB,y***S
趁活动赶紧拍下，发货速度也是挺快的，拿在手上，手感也是挺好的，最主要还是活动期间买的性价比是比较高的,5,已购 黑色 12GB+256GB,u***o
"这款手机太值了！颜值超高，手感顺滑，拿在手里特
别舒服。屏幕显示清晰，色彩饱满，看视频超爽。性价比很高。",5,已购 樱花金 12GB+256GB,晓牛青
手机质量很好，屏幕清晰度高，运行速度快。卖家服务态度很好，有问必答。发货速度很快，包装完好无损。非常满意这次购物体验！,5,已购 黑色 12GB+256GB,马***0
正常情况下使用会微发烫，玩游戏时间长发烫就越大，电池平时使用待机还是很长的，前提是少刷视屏游戏的时候，充电很快，总的来说还可以,3,已购 白色 16GB+256GB,j***n
充电很快！比我之前的老机子快一倍！而且功能齐全！内存很大！应该不会出现游戏闪退的现象了吧！,5,已购 黑色 16GB+512GB,玥***乐
手机的性价比很高，屏幕显示细腻。待机时间长，手感超棒。活动价购买的，还有赠品，非常划算。,5,已购 白色 12GB+256GB,hh6601
非常满意！手机运行流畅一点也不卡顿，外观时尚手感很好，拍照像素清晰，续航给力，物超所值！,5,已购 白色 12GB+256GB,9uho4033acqd6l
用了很多天了，感觉质量还是可以的，这次是金属中框～，并且最近手机掉地上好几次，拿起来完好无损,5,已购 白色 16GB+256GB,天***4
这手机用着太香啦📱！系统流畅得一批，刷剧打游戏都不卡，电池也超耐用，一天一充完全够，爱了爱了,5,已购 黑色 12GB+256GB,w***j
外观大气，非常时尚，屏幕清晰，反应灵敏，拍照效果很棒，不卡顿，电池耐用，性价比高，爱了爱了,5,已购 黑色 12GB+256GB,独***风
手机颜值高，运行流畅不卡，触屏灵敏，拍照清晰声音大，续航时间长，性价比高非常实用，很满意的一次购物,5,已购 黑色 12GB+256GB,n***9
机子很漂亮手感不错，用起来非常流畅，打游戏超爽体验感很好，功能很齐全，性价比高很超值,5,已购 白色 12GB+256GB,j***3
手机质量很好，屏幕清晰度高，运行速度快。卖家服务态度很好，有问必答。发货速度很快，包装完好,5,已购 黑色 12GB+256GB,j***2
这个手机物流很快，昨天下单的，今天早上就发了，手机运行速度很快，打游戏一点不卡，很喜欢,5,已购 黑色 12GB+256GB,j***e
手机收到了，实物比图片更漂亮。卖家很负责，详细介绍了手机的各种功能和使用方法。发货速度快，物流也很给力。非常满意！,5,已购 黑色 12GB+256GB,z***2
红米Turbo4 Pro真的让人惊喜！性能方面搭载骁龙旗舰芯片，日常使用和游戏运行都非常流畅,5,已购 黑色 12GB+256GB,jd_vc26wcz0cfp0ma
6月13号下单的6月16号到的。还送了一个小米充电宝。用了一天多，电池感觉很耐用。充电的话，26充到100大概50分。手机背部还有灯效，各种颜色轮流切换。目前用着还很好。,5,已购 白色 16GB+1024GB,赵***鬭
手机颜值高，像素高，还添加广角摄像头，拍照超好看，前摄像头自拍超清晰超美。性能更不用说，打游戏各方面杠杠的，作为十五年老米粉手机发烫得到了很好解决。值得购买，性价比也高。,5,已购 白色 12GB+256GB,j***v
发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评~,5,已购 黑色 12GB+256GB,我***哥
手机速度快，运行流畅屏幕刷新率高，电池容量很大够用，外观白色的很喜欢，操作起来顺滑，很喜欢,5,已购 白色 12GB+256GB,m***p
"很好
外形外观：我外观中框感觉就跟苹果一样 
屏幕音效：屏幕很不错 又很流畅 
以旧换新：为此省下不少钱",5,已购 黑色 12GB+256GB,j***9
手机设计很好看，手感也不错，用起来很顺手。屏幕显示效果很好，色彩很鲜艳，看电影和办公都很舒服。,5,已购 白色 12GB+256GB,廖***进
手机用着很顺手，也很流畅！电量一天根本就用不完，商家还送了小米耳机！性价比太高了好评！,5,已购 黑色 12GB+256GB,j***2
手机颜值很高，大小正合适，孩子很喜欢，玩了两天打游戏一点不卡，很流畅很好的一次购物体验,5,已购 黑色 12GB+256GB,j***x
手机颜值很高，大屏看着很舒适，护眼效果好，电池耐用，很流畅。,5,已购 白色 12GB+256GB,随运而安952
"手机运行流畅，超出预期，整体体验很棒，功能齐全，
屏幕清晰，反应灵敏，性价比高！",5,已购 白色 12GB+256GB,欣颖欣欣
发货很快，包装的很好，价格也特别实惠，画面质量很好，系统反应速度很快，值得购买,5,已购 黑色 12GB+256GB,jd_1umyvvrb77fniz
手机蛮好用的，做工精细，运行流畅，性价比很高的一款手机！,5,已购 樱花金 12GB+256GB,夏***泳
手机收到了，时尚好看，反应速度快，充电也很快，满意。,5,已购 白色 12GB+256GB,路子韩
买来做备用机的，有点果里果气，拍摄跟苹果没得比，但是续航非常给力,5,已购 黑色 12GB+256GB,j***v
颜值耐看，设计简单，用起来手感不错，喜欢,5,已购 黑色 12GB+256GB,jd_7981601
满分，大屏直角金属边框，手感丝滑。运行流畅，拍照效果日常足够,5,已购 白色 12GB+256GB,向阳李hdq
给女儿买的，颜色她很喜欢，手感很好，新机运行速度非常快。很不错！,5,已购 樱花金 12GB+256GB,jd建福
物流非常快，包装也很好，各方面性能非常棒，值得购买,5,已购 白色 12GB+256GB,u***c
手机不错，质量很好，玩游戏不卡，价格实惠，买的很值,5,已购 白色 12GB+256GB,j***g
包装完好无损，价格实惠，运行流畅，设计精美，音质清晰,5,已购 黑色 12GB+256GB,秀秀yang85
完美，屏幕清晰细腻，操作也很流畅，性价比超高。,5,已购 白色 12GB+256GB,勇勇222
手机很不错，系统流畅不卡顿，玩游戏看视频都很好用。,5,已购 白色 12GB+256GB,阿玲6666
性价比很高，外观时尚大方，运行速度快，拍照清晰，完美,5,已购 白色 12GB+256GB,一***言
红米Turbo 4 Pro太香了！质感远超价位。6.83英寸直屏视野超棒,5,已购 黑色 12GB+256GB,j***J
手机收到了，手感很好，系统和运行很流畅，推荐,5,已购 白色 12GB+256GB,下雪的白天和夜里
白色的颜色很好看，很有质感，充电速度快，操作流程，大电池很耐用，好用。,5,已购 白色 12GB+256GB,璐璐大王0715
外放声音大，物流速度快，运行速度非常满意,5,已购 白色 12GB+256GB,bbjbtt
手机这个颜色好漂亮啊，屏幕音效都不错，拍照效果也好，电池续航能力强，满意！,5,已购 樱花金 12GB+256GB,jd_38u3vdbyp3i8fh
手机很流畅，电池耐用，金属中框手感很好，性价比很高，一直用小米设备，很满意。,5,已购 白色 12GB+256GB,东东2043
发货速度非常快，运行游戏很流畅，非常满意,5,已购 白色 12GB+256GB,2***3
膜不错😊手感也好，清晰丝滑很棒,5,已购 黑色 16GB+1024GB,b***a
外观很好看，手感很好，手机像素也很好，有广角等，待机时间长，推荐购买,5,已购 白色 12GB+256GB,雨清波
物流还是很快的，京东有券买的性价比还可以，颜色也很漂亮，效果也不错。,5,已购 白色 12GB+256GB,李***8
手机续航非常出色，长时间使用无需频繁充电，满足了日常需求，很棒！,5,已购 黑色 12GB+256GB,jd_06hqevsxfh200a
手机不错，价格便宜，手感也好，续航没问题，信号强推荐购买,5,已购 黑色 12GB+256GB,jd_c3sl4h19o0txn4
这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买,5,已购 白色 12GB+256GB,d9409i6xiizp4i
性价比高，手机拿起来感觉蛮好的。,5,已购 白色 12GB+256GB,j***r
手机不错，电池比较大，运行流畅，价格给力，拍照比较清晰，很满意,5,已购 白色 12GB+256GB,羽化思
手机屏幕清晰度高，运行速度快。客服服务态度很好，发货速度很快,5,已购 白色 12GB+256GB,欧***n
拍照很清晰  操作很顺畅  运行速度也很快性价比很高,5,已购 白色 12GB+256GB,jd_150646jae
这次购物非常满意，商品性价比高，质量可靠。物流高效，商家服务周到，售后完善。手机使用效果很好！,5,已购 黑色 12GB+256GB,马***3
手机外观很漂亮，拍照效果好，电池很耐用，千元机很划算了！,5,已购 樱花金 12GB+256GB,jd_u2s32p09s7g2u7
手机非常大气，外观很轻薄。玩游戏很流畅,5,已购 黑色 12GB+256GB,jd_x51896tjox311s
大小适中，舒适度很高，性价比很高，强烈推荐。,5,已购 黑色 12GB+256GB,陈***6
屏幕显示效果惊艳，色彩饱满且细节丰富，带来极致的视觉感受,4,已购 黑色 12GB+256GB,宁***3
手机是买给家里人的，客服态度巨好，我说没有送的耳机，他直接说给我补发，很喜欢，好评,5,已购 樱花金 12GB+256GB,TCH1214
手机到货速度很快，外观非常漂亮，屏幕显示看上去叶狠舒服,5,已购 黑色 12GB+256GB,jd_153271mid
手感不错，颜值也挺高的，价位很漂亮，满意,5,已购 黑色 12GB+256GB,jd_d7104p7rd3y584
手机运行流畅，卖家发货很快，千元机性价比很高！,5,已购 黑色 12GB+256GB,-***-
手机发货好快，第二天就到了，白色也是很漂亮的，值得购买,5,已购 白色 12GB+256GB,j***i
手机挺好用的，外观精致漂亮手感好！性价比很高！,5,已购 白色 16GB+512GB,中***圆
物流速度很快，系统流畅不卡顿，客服服务态度超级好，下次再来,5,已购 白色 12GB+256GB,jd_xu8t64u8s4nn3z
买家服务态度很好，拍照清晰，反应灵敏，颜色好看,5,已购 黑色 12GB+256GB,20d57ry9o66bx0
手机收到做备用的。速度还是挺快的，喜欢的可以购买了，价格实惠,5,已购 白色 12GB+256GB,1***飞
手机运行流畅，拍照也很清晰主要是价格合适,5,已购 白色 12GB+256GB,wbs001
给妈妈买的，机器性价比超级高，速度也很快，非常不错！,5,已购 白色 12GB+256GB,j***U
服务好，发货快很满意！手机是给爸爸买的，他说很好用！,5,已购 白色 12GB+256GB,赵陈陈晨
手机质量很好，发货速度快，游戏也很流畅。非常满意！,5,已购 白色 12GB+256GB,白***9
非常好，很喜欢的一款机器。运行很快,5,已购 樱花金 12GB+256GB,jd_182065sva
手机特别好用，不卡流畅，一直都在京东购买东西，京东配送速度也十分快速，质量特别好，服务也特别的不错，价格也不是特别贵，配送小哥十分的敬业，以后会继续支持京东下去！！,5,已购 白色 16GB+256GB,夏***暖
续航真的惊喜，早上满电出门，刷视频、回消息、拍拍照，晚上回家还剩30%+，重度使用者表示很满意。附几张实拍样张，暗光环境下也拍得挺清楚，性价比拉满！,5,已购 白色 12GB+256GB,u***q
发货速度快，买的很满意，运行速度也快，拍照也好，京东买东西还是好，支持东哥,5,已购 黑色 12GB+256GB,5***u
手机物流很快就到，收到手机激活一看，性能满满的，电池很耐用，容量满意，真的当红不让,5,已购 白色 16GB+512GB,B***k
手机收到了，性价比很高，价格划算，运行速度快，很满意的一次购物。比其他店便宜。,5,已购 白色 12GB+256GB,j***t
手机电池很耐用 基本上充一次电可以重度使用一天 很喜欢,5,已购 黑色 12GB+256GB,j***e
小米手机性价比高，物美价廉，屏幕刷新快，相机像素高清，值得购买。国货之光。,5,已购 白色 12GB+256GB,j***y
真的非常的好看非常喜欢拿到手的那个感觉非常爽！没有任何瑕疵和磕碰，客服的态度也非常好！,5,已购 白色 12GB+512GB,9***s
颜值很高，手感很好，不要相信网上的差评，这绝对是目前性价比最高的手机，没有之一,5,已购 黑色 12GB+256GB,雾***0
早上满电出门，听了一天微信读书，晚上到家还有60%多的电，续航不再焦虑了,5,已购 黑色 12GB+256GB,老***尼
很好用，屏幕显示细腻，而且电池是真的耐用，正常使用一天一充,5,已购 白色 12GB+256GB,木***8
手机非常好 很丝滑很流畅 外观也很漂亮,5,已购 黑色 12GB+256GB,家***h
手机是正品 外观很好看 也很流畅 好评,5,已购 黑色 12GB+256GB,甜***士
非常好 物流也很快 大r角配上大屏幕使用体验非常不错,5,已购 黑色 12GB+256GB,j***c
送到很快，颜色很好看，使用很流畅,5,已购 樱花金 12GB+256GB,jd_d09355gvqww714
非常好，不错，有指纹解锁，质感很好,5,已购 黑色 12GB+256GB,j***6
手感很好，这个价格我觉得这性能无敌了，不愧是小米,5,已购 黑色 12GB+256GB,j***t
手机用起来非常丝滑，设计感也很好,5,已购 黑色 12GB+256GB,j***k
手机很不错 拍照很清晰  运行速度也很快 推荐购买,5,已购 黑色 12GB+256GB,WoJoson
手机很好儿子喜欢 就是刷视频快进时觉得掉帧,5,已购 白色 12GB+256GB,j***5
非常的丝滑，拍照非常好看，而且手感很好,5,已购 黑色 12GB+256GB,j***t
反应灵敏，通话声音清晰，电池也很耐用，值得入手！,5,已购 白色 12GB+256GB,j***o
手机非常满意，质感很好，用起来也很快，给满分好评，,5,已购 白色 12GB+256GB,u_w945dctadqa7
手机反应灵敏，拍照清晰，电池也很耐用，喜欢！,5,已购 白色 12GB+256GB,男***1
发货很快，质量很好。拿在手上很舒服，开机速度很快，画面流畅，不卡顿，非常满意,5,已购 黑色 12GB+256GB,180jdbellcmchx
运行速度很快呀，分辨率也高，性价比高。,5,已购 白色 12GB+256GB,夜孤儿
产品质量很好，上网速度很快，一点也不卡顿。拿着也很舒服，很满意,5,已购 黑色 12GB+256GB,181_zvtDKACoBMZc
一直都是用红米手机，运行速度很快，很满意。,5,已购 黑色 12GB+256GB,方萍凤
手机待机时间很长，充电速度很快，运行速度也很快，声音很好听，拍照非常清晰,5,已购 黑色 12GB+256GB,毛绒王者_开怀x801
质量很好，非常满意。速度快，上网流畅，不刺眼，确实很好,5,已购 黑色 12GB+256GB,137jdbellcmctx
非常好，性价比高，很流畅,5,已购 黑色 16GB+1024GB,jd_5z75b9u6i1i5v3
性能方面更是没得说，运行速度超快，不管是日常多开软件，还是玩大型游戏，都丝滑流畅，一点卡顿都没有。,5,已购 白色 12GB+256GB,多***白
手机运行速度很快，一直都是红米的钟爱者。,5,已购 黑色 12GB+256GB,老爸方秋发
"以旧换新：非常好
外形外观：非常好
屏幕音效：非常好
拍照效果：非常好",5,已购 白色 12GB+256GB,16rq7c6eryg9la
这个手机非常的好用拍照非常好看听音乐非常好听玩游戏非常顺畅性价比超高,5,已购 白色 12GB+256GB,j***Z
给家人买的，国补下来性价比很高值得推荐。,5,已购 黑色 12GB+256GB,小***调
很好，电池容量大，屏幕大。,5,已购 黑色 12GB+256GB,u***3
婆婆很喜欢！大小合适！,5,已购 樱花金 16GB+1024GB,j***y
买给家人，喜欢长续航的,5,已购 白色 16GB+256GB,叶珊司
这款手机外观特别好看，尤其是这个白色的正面屏占比非常大，用起来手感也不错，运行非常流畅，手感还是金属边框，用起来特别舒服，然后拍照特别不错，非常清晰，不管是前摄还是后摄，尤其是夜晚，感觉拍照也非常不错，然后，手机充电速度非常快，不到40多分钟就充满了，而且续航也非常足，使用一天都没有问题使用一天都没有问题，软件启动速度非常快，运行速度也快。,5,已购 白色 12GB+256GB,3dv13wok77dvrp
给妈妈买的，妈妈平时对手机要求不高，用了两天感觉很好很流畅，物美价廉啊！之前也是用的红米，处理器运行流畅。外观设计好看，屏幕色彩鲜艳且细腻，视觉效果极佳。拍照功能强大，成像清晰，满足日常拍照需求。电池续航能力强。整体操作流畅，用户体验良好，非常值得推荐。,5,已购 白色 12GB+256GB,b***w
到货很快，质感很棒骁龙8s Gen4处理器性能拉满，游戏帧率稳定丝滑。7550mAh大电池告别续航焦虑，一天一充，90W快充回血超快。金属中框+AG玻璃质感拉满，超窄边直屏清晰护眼，拍照、实用功能全在线，性价比无敌！,5,已购 白色 12GB+256GB,柠***8
机器当场签收，国补真给力，商家的货没有问题，新机器家人很满意。,5,已购 白色 16GB+256GB,2***n
