评分,评论内容,评论时间,商品规格,清洗后评论,分词后评论,来源文件,情感分值,情感倾向
1,很好用，打游戏都很不错，系统流畅，挺好的。,2026年1月6日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",很好用打游戏都很不错系统流畅挺好的,打游戏 不错 系统 流畅,商品3.csv,0.9996,正向
1,  1. iQOO 15性能拉满，2K直屏顺滑清晰，游戏帧率稳、散热强，续航给力，全能旗舰很满意！ 2. 手感颜值在线，运行流畅不卡顿，拍照清晰，充电快，日常游戏都完美，强烈推荐！ 3. 双芯加持战力超强，屏幕护眼又通透，续航持久，系统流畅，用着太舒服了！   游戏党专用   1. 电竞体验拉满！144Hz高刷+Q3芯片，团战丝滑不掉帧，触控跟手，散热稳，上分神器！ 2. 游戏帧率超稳，长时间玩不发烫，双扬音质棒，操作零延迟，手游党直接冲！   ,2026年2月17日,"{'机身颜色': '赛道版', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",性能拉满直屏顺滑清晰游戏帧率稳散热强续航给力全能旗舰很满意  手感颜值在线运行流畅不卡顿拍照清晰充电快日常游戏都完美强烈推荐  双芯加持战力超强屏幕护眼又通透续航持久系统流畅用着太舒服了   游戏党专用    电竞体验拉满高刷芯片团战丝滑不掉帧触控跟手散热稳上分神器  游戏帧率超稳长时间玩不发烫双扬音质棒操作零延迟手游党直接冲,性能 拉满 直屏 顺滑 清晰 游戏 散热 续航 给力 全能 旗舰 满意 手感 颜值 在线 运行 流畅 不卡顿 拍照 清晰 充电 日常 游戏 完美 强烈推荐 双芯 加持 战力 超强 屏幕 护眼 通透 续航 持久 系统 流畅 舒服 游戏 专用 电竞 体验 拉满 高刷 芯片 团战丝 触控 散热 稳上 神器 游戏 超稳 长时间 玩不发 双扬 音质 操作 延迟 手游党 直接,商品3.csv,1.0,正向
1,挺不错的传奇板颜值挺高的，那个ar抗反射膜有点涩手，希望以后iqoo出个ar抗反射钢化膜,2026年1月11日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",挺不错的传奇板颜值挺高的那个抗反射膜有点涩手希望以后出个抗反射钢化膜,挺不错 传奇 板颜值 那个 反射 有点 希望 以后 出个 反射 钢化,商品3.csv,0.7911,中性
1,很多年前第一次接触IQOO手机，到目前为止都已经买了3部iQOO手机了，用好几年都不会卡顿，性能确实吊打很多安卓机,2026年1月18日,"{'机身颜色': '赛道版', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",很多年前第一次接触手机到目前为止都已经买了部手机了用好几年都不会卡顿性能确实吊打很多安卓机,很多年 第一次 接触 手机 目前为止 已经 部手机 好几年 不会 卡顿 性能 确实 吊打 很多 安卓机,商品3.csv,0.997,正向
1,孩子很喜欢，正常使用一天一充无压力，快充也很给力，屏幕清晰、外放音质不错，机身手感也舒服，细节做工都很到位，物超所值的一款，闭眼入不亏！,2026年1月26日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",孩子很喜欢正常使用一天一充无压力快充也很给力屏幕清晰外放音质不错机身手感也舒服细节做工都很到位物超所值的一款闭眼入不亏,孩子 喜欢 正常 使用 一天 一充 压力 快充 屏幕 清晰 外放 音质 不错 机身 手感 舒服 细节 做工 到位 物超所值 一款 闭眼 入不亏,商品3.csv,1.0,正向
1,很奈斯，15超级丝滑好用，种草到了，后悔没早点入手,2026年1月23日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",很奈斯超级丝滑好用种草到了后悔没早点入手,奈斯 超级 丝滑 种草 后悔 早点 入手,商品3.csv,0.9801,正向
1,美观大气，性能强劲！👍快递便捷效率！优惠多多，值得购买,2026年2月28日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",美观大气性能强劲快递便捷效率优惠多多值得购买,美观 大气 性能 强劲 快递 便捷 效率 优惠 多多 值得 购买,商品3.csv,1.0,正向
1,手机收到了是正品，打王者试了一下狠好用，机身上手很丝滑，我喜欢，值得购买,2026年1月30日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",手机收到了是正品打王者试了一下狠好用机身上手很丝滑我喜欢值得购买,手机 收到 正品 王者 一下 狠好 机身 上手 喜欢 值得 购买,商品3.csv,0.9988,正向
1,包装严实没有破损，物流很快，服务很好，使用一段时间后再来追评。,2026年2月14日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",包装严实没有破损物流很快服务很好使用一段时间后再来追评,包装 严实 没有 破损 物流 很快 服务 使用 一段时间 追评,商品3.csv,0.8521,正向
-1,我觉得有点小问题，不太稳定。,2026年3月4日,"{'机身颜色': '赛道版', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",我觉得有点小问题不太稳定,觉得 有点 问题 不太 稳定,商品3.csv,0.3159,负向
1,一直很喜欢iqoo这个品牌，看中它的性能强悍，性价比高，第三次购买iqoo品牌的手机了。,2026年2月22日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",一直很喜欢这个品牌看中它的性能强悍性价比高第三次购买品牌的手机了,一直 喜欢 这个 品牌 看中 性能 强悍 性价比 第三次 购买 品牌 手机,商品3.csv,1.0,正向
1,传奇版外观真不赖，日用、打游戏都可以，续航也是顶中顶😋,2026年2月22日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",传奇版外观真不赖日用打游戏都可以续航也是顶中顶,传奇 外观 不赖 日用 打游戏 可以 续航 中顶,商品3.csv,0.9998,正向
1,非常可以 虽然上一个到手有划痕 但是好歹退了,2026年1月18日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",非常可以 虽然上一个到手有划痕 但是好歹退了,非常 可以 虽然 一个 到手 划痕 但是 好歹,商品3.csv,0.7094,中性
1,手机性能非常好，和平能稳144帧率，基本不发烫，凌元配色很好看，充电速度快,2026年2月20日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",手机性能非常好和平能稳帧率基本不发烫凌元配色很好看充电速度快,手机 性能 非常 和平 稳帧 基本 不发 凌元 配色 好看 充电 速度,商品3.csv,0.9832,正向
1,手机昨天下的单今天就到了  选了凌云 未激活的新机 性能先用再来追评     ,2026年1月28日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",手机昨天下的单今天就到了  选了凌云 未激活的新机 性能先用再来追评,手机 昨天 今天 凌云 未激活 新机 性能 先用 追评,商品3.csv,0.8702,正向
1,开高画质144帧率，加个散热器打游戏一点都不掉帧，非常流畅电池也耐用,2026年2月15日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",开高画质帧率加个散热器打游戏一点都不掉帧非常流畅电池也耐用,高画质 加个 散热器 打游戏 一点 非常 流畅 电池 耐用,商品3.csv,0.9727,正向
1,趁着国补以旧换新入手，一直用iQOO系列，体验不错，新机也是无缝衔接旧机,2026年1月7日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",趁着国补以旧换新入手一直用系列体验不错新机也是无缝衔接旧机,趁着 国补 以旧换新 入手 一直 系列 体验 不错 新机 无缝 衔接 旧机,商品3.csv,0.9959,正向
1,想了好久的手机，终于买到了，手机打游戏非常流畅，很好用，喜欢😍😍😍,2026年1月25日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",想了好久的手机终于买到了手机打游戏非常流畅很好用喜欢,好久 手机 终于 买到 手机 打游戏 非常 流畅 喜欢,商品3.csv,0.9976,正向
1,实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦~,2026年1月10日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",实物与描述的一样质量相当好卖家态度也好有问必答发货速度杠杠的值得购买哦,实物 描述 一样 质量 相当 卖家 态度 也好 有问必答 发货 速度 杠杠 值得 购买,商品3.csv,0.9975,正向
1,该用户未填写评价内容,2025年12月21日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",该用户未填写评价内容,用户 未填写 评价 内容,商品3.csv,0.0993,负向
1,从iqoo12换到iqoo13，再换到现在的iqoo15，一直都没有让我失望，体验非常棒  通信音质：非常好  显示效果：非常棒,2026年2月27日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",从换到再换到现在的一直都没有让我失望体验非常棒  通信音质非常好  显示效果非常棒,从换 现在 一直 没有 失望 体验 非常 通信 音质 非常 显示 效果 非常,商品3.csv,0.9848,正向
1,手机目前用着非常可以。特别是呼吸灯，值得点赞。，各位友友赶快入手吧！,2026年1月8日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",手机目前用着非常可以特别是呼吸灯值得点赞各位友友赶快入手吧,手机 目前 非常 可以 特别 呼吸 值得 点赞 各位 友友 赶快 入手,商品3.csv,0.9974,正向
1,手机上手好，第一感觉是实在，握感很好，有旗舰机的手感，快递收到后，盒子的右下角有损坏，但问题不大，开盒的阻尼感很强，但是有点难开，使用两天，运行了各类主流的大型游戏，帧率表现都很稳定，并不像网上人说的有很多小毛病，手机的插帧效果很惊艳，外观也不用说，很漂亮，总体我能给到五星评价，个人很喜欢，从neo跳到旗舰，满足了所有的期待,2026年1月30日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '12GB+512GB'}",手机上手好第一感觉是实在握感很好有旗舰机的手感快递收到后盒子的右下角有损坏但问题不大开盒的阻尼感很强但是有点难开使用两天运行了各类主流的大型游戏帧率表现都很稳定并不像网上人说的有很多小毛病手机的插帧效果很惊艳外观也不用说很漂亮总体我能给到五星评价个人很喜欢从跳到旗舰满足了所有的期待,手机 上手 第一 感觉 实在 握感 旗舰机 手感 快递 收到 盒子 右下角 损坏 问题 不大开 阻尼 但是 有点 难开 使用 两天 运行 各类 主流 大型 游戏 表现 稳定 网上 很多 小毛病 手机 效果 惊艳 外观 不用说 很漂亮 总体 我能 五星 评价 个人 喜欢 旗舰 满足 所有 期待,商品3.csv,1.0,正向
1,给孩子买的，用着挺顺手挺好，我们全家用的都是iqoo系列的手机,2026年2月22日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",给孩子买的用着挺顺手挺好我们全家用的都是系列的手机,孩子 顺手 我们 全家 系列 手机,商品3.csv,0.9932,正向
1,支持国产，还送了一个满分的手机壳，试用了一天感觉各方面都不错，不愧是官方比赛用得手机，名不虚传，物流超级给力的游戏还没打过，但是我觉得我没必要试了，支持国产iqooNB，祝年年都有所更新…,2026年2月21日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",支持国产还送了一个满分的手机壳试用了一天感觉各方面都不错不愧是官方比赛用得手机名不虚传物流超级给力的游戏还没打过但是我觉得我没必要试了支持国产祝年年都有所更新,支持 国产 一个 满分 手机 试用 一天 感觉 方面 不错 不愧 官方 比赛 手机 名不虚传 物流 超级 给力 游戏 打过 但是 觉得 必要 支持 国产 祝年 有所 更新,商品3.csv,0.9999,正向
1,快递：真的很快！手机：很丝滑！拍照：非常清晰！电池：很耐用！,2026年1月28日,"{'机身颜色': '赛道版', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",快递真的很快手机很丝滑拍照非常清晰电池很耐用,快递 真的 很快 手机 很丝滑 拍照 非常 清晰 电池 耐用,商品3.csv,0.9967,正向
1,手机运输无破损 本地顺丰不到一天到. 备份完成后桌面app怎么拖拽不动.后面恍然大悟原来是我新机15不知道怎么是抽屉风格 改成标准就OK  手机反应很好屏幕显示很好.多年的老顾客 以后需要再来光顾.,2025年12月24日,"{'机身颜色': '旷野', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",手机运输无破损 本地顺丰不到一天到 备份完成后桌面怎么拖拽不动后面恍然大悟原来是我新机不知道怎么是抽屉风格 改成标准就  手机反应很好屏幕显示很好多年的老顾客 以后需要再来光顾,手机 运输 破损 本地 顺丰 不到 一天 备份 完成 桌面 怎么 拖拽 后面 恍然大悟 原来 新机 知道 怎么 抽屉 风格 改成 标准 手机 反应 屏幕显示 好多年 顾客 以后 需要 光顾,商品3.csv,0.0001,负向
1,手机很好用 连WiFi很稳定 打游戏也不卡 很喜欢手机 ,2026年1月5日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",手机很好用 连很稳定 打游戏也不卡 很喜欢手机,手机 稳定 打游戏 不卡 喜欢 手机,商品3.csv,0.9994,正向
1,物流超快，半夜发货，品控真的很好，我用的上一代也是iQOO的手机，怎么掉都不会碎。,2026年2月14日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",物流超快半夜发货品控真的很好我用的上一代也是的手机怎么掉都不会碎,物流 超快 半夜 货品 真的 一代 手机 怎么 不会,商品3.csv,0.9512,正向
1,物流超级给力，当日送达，手机充电就开始发烫，也没开启极速充电，玩游戏也发烫，但是玩游戏很流畅，用几天再来评价后续体验,2026年2月8日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",物流超级给力当日送达手机充电就开始发烫也没开启极速充电玩游戏也发烫但是玩游戏很流畅用几天再来评价后续体验,物流 超级 给力 当日 送达 手机 充电 开始 发烫 开启 极速 充电 玩游戏 发烫 但是 玩游戏 流畅 几天 评价 后续 体验,商品3.csv,0.0302,负向
1,手机顶好用的打游戏挺流畅的，物流速度也很快,2026年1月11日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",手机顶好用的打游戏挺流畅的物流速度也很快,手机 打游戏 流畅 物流 速度 很快,商品3.csv,0.9996,正向
1,手机特别好很流畅的打游戏画质也比较清晰 不卡 很顺手还送了手机壳 也配套使用很喜欢,2025年12月15日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",手机特别好很流畅的打游戏画质也比较清晰 不卡 很顺手还送了手机壳 也配套使用很喜欢,手机 特别 流畅 打游戏 画质 比较 清晰 不卡 顺手 手机 配套 使用 喜欢,商品3.csv,1.0,正向
1,我买的是iQOO1516+512凌云外观，外观完好，成色也不错，很喜欢。,2026年1月10日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",我买的是凌云外观外观完好成色也不错很喜欢,凌云 外观 外观 完好 成色 不错 喜欢,商品3.csv,1.0,正向
1,这款商品整体做工精良细节处理佳，运行速度十分给力，使用中响应迅速不卡顿。屏幕显示清晰，视觉感受舒适，是一次很满意的购物。,2026年2月5日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",这款商品整体做工精良细节处理佳运行速度十分给力使用中响应迅速不卡顿屏幕显示清晰视觉感受舒适是一次很满意的购物,商品 整体 做工 精良 细节 处理 运行 速度 十分 给力 使用 响应 迅速 不卡顿 屏幕显示 清晰 视觉 感受 舒适 一次 满意 购物,商品3.csv,1.0,正向
1,手感很不错，镜头没有很凸起，不影响握持； 马达好评，0916马达，不过调教的一般，有待改进；系统流畅，续航也还行。,2026年1月6日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",手感很不错镜头没有很凸起不影响握持 马达好评马达不过调教的一般有待改进系统流畅续航也还行,手感 不错 镜头 没有 凸起 影响 握持 马达 好评 马达 不过 调教 一般 有待 改进 系统 流畅 续航 还行,商品3.csv,0.9967,正向
1,使用体验太好了，屏幕显示细腻，系统流畅到飞起。,2026年1月6日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",使用体验太好了屏幕显示细腻系统流畅到飞起,使用 体验 太好了 屏幕显示 细腻 系统 流畅 飞起,商品3.csv,0.9609,正向
1,物流很快，次日就到了，用着很顺滑，就是感觉音量没有以前大呢,2026年3月2日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",物流很快次日就到了用着很顺滑就是感觉音量没有以前大呢,物流 很快 次日 顺滑 就是 感觉 音量 没有 以前,商品3.csv,0.9791,正向
1,几个朋友都买了定制版，体验了都非常不错。对于不怎么玩游戏的我。传奇是我唯一的选择。太爱了,2025年12月22日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",几个朋友都买了定制版体验了都非常不错对于不怎么玩游戏的我传奇是我唯一的选择太爱了,几个 朋友 定制 体验 非常 不错 对于 不怎么 玩游戏 传奇 唯一 选择 太爱,商品3.csv,0.9992,正向
1,用了1个月来评价的，这个款式用了9年了，感觉凌云这个配色真的很好，然后在摄像上面也得到了提升，打王者荣耀144hz也是真的🉐劲,2025年12月11日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",用了个月来评价的这个款式用了年了感觉凌云这个配色真的很好然后在摄像上面也得到了提升打王者荣耀也是真的劲,评价 这个 款式 感觉 凌云 这个 配色 真的 然后 摄像 上面 得到 提升 王者 荣耀 真的,商品3.csv,0.9925,正向
1,机身轻巧颜值高，16GB大内存流畅运行✨📱拍照清晰夜景也出色📸物流超快服务贴心👏整体体验非常满意👍🏻,2025年12月11日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",机身轻巧颜值高大内存流畅运行拍照清晰夜景也出色物流超快服务贴心整体体验非常满意,机身 轻巧 颜值 高大 内存 流畅 运行 拍照 清晰 夜景 出色 物流 超快 服务 贴心 整体 体验 非常 满意,商品3.csv,1.0,正向
1,特别好看，手感很好，屏幕显示非常通透不愧是三星顶级屏幕，性能也特别流畅王者有144hz太爽了，强烈推荐游戏党购入,2025年11月26日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",特别好看手感很好屏幕显示非常通透不愧是三星顶级屏幕性能也特别流畅王者有太爽了强烈推荐游戏党购入,特别 好看 手感 屏幕显示 非常 通透 不愧 三星 顶级 屏幕 性能 特别 流畅 王者 太爽了 强烈推荐 游戏 购入,商品3.csv,1.0,正向
1,我和我老公 自从iqoo Z3开始 一直在用 iqoo  手机 性价比太高了， 充电快不说   打游戏一点都不发烫，画面特别清晰  绝了    无可挑剔,2026年1月26日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",我和我老公 自从 开始 一直在用   手机 性价比太高了 充电快不说   打游戏一点都不发烫画面特别清晰  绝了    无可挑剔,老公 自从 开始 一直 手机 性价比 太高 充电 打游戏 一点 不发 画面 特别 清晰 无可挑剔,商品3.csv,0.9586,正向
1,该用户觉得商品非常好，给出5星好评,2026年1月13日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",该用户觉得商品非常好给出星好评,用户 觉得 商品 非常 给出 好评,商品3.csv,0.2415,负向
1,还行，打游戏也会发烫，凑合用吧，就是国补的手机不是要快递员当面激活吗，我这个没有，问客服说没区别一样的，不太懂,2026年1月24日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+1TB'}",还行打游戏也会发烫凑合用吧就是国补的手机不是要快递员当面激活吗我这个没有问客服说没区别一样的不太懂,打游戏 发烫 凑合 就是 国补 手机 不是 快递 当面 激活 这个 没有 客服 区别 一样,商品3.csv,0.0001,负向
1,这是我第一台IQ手机，刚刚倒完各种软件设置，一会安转几款游戏，体验一下强大的游戏流畅感觉！,2026年2月13日,"{'机身颜色': '旷野', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",这是我第一台手机刚刚倒完各种软件设置一会安转几款游戏体验一下强大的游戏流畅感觉,第一台 手机 刚刚 各种 软件 设置 一会 安转 几款 游戏 体验 一下 强大 游戏 流畅 感觉,商品3.csv,0.9953,正向
1,手机外观很漂亮，特别是游戏，嘎嘎丝滑，不愧是游戏机里面的天花板，超帅。,2026年2月11日,"{'机身颜色': '赛道版', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",手机外观很漂亮特别是游戏嘎嘎丝滑不愧是游戏机里面的天花板超帅,手机 外观 很漂亮 特别 游戏 嘎嘎 丝滑 不愧 游戏机 里面 天花板 超帅,商品3.csv,1.0,正向
1,收到货用到现在为止，体验感不错，手机拆开没有刮花，手机没什么问题，收到时候还是未激活的全新，有保障不错！好评,2026年1月21日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+256GB'}",收到货用到现在为止体验感不错手机拆开没有刮花手机没什么问题收到时候还是未激活的全新有保障不错好评,收到 用到 现在 为止 体验 不错 手机 拆开 没有 刮花 手机 没什么 问题 收到 时候 还是 未激活 全新 保障 不错 好评,商品3.csv,0.8607,正向
1,打逆水寒，最高画质，帮战不卡，也不怎么发热,2026年2月8日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '12GB+256GB'}",打逆水寒最高画质帮战不卡也不怎么发热,逆水 最高 画质 帮战 不卡 不怎么 发热,商品3.csv,0.9668,正向
1,iQoo15好看了,2026年1月18日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",好看了,好看,商品3.csv,0.7112,中性
1,急着用手机，和客服沟通后昨晚下单今早就到了，非常感谢客服小姐姐的加急和快递员的速度，辛苦了❤️谢谢！,2026年2月1日,"{'机身颜色': '凌云', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",急着用手机和客服沟通后昨晚下单今早就到了非常感谢客服小姐姐的加急和快递员的速度辛苦了谢谢,手机 客服 沟通 昨晚 下单 早就 非常感谢 客服 小姐姐 加急 快递 速度 辛苦 谢谢,商品3.csv,0.0936,负向
1,该用户觉得商品还不错,2026年2月1日,"{'机身颜色': '传奇版', '套餐类型': '官方标配', '存储容量': '16GB+512GB'}",该用户觉得商品还不错,用户 觉得 商品 不错,商品3.csv,0.6592,中性
