评论,分数,产品,名字,评论ID,清洗后评论,分词后评论,来源文件,情感分值,情感倾向
买的第2部红米K80，现在买国补有补贴，比发布时要降价很多，综合性能和配置来说这个价格算不错，这部买给妈妈使用。,5,已购 雪岩白 12GB+256GB,s***7,16,买的第部红米现在买国补有补贴比发布时要降价很多综合性能和配置来说这个价格算不错这部买给妈妈使用,第部 红米 现在 买国 补有 补贴 发布 时要 降价 很多 综合性 配置 来说 这个 价格 不错 这部 妈妈 使用,商品7.csv,0.998,正向
手机收到工作人员现场激活，送货快动作流畅，用了几天手机响应速度还算可以中规中矩，国产屏幕色彩冷淡免强应付用，拍照效果一般没有微距和长镜，电池可以充电也快。,5,已购 雪岩白 12GB+256GB,jd_136804dis,18,手机收到工作人员现场激活送货快动作流畅用了几天手机响应速度还算可以中规中矩国产屏幕色彩冷淡免强应付用拍照效果一般没有微距和长镜电池可以充电也快,手机 收到 工作人员 现场 激活 送货 动作 流畅 几天 手机 响应速度 可以 中规中矩 国产 屏幕 色彩 冷淡 免强 应付 拍照 效果 一般 没有 微距 长镜 电池 可以 充电,商品7.csv,0.9999,正向
手机质量很好，拍照很清晰，外观设计精美，屏幕显示效果很好，电池续航能力强，系统很流畅，播放音乐很好听，信号稳定，值得购买,5,已购 雪岩白 12GB+256GB,L***云,19,手机质量很好拍照很清晰外观设计精美屏幕显示效果很好电池续航能力强系统很流畅播放音乐很好听信号稳定值得购买,手机 质量 拍照 清晰 外观设计 精美 屏幕显示 效果 电池 续航 能力 系统 流畅 播放 音乐 好听 信号 稳定 值得 购买,商品7.csv,1.0,正向
外观设计漂亮。中间是金属材质，送了原厂贴膜和套。白色有浮雕，国家补贴后这个价位能买到实在无敌了,5,已购 雪岩白 12GB+256GB,师傅仔1980,20,外观设计漂亮中间是金属材质送了原厂贴膜和套白色有浮雕国家补贴后这个价位能买到实在无敌了,外观设计 漂亮 中间 金属 材质 原厂 贴膜 白色 浮雕 国家补贴 这个 价位 实在 无敌,商品7.csv,0.9993,正向
给家里老人买的 用了一段时间 整体还是不错的感觉 正好赶上国补价格还是很实惠的 还不错 就是屏幕贴膜收到有划痕 很不舒服 其他使用上还是不错的,5,已购 玄夜黑 12GB+256GB,yuanyuan520xixi,21,给家里老人买的 用了一段时间 整体还是不错的感觉 正好赶上国补价格还是很实惠的 还不错 就是屏幕贴膜收到有划痕 很不舒服 其他使用上还是不错的,家里 老人 一段时间 整体 还是 不错 感觉 正好 赶上 国补 价格 还是 实惠 不错 就是 屏幕 贴膜 收到 划痕 舒服 其他 使用 还是 不错,商品7.csv,1.0,正向
"性价比极高,非常好用,简直就是梦中情机
充电速度90W，有线快充
手感好，用阳光下能看的机应用启动快
而且基于澎湃os,的更新bug非常少",5,已购 玄夜黑 12GB+512GB,jd_k35e5sa3obs9tl,22,"性价比极高非常好用简直就是梦中情机
充电速度有线快充
手感好用阳光下能看的机应用启动快
而且基于澎湃的更新非常少",性价比 极高 非常 好用 简直 就是 梦中 情机 充电 速度 有线 快充 手感 好用 阳光 下能 应用 启动 而且 基于 澎湃 更新 非常少,商品7.csv,0.9989,正向
手感很棒，屏幕色彩细腻，运行速度超快，拍照清晰，音质很不错，电池超长续航，充电速度超快，ip68级防尘防水，不愧是旗舰机，价格更是满意。,5,已购 玄夜黑 12GB+256GB,小***生,23,手感很棒屏幕色彩细腻运行速度超快拍照清晰音质很不错电池超长续航充电速度超快级防尘防水不愧是旗舰机价格更是满意,手感 很棒 屏幕 色彩 细腻 运行 速度 超快 拍照 清晰 音质 不错 电池 超长 续航 充电 速度 超快级 防尘 防水 不愧 旗舰机 价格 更是 满意,商品7.csv,1.0,正向
手机很不错，有国补价格很合适，京东快递也很快，快递小哥现场核销，一直购买红米手机，性价比很高，使用不卡顿，好用，和线下购买没啥差别！,5,已购 玄夜黑 12GB+512GB,小犟豆,24,手机很不错有国补价格很合适京东快递也很快快递小哥现场核销一直购买红米手机性价比很高使用不卡顿好用和线下购买没啥差别,手机 不错 有国补 价格 合适 京东 快递 很快 快递 小哥 现场 核销 一直 购买 红米 手机 性价比 使用 不卡顿 线下 购买 差别,商品7.csv,0.9998,正向
K80不愧是千元旗舰！续航强、屏幕好、性能稳，该有的功能全配齐，拍照日常够用，手感颜值都在线，这个价位找不到对手，非常满意！,5,已购 玄夜黑 16GB+256GB,从***茶,25,不愧是千元旗舰续航强屏幕好性能稳该有的功能全配齐拍照日常够用手感颜值都在线这个价位找不到对手非常满意,不愧 千元 旗舰 续航 屏幕 性能 稳该 功能 配齐 拍照 日常 够用 手感 颜值 在线 这个 价位 不到 对手 非常 满意,商品7.csv,1.0,正向
东西很不错，看起来很高级，k80 还是很有性价比，整体做工系统也流畅，系统也好，做工也精细。但是和k50 相比也摸不出什么差别，就是外观上变高级了体使用体验上没什么太大变,5,已购 玄夜黑 12GB+512GB,hohooz,27,东西很不错看起来很高级 还是很有性价比整体做工系统也流畅系统也好做工也精细但是和 相比也摸不出什么差别就是外观上变高级了体使用体验上没什么太大变,东西 不错 看起来 高级 还是 性价比 整体 做工 系统 流畅 系统 也好 做工 精细 但是 相比 不出 什么 差别 就是 外观 高级 使用 体验 没什么 太大变,商品7.csv,1.0,正向
一直关注，有优惠了，并且还享受国补直降，比较划算，性价比OK。充电速度快，90W。操作反应很快。手感舒适。但感觉相机一般，这个价位，总体满意。,5,已购 汐月蓝 16GB+1TB,Singa889,28,一直关注有优惠了并且还享受国补直降比较划算性价比充电速度快操作反应很快手感舒适但感觉相机一般这个价位总体满意,一直 关注 优惠 并且 享受 国补 直降 比较 划算 性价比 充电 速度 操作 反应 很快 手感 舒适 感觉 相机 一般 这个 价位 总体 满意,商品7.csv,1.0,正向
颜值高，性价比高，待机时长正常，新手机软件启动正常，送了手机壳，自己又另外买了手机膜，希望能用个几年吧。给家里老人选的。,5,已购 玄夜黑 12GB+256GB,jd_4i5718x71i0e77,29,颜值高性价比高待机时长正常新手机软件启动正常送了手机壳自己又另外买了手机膜希望能用个几年吧给家里老人选的,颜值 高性价比 待机 正常 手机软件 启动 正常 手机 自己 另外 手机 希望 能用 几年 家里 人选,商品7.csv,0.7918,中性
去年给妈妈买了一台，今年给爸爸又买了一台，k80性价比很高的，性能又好，还是很推荐购买的，拍照质感很好，手机运行很流畅，不错不错,5,已购 玄夜黑 12GB+256GB,依然0315,31,去年给妈妈买了一台今年给爸爸又买了一台性价比很高的性能又好还是很推荐购买的拍照质感很好手机运行很流畅不错不错,去年 妈妈 一台 今年 爸爸 一台 性价比 性能 还是 推荐 购买 拍照 质感 手机 运行 流畅 不错 不错,商品7.csv,1.0,正向
小米的K80质感颜值都很棒，我一直是小米用户，感觉最省心的就是数据迁移，太方便了，以后没特殊情况，就一直用小米手机吧！,5,已购 玄夜黑 12GB+512GB,孙兆磊33,32,小米的质感颜值都很棒我一直是小米用户感觉最省心的就是数据迁移太方便了以后没特殊情况就一直用小米手机吧,小米 质感 颜值 很棒 一直 小米 用户 感觉 省心 就是 数据 迁移 方便 以后 特殊 情况 一直 小米 手机,商品7.csv,0.9933,正向
十小时，到货，真快。小米手机，出了奇的好用。可比那些爱国机好用多了。价格好，且品质高。充电好快。太牛了。这才是妥妥的爱国机！,5,已购 玄夜黑 12GB+256GB,4tz8d383c2o2sh,33,十小时到货真快小米手机出了奇的好用可比那些爱国机好用多了价格好且品质高充电好快太牛了这才是妥妥的爱国机,十小时 到货 小米 手机 可比 那些 爱国 机好 价格 好且 品质 充电 好快 太牛 妥妥 爱国,商品7.csv,0.9999,正向
K80手感舒适，2K直屏清晰护眼。骁龙8 Gen3运行超流畅，6550mAh大电池续航顶，90W快充回血快，拍照成像稳，IP68耐用，性价比拉满超适合日常与游戏。,5,已购 雪岩白 16GB+256GB,红***圆,34,手感舒适直屏清晰护眼骁龙 运行超流畅大电池续航顶快充回血快拍照成像稳耐用性价比拉满超适合日常与游戏,手感 舒适 直屏 清晰 护眼 骁龙 运行 流畅 电池 续航 顶快 充回 血快 拍照 成像 耐用 性价比 拉满超 适合 日常 游戏,商品7.csv,1.0,正向
颜值很高，手机也很轻，关键是内存1t对于拍照片的人来说很有好，不像我老公有百度网盘俺不会用，农村老娘们，虽然我很自以为是，但这是我的本质！自己没理也要把别人说成有理！,5,已购 雪岩白 16GB+1TB,慧瞾,35,颜值很高手机也很轻关键是内存对于拍照片的人来说很有好不像我老公有百度网盘俺不会用农村老娘们虽然我很自以为是但这是我的本质自己没理也要把别人说成有理,颜值 手机 关键 内存 对于 拍照片 来说 老公 百度网 不会 农村 老娘 虽然 自以为是 本质 自己 没理 别人 说成 有理,商品7.csv,0.1796,负向
"春节期间，快递速度依然很给力
外形外观：外观磨砂金属的背板
拍照效果：拍照效果很好，夜晚光线不足环境也很清晰，日常拍照适用。
待机时间：使用频率高的情况下，全天也不需要充电，没有电量焦虑",5,已购 玄夜黑 16GB+512GB,j***v,36,"春节期间快递速度依然很给力
外形外观外观磨砂金属的背板
拍照效果拍照效果很好夜晚光线不足环境也很清晰日常拍照适用
待机时间使用频率高的情况下全天也不需要充电没有电量焦虑",春节 期间 快递 速度 依然 外形 外观 外观 磨砂 金属 背板 拍照 效果 拍照 效果 夜晚 光线 不足 环境 清晰 日常 拍照 适用 待机时间 使用 频率 情况 全天 需要 充电 没有 电量 焦虑,商品7.csv,0.9999,正向
便宜是最大特点，也不卡 给孩子挺好,3,已购 山峦青 12GB+256GB,平***远,37,便宜是最大特点也不卡 给孩子挺好,便宜 最大 特点 不卡 孩子,商品7.csv,0.9963,正向
这款手机看了好长时间，看价格合适，还有国补，90瓦快充，充电速度快，宝贝非常棒，是自己想要的那种风格，到货也很快，谢谢老板，服务五颗星,5,已购 玄夜黑 12GB+256GB,LZ_091*****1108,38,这款手机看了好长时间看价格合适还有国补瓦快充充电速度快宝贝非常棒是自己想要的那种风格到货也很快谢谢老板服务五颗星,手机 好长时间 价格 合适 还有 国补瓦 快充 充电 速度 宝贝 非常 自己 想要 那种 风格 到货 很快 谢谢 老板 服务 五颗星,商品7.csv,1.0,正向
全家都是小米忠实拥护者，这次正好赶上国补，便宜了好多。手机运行很顺畅，拍照更清晰了，今天帮娃拍照完成寒假实践作业，拍出来的照片大家都惊叹，就像新的一样。真是神奇。,5,已购 雪岩白 12GB+512GB,15mi59e7s1sx8n,39,全家都是小米忠实拥护者这次正好赶上国补便宜了好多手机运行很顺畅拍照更清晰了今天帮娃拍照完成寒假实践作业拍出来的照片大家都惊叹就像新的一样真是神奇,全家 小米 忠实 拥护者 这次 正好 赶上 国补 便宜 好多 手机 运行 顺畅 拍照 清晰 今天 帮娃 拍照 完成 寒假 实践 作业 出来 照片 大家 惊叹 一样 真是 神奇,商品7.csv,1.0,正向
还不错的手机，外观挺好看的。配套齐全，价格美丽，不可多得的性价比，内存大，怎么用都不会卡，挺好的好评,5,已购 山峦青 16GB+1TB,0***1,40,还不错的手机外观挺好看的配套齐全价格美丽不可多得的性价比内存大怎么用都不会卡挺好的好评,不错 手机 外观 好看 配套 齐全 价格 美丽 不可多得 性价比 内存 怎么 不会 卡挺 好评,商品7.csv,1.0,正向
发货速度快，包装完好无损。红米K80是一款优缺点鲜明、主打性能和续航的性价比手机，适合预算在2000元档、追求均衡体验但对拍照要求不高的用户。,5,已购 山峦青 12GB+256GB,j***m,41,发货速度快包装完好无损红米是一款优缺点鲜明主打性能和续航的性价比手机适合预算在元档追求均衡体验但对拍照要求不高的用户,发货 速度 包装 完好无损 红米 一款 优缺点 鲜明 主打 性能 续航 性价比 手机 适合 预算 追求 均衡 体验 拍照 要求 不高 用户,商品7.csv,1.0,正向
"一直在找一部性能强、续航久还屏幕好的手机，预算大概 2000内 ，挑来选去，最终入手了红米 K80。
同级别，我认为他是最水桶的，再加上国补的价格，是真的很香。",5,已购 山峦青 12GB+256GB,J***2,42,"一直在找一部性能强续航久还屏幕好的手机预算大概 内 挑来选去最终入手了红米 
同级别我认为他是最水桶的再加上国补的价格是真的很香",一直 一部 性能 续航 屏幕 手机 预算 大概 挑来 选去 最终 入手 红米 级别 认为 水桶 加上 国补 价格 真的 很香,商品7.csv,0.9984,正向
公司日常业务用的手机，都是在京东购买，发货快，购买方便。这次买了小米的K80，颜色好好看，容易大，而且价格挺划算的，手机用起来很流畅。,5,已购 山峦青 16GB+1TB,欣0011,43,公司日常业务用的手机都是在京东购买发货快购买方便这次买了小米的颜色好好看容易大而且价格挺划算的手机用起来很流畅,公司 日常 业务 手机 京东 购买 发货 购买 方便 这次 小米 颜色 好好看 容易 而且 价格 划算 手机 起来 流畅,商品7.csv,1.0,正向
一直用的红米K系列，从60换成了80，习惯了它的操作系统，感觉用的顺手了，颜色也好看，一直用的青色的。,5,已购 山峦青 16GB+256GB,ztukle453ar8j1,44,一直用的红米系列从换成了习惯了它的操作系统感觉用的顺手了颜色也好看一直用的青色的,一直 红米 系列 换成 习惯 操作系统 感觉 顺手 颜色 好看 一直 青色,商品7.csv,0.815,正向
拍照清晰，外观好看，运行速度还可以，毕竟一分钱一分货，待机时间长，流畅不卡顿，充电速度快，不错值得拥有,5,已购 雪岩白 16GB+512GB,琪树留其名A,45,拍照清晰外观好看运行速度还可以毕竟一分钱一分货待机时间长流畅不卡顿充电速度快不错值得拥有,拍照 清晰 外观 好看 运行 速度 可以 毕竟 一分钱 一分货 待机时间 流畅 不卡顿 充电 速度 不错 值得 拥有,商品7.csv,1.0,正向
外形外观特别的棒，而且他的拍照效果也特别好，屏幕素质特别好，一直内存也特别的大，而且能够参与以旧换新,5,已购 玄夜黑 12GB+256GB,望仔小伟,47,外形外观特别的棒而且他的拍照效果也特别好屏幕素质特别好一直内存也特别的大而且能够参与以旧换新,外形 外观 特别 而且 拍照 效果 特别 屏幕 素质 特别 一直 内存 特别 而且 能够 参与 以旧换新,商品7.csv,0.9997,正向
买了好久啦，给爸妈买的，价格很美丽，用了几天发现充电很慢，维修后好了，手机用着没事，应该是充电器问题。买旧款就是很划算，小米手机还不错的。,5,已购 玄夜黑 12GB+256GB,hhyshfq,48,买了好久啦给爸妈买的价格很美丽用了几天发现充电很慢维修后好了手机用着没事应该是充电器问题买旧款就是很划算小米手机还不错的,好久 爸妈 价格 美丽 几天 发现 充电 维修 手机 没事 应该 充电器 问题 旧款 就是 划算 小米 手机 不错,商品7.csv,0.9976,正向
颜值高，手感好，丝滑顺畅，电池很耐用，从来没有用过这么久，耐用的电池，拍照色素很饱满，性价比很高出的新款K90，特意来京东买的这款的k80，送货的快递小哥也很认真负责,5,已购 玄夜黑 12GB+512GB,jd_yHDFiUASBjEQ,49,颜值高手感好丝滑顺畅电池很耐用从来没有用过这么久耐用的电池拍照色素很饱满性价比很高出的新款特意来京东买的这款的送货的快递小哥也很认真负责,颜值 高手 感好 丝滑 顺畅 电池 耐用 从来 没有 用过 这么久 耐用 电池 拍照 色素 饱满 性价比 高出 新款 特意 京东 这款 送货 快递 小哥 认真负责,商品7.csv,1.0,正向
红米k80，性价比挺高的，系统流畅，手机外观也漂亮，价格也划算，日常使用非常不错，用个3年问题不大。,5,已购 玄夜黑 12GB+256GB,牙不齐先生,50,红米性价比挺高的系统流畅手机外观也漂亮价格也划算日常使用非常不错用个年问题不大,红米 性价比 系统 流畅 手机 外观 漂亮 价格 划算 日常 使用 非常 不错 用个 问题,商品7.csv,1.0,正向
帮朋友下单的，有国补，很便宜，朋友很满意，我决定自己也入手一个，现在手机比以前便宜多了，从上大学就一直用红米手机。从来没换过别的,5,已购 山峦青 12GB+256GB,孙大6681,51,帮朋友下单的有国补很便宜朋友很满意我决定自己也入手一个现在手机比以前便宜多了从上大学就一直用红米手机从来没换过别的,朋友 下单 国补 便宜 朋友 满意 决定 自己 入手 一个 现在 手机 以前 便宜 大学 一直 用红米 手机 从来 没换 别的,商品7.csv,0.9985,正向
。京东自营的小米K80智能手机颜色好看，样子优美很实整很满意，试用了一下很滑手感池一流产颜色好看十二分满意。,5,已购 汐月蓝 12GB+256GB,智者风骨_舒心x8499,52,京东自营的小米智能手机颜色好看样子优美很实整很满意试用了一下很滑手感池一流产颜色好看十二分满意,京东 自营 小米 智能手机 颜色 看样子 优美 实整 满意 试用 一下 手感 池一 流产 颜色 好看 十二分 满意,商品7.csv,0.9987,正向
Redmi K80性价比超高，骁龙8 Gen3性能拉满，2K屏幕显示细腻，6550mAh电池续航给力。IP68防水和90W快充是加分项，拍照也够用，适合追求性能的学生党或上班族。,5,已购 汐月蓝 16GB+256GB,飞***8,53,性价比超高骁龙 性能拉满屏幕显示细腻电池续航给力防水和快充是加分项拍照也够用适合追求性能的学生党或上班族,性价比 超高 骁龙 性能 拉满 屏幕显示 细腻 电池 续航 给力 防水 充是 分项 拍照 够用 适合 追求 性能 学生 上班族,商品7.csv,1.0,正向
小米REDMIK80手机已经收到了，产品质量很好，屏幕音效不错，拍照效果一班，待机时间长，京东自营拍的好满意。,5,已购 汐月蓝 12GB+256GB,力量源泉813003930,54,小米手机已经收到了产品质量很好屏幕音效不错拍照效果一班待机时间长京东自营拍的好满意,小米 手机 已经 收到 产品质量 屏幕 音效 不错 拍照 效果 一班 待机时间 京东 自营 满意,商品7.csv,0.9977,正向
这款手机这次搞活动价格很优惠，看了下配置很不错，就下单了，一天到货，包装很好，试了一下，很流畅，不错。,5,已购 玄夜黑 12GB+512GB,1***u,55,这款手机这次搞活动价格很优惠看了下配置很不错就下单了一天到货包装很好试了一下很流畅不错,手机 这次 活动 价格 优惠 配置 不错 下单 一天 到货 包装 好试 一下 流畅 不错,商品7.csv,0.9999,正向
手机看着还不错，重量有点重，但是7000将近7000的电池感觉挺耐用的，总体来说很好。给家里老人买的。各方面也都够用。想要的功能也都有。挺满意。,5,已购 玄夜黑 12GB+512GB,jd_158417vvf,56,手机看着还不错重量有点重但是将近的电池感觉挺耐用的总体来说很好给家里老人买的各方面也都够用想要的功能也都有挺满意,手机 看着 不错 重量 有点 但是 将近 电池 感觉 耐用 总体 来说 家里 老人 方面 够用 想要 功能 满意,商品7.csv,1.0,正向
这款红米K80手机，我领到了国礼券，最后实付1529元，太实惠了，京东物流也很快服务好，手机好用性价比高，值得买！,5,已购 玄夜黑 12GB+256GB,j***k,57,这款红米手机我领到了国礼券最后实付元太实惠了京东物流也很快服务好手机好用性价比高值得买,这款 红米 手机 领到 礼券 最后 实付 实惠 京东 物流 很快 服务 手机 好用 性价比 值得,商品7.csv,0.9538,正向
拍照效果特别好，特别是强光下也可看得很情楚，去年儿子给老婆买了一个，我觉得好，今年也买了一个，还便宜了快1000块钱。,5,已购 玄夜黑 12GB+256GB,xoyacn6f53ykca,58,拍照效果特别好特别是强光下也可看得很情楚去年儿子给老婆买了一个我觉得好今年也买了一个还便宜了快块钱,拍照 效果 特别 特别 强光 情楚 去年 儿子 老婆 一个 觉得 今年 一个 便宜 块钱,商品7.csv,0.9586,正向
使用正常，性价比不错。,3,已购 雪岩白 12GB+256GB,2205b7y6vy27ze,59,使用正常性价比不错,使用 正常 性价比 不错,商品7.csv,0.9075,正向
第二台K80了，首发买的用了一年多，总体上感觉还可以，这次512的价格也很实惠，补贴下来比256的性价比高。,5,已购 玄夜黑 12GB+512GB,d***7,60,第二台了首发买的用了一年多总体上感觉还可以这次的价格也很实惠补贴下来比的性价比高,第二台 首发 一年 总体 感觉 可以 这次 价格 实惠 补贴 下来 性价比,商品7.csv,0.963,正向
