商品ID,商品标题,价格,店铺名称,店铺标签,销量,产地,是否促销,秒杀信息,商品链接
993016602639,OPPO 一加 Ace 6T 第五代骁龙 8 超高刷电竞屏游戏AI手机一加,2399.00,一加官方旗舰店,回头客10万,3万+人付款,广东 东莞,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2125&e=Zjj%2FqcF7WVBY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJCPaD0OMRmav%
844758148374,【购机享3期免息】REDMI K80红米k80手机官方旗舰店游戏拍照学生国补智能手机小米手机红米手机redmik80,1999.00,小米官方旗舰店,回头客700万,30万+人付款,北京,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2221&e=CalF97xee%2FFY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJChi8azWS07Gm
1021739384303,暗黑风蝴蝶适用于苹果17promax手机壳复古简约iphoneair时尚15/14/13小众6/7/8plus时尚xs/xr女款12/11保护套,23.50,悠月旗舰店,回头客1万,9人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2253&e=xLNNn2KE8gBY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJAL3za%2Bwi%2BJ
968794543088,国行正品 Apple/苹果 iPhone 14/苹果14/13/12全网通手机三期免息,1709.00,宏图数码科技,,1000+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2177&e=D6ygAz%2FG2iBY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJB79TZKxanGwO
993986586355,Apple/苹果 iPhone14 Promax正品国行双卡13ProMax苹果13 14手机,1850.00,祥瑞数码城,,300+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2209&e=MQMGfS3kCltY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJCcAnvie1jWDpld
962954046078,REDMI Note 15 Pro手机红米note手机小米手机小米官方旗舰店官网新品小米note15pro,1079.10,小米官方旗舰店,回头客700万,10万+人付款,北京,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2209&e=Xi2RbIOUazlY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJDPOeONIXe2vGwz
960645178998,Apple/苹果 iPhone 14苹果12/13/14 国行正品5G全网通双卡手机,1410.00,融辉数码科技,,500+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2189&e=%2FMJls2KpAzRY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJBjdaqfITevf6
1009322116275,Apple/苹果 iPhone14 Promax正品国行双卡13ProMax苹果13 14手机,1910.00,华科数码城,,94人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2209&e=2dFjSYAZr0RY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJBhhwgmDt%2Fho6
851904551988,新款上市/当天发货 荣耀500 16+512GB大内存AI修图5G手机2亿像素Ai拍照全能实况高通骁龙8s正品智能荣耀手机,2661.00,幸运宝贝数码专营店,回头客2千,600+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2177&e=yzXjs1PgDVBY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJCGd%2F9ygq6zOM
1010788400668,【2026新款】华强北17mini迷你小手机智能便携小巧小尺寸小屏幕儿童学生专用游戏安卓超小型备用机网红黑科技,366.00,紫悦数码专营店,6年老店,100+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2189&e=n40dUN2E4I1Y1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJAnINY62Sph6WRf
638752306403,【政府补贴15% 晒单返30元】HONOR/荣耀Power2 手机10080mAh青海湖电池电梯信号王天玑8500Elite官方旗舰2127,2516.55,苏宁易购官方旗舰店,回头客1000万,1000+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2049&e=Rbe8qD6LkNxY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJBFL05facaAJSwK
1000069757229,Apple/苹果 iPhone12promax苹果12双卡5G国行苹果12pro正品手机,1380.00,城市科技数码,,55人付款,广东 广州,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2209&e=IjRqFU4ifopY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJAnK59eRs5TqJ5G
991782877436,Apple/苹果 iphone14 Promax 国行双卡5G全网通苹果14Pro正品手机,2260.00,融辉数码科技,,100+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2189&e=t8jFLlhKSb5Y1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJBjdaqfITevf6Np
1017188962489,政府补贴15% 6期免息 晒单激活50元 华为nova 15麒麟芯片鸿蒙游戏数码学生新款华为nova15手机官方旗舰店正品,2549.00,华为华亲专卖店,回头客1万,7人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2169&e=bxsfCT%2Bh7XFY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJCQBv0LFteIou
974664762415,【12期免息】Apple/苹果 iPhone 17 Pro Max 手机 全网通 2025 新款 全新国行 正品保障 多仓速发,9999.00,Apple产品权益智选专营店,回头客1万,2000+人付款,浙江 杭州,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2189&e=iTMmyS7vwphY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJBuZ74MJw3104Hs
993045491683,Apple/苹果 iPhone 15 Plus 苹果15 plus 原封 全新正品双卡 手机,3800.00,卓迪数码,,700+人付款,广东 汕头,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2189&e=7%2BYTBC9p%2B41Y1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJDojqTIm3fe
1009454712739,官方正品·智能手机5G全网通512G大内存,303.00,胡宁手机专营店,,100+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2169&e=jqxhhnV5hNBY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJCe9Kjl9fQx54dg
974199527610,【12期免息】Apple/苹果 iPhone 17 Pro 手机 A19 Pro 芯片 2025新款 全国联保 游戏拍照 支持淘金币,8999.00,Apple产品潮玩专营店,回头客5千,1000+人付款,浙江 杭州,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2221&e=3jGzp6Ep0RhY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJAdMsSLqtTdC%2B
992062986936,Apple/苹果 iPhone 14 Pro Max 新机 苹果14promax 原封正品手机,2799.00,万客隆数码商城,,800+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2189&e=8FyF69DOlh5Y1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJCvvK8z7yQqhs%2
964371009542,Huawei/华为 畅享 70 Pro正品全网通双卡智能手机大屏幕超长待机,928.00,星峰甄选,,1000+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2169&e=h11zCjh9PIFY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJAi%2F3XhvzTf%2
921797054553,手机政府补贴M60pro官方旗舰店2026全新正品全面屏双卡双待5G手机,458.00,5G数码严选店,,300+人付款,广东 深圳,是,直降450元,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2201&e=vjmz9b%2B8DYZY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJB6elz8jl691x
920610044404,OPPO Reno12 超美小直屏天玑8250星速版旗舰芯片5G智能时尚AI手机,1500.00,华欣优品科技,,300+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2157&e=7SIn7TYoWJ5Y1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJDTrj7IZK%2BEB9
930444616539,【直播间享专属优惠6期免息】vivo X Fold5新品上市折叠屏商务旗舰手机轻办公神器拍照官方旗舰店官网正品,6999.00,vivo手机官方旗舰店,回头客30万,,广东 东莞,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2201&e=ogH0r2%2BuqcJY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJC0NtMOODEhDu
975926041218,【品牌特卖 新品上市】原封正品便宜学生价AI语音红外摇控OTG大内存超薄大屏电竞游戏安卓备用全网通智能手机,358.20,深圳海创利华数码专营店,13年老店,100+人付款,广东 深圳,是,直降289.8元,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2189&e=mRJ4rW4vdRlY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJDO9oi1Lu5yFZDS
988847430568,Apple/苹果 iPhone 14 Pro Max 原封 苹果14promax 全新正品手机,3880.00,东科数码,,100+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2189&e=NE1Ct%2Br2ou9Y1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJANqEtXzvdGLR
994046639924,【新品上市】OPPO 一加 Ace 6T 一加手机官方旗舰店ace6t手机新款oppo手机 5g智能机 一加手机 ace5 ace6t,2339.00,OPPO欧佳专卖店,回头客3千,1000+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2209&e=hGEy2YCf%2F7RY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJBo6kOPITTAvY
1002711566965,【国家补贴15%】华为nova15 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 华为直屏鸿蒙手机官方旗舰店正品,2499.00,苏宁易购官方旗舰店,回头客1000万,1000+人付款,江苏 南京,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2081&e=wg6mTUg4Q%2BpY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJBFL05facaAJS
836064672367,2025年新款华为智选 Hi畅享80Pro 5G手机旗舰正品WIKO手机鸿蒙生态系统40W超级快充智能昆仑玻璃正品hi畅享80,759.00,幸运宝贝数码专营店,回头客2千,800+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2177&e=r8xilMILgvtY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJCGd%2F9ygq6zOM
1016343487358,【政府补贴】官方正品P70pro安卓智能5G手机,333.80,胡宁手机专营店,,38人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2169&e=WtvB4aqAoqZY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJCe9Kjl9fQx54dg
1024397171305,官方正品5G大屏长续航学生智能手机1024GB大内存电竞游戏备用机,298.00,原装正品特卖店,,11人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2169&e=IGi8uM%2BUgrRY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJChBFa5uqUy%2
963693922812,Huawei/华为 nova 12 活力版骁龙778G鸿蒙前置拍照6000万正品手机,1047.00,星峰甄选,,1000+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2157&e=6EZ7lPQJiWJY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJAi%2F3XhvzTf%2
978517563071,苹果iphone15国行双卡苹果13苹果14苹果15正品iphone13现货5G手机,2008.00,幸运BABY优品数码,11年老店,2000+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2145&e=8MT4O%2FprDAdY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJByZqvyZcyqZW
994124007239,16Pro Max 5G智能手机！512GB大内存！30天免费试用！,392.00,乐恒创数码专营店,回头客4千,18人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2093&e=LrtCXpsAQvdY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJB77tybm7NaiPbq
969690026750,【官方旗舰店】纽曼N70S迷你智能手机128GB安卓纯净版双卡双待旗舰八核超薄4G全网通可用5G卡青少年备用机,386.00,纽曼手机旗舰店,回头客2万,200+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2169&e=e190T1%2FT1jBY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJBFLHmSiL090x
976019560529,【国补 500 元/现货速发】Apple/苹果 iPhone 17 支持移动联通电信 5G 双卡双待手机,5999.00,Apple产品萌宠主题专营店,,300+人付款,浙江 杭州,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2201&e=EhTHn4bl9DtY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJC70R9kMggZyHub
947942741880,Apple/苹果 iPhone 12 Pro Max苹果12pro 国行双卡正品手机全网通,2030.00,万德利数码,,400+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2145&e=tSJYt4OvqGlY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJAJIsj06FNb9KCN
844174889614,2026年新款5G全网通智能手机！30天免费试用！512GB大内存1,341.00,乐恒创数码专营店,回头客4千,700+人付款,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2093&e=h6I59rxiTJBY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJB77tybm7NaiPbq
1026005428540,【新品上市】Samsung/三星 Galaxy S26+ 拟人AI助理 增强视觉影像 骁龙8至尊版移动平台 AI手机,8299.00,能良数码官方旗舰店,回头客3万,0人付款,浙江 金华,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=107694572&clk1=338f7cca440c87847e0428fc08531923&k=2189&e=%2Bd6FOsSdcCVY1PirPMGIiIe5cdLNyqp1iNKA3AI9Di9bNTNVVf52DXNmd4HR%2BgkXLSXByIlpIJBCeGjcu5TNEg
994160488413,【国家补贴至高省500元】vivo S50 学生拍照大电池大内存手机 vivo手机官方旗舰店正品官网新款s30,2609.10,vivo手机官方旗舰店,回头客30万,,广东 东莞,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=1383752071&clk1=338f7cca440c87847e0428fc08531923&k=2201&e=VFRGpEmIrs%2FxSsamscfe1IieQQu5bV71qkJ6z%2BQQ7kmGo%2BFt6IsfuGeO%2FximyeHGgUX4pl3gom1NWeCwd
979154582999,【旗舰新品 现货速发】威图VERTU纬图 AGENT Q奢品直面屏AI智能体手机  安全加密三系统 礼品送礼 24期免息,29502.00,VERTU纬图旗舰店,7年老店,30人付款,四川 成都,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=1383752071&clk1=338f7cca440c87847e0428fc08531923&k=2209&e=UowsYOWTIoDxSsamscfe1IieQQu5bV71qkJ6z%2BQQ7kmGo%2BFt6IsfuGeO%2FximyeHGgUX4pl3gom10%2Fs5Ov
975622742895,新品上市OPPO Find X9旗舰正品新款4K超清实况照片天玑9500,3888.90,OPPO官方旗舰店,回头客40万,1万+人付款,广东 东莞,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=1383752071&clk1=338f7cca440c87847e0428fc08531923&k=2125&e=g7Nq%2B5nwUe3xSsamscfe1IieQQu5bV71qkJ6z%2BQQ7kmGo%2BFt6IsfuGeO%2FximyeHGgUX4pl3gom3Z8tHsU
988981343953,新品上市OPPOReno15正品新款学生智能宋雨琦精致小直屏2亿,2899.00,OPPO官方旗舰店,回头客40万,4万+人付款,广东 东莞,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=1383752071&clk1=338f7cca440c87847e0428fc08531923&k=2113&e=bChiFIyJHmnxSsamscfe1IieQQu5bV71qkJ6z%2BQQ7kmGo%2BFt6IsfuGeO%2FximyeHGgUX4pl3gom0KfqZWSbW
972708634672,【享15%国补】vivo iQOO 15新品第五代骁龙8至尊版2K三星屏国补游戏手机iQOO官方旗舰店官网正品大内存iqoo15,4199.00,iQOO手机官方旗舰店,回头客30万,4万+人付款,广东 东莞,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=1383752071&clk1=338f7cca440c87847e0428fc08531923&k=2209&e=TE0N5q%2B1h5nxSsamscfe1IieQQu5bV71qkJ6z%2BQQ7kmGo%2BFt6IsfuGeO%2FximyeHGgUX4pl3gom1LMj3Hy
863772049349,威图【女王节礼物 历史底价5折】VERTU 纬图META1双曲屏奢品双系统隐私安全加密AI智能体手机5G商务智能礼盒,10600.00,VERTU纬图旗舰店,7年老店,90人付款,四川 成都,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=1383752071&clk1=338f7cca440c87847e0428fc08531923&k=2201&e=eThBlaA%2FhrPxSsamscfe1IieQQu5bV71qkJ6z%2BQQ7kmGo%2BFt6IsfuGeO%2FximyeHGgUX4pl3gom10%2Fs5
978811354627,oneplusOPPO一加 15 新品上市第五代骁龙8至尊版性能旗舰手机游戏AI手,3674.00,一加官方旗舰店,回头客10万,2万+人付款,广东 东莞,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=1383752071&clk1=338f7cca440c87847e0428fc08531923&k=2145&e=0jhW4R7ZH9HxSsamscfe1IieQQu5bV71qkJ6z%2BQQ7kmGo%2BFt6IsfuGeO%2FximyeHGgUX4pl3gom3JDx2kuji
1021324474049,【新品上市 抢先付定】HONOR/荣耀Magic V6 折叠屏手机至臻黑钻屏 第五代骁龙8至尊  轻薄续航正品官方旗舰店,99999.00,荣耀官方旗舰店,回头客40万,,广东 深圳,是,,http://click.simba.taobao.com/cc_im?p=%CA%D6%BB%FA&s=1383752071&clk1=338f7cca440c87847e0428fc08531923&k=2233&e=K0ZNgZfi3trxSsamscfe1IieQQu5bV71qkJ6z%2BQQ7kmGo%2BFt6IsfuGeO%2FximyeHGgUX4pl3gom19t8k%2Bt
