标题,原价,销量,店名,id,卖点,颜色,评论
华为新品5G手机 2025智选新机上市 80pro 24期免息 6100mAh长续航红外遥控昆仑玻璃华为补贴手机mate80 星空黑【24GB(12+12)+512GB】 24期白条| 365天只换不,3298.00,400+,德凯英顿手机专营店,10186192915517,"['昆仑玻璃', '巨鲸续航', '红外遥控', '快充技术']",星空黑【24GB(12+12)+512GB】,200+
Apple/苹果 iPhone 17 256GB 白色 支持移动联通电信5G 双卡双待手机,5999.00,,Apple产品京东自营旗舰店,100209267857,"['4800万像素', '自适应高刷', 'A19芯片']",白色,100万+
华为 nova 15 256GB 幻夜黑 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2499.00,1万+,京东手机自营旗舰店,100310638736,"['轻薄设计', '鸿蒙AI', 'FHD+显示', '5000万像素']",幻夜黑,2000+
华为（HUAWEI）华为mate80Pro 版本选购 70X尊享版 2026新品上市24期免息 6100mAh巨鲸续航 麒麟8000芯片鸿蒙手机 曜金黑【512GB】 豪礼套餐版+2年店铺延保+90天,2840.00,,唯绅手机专营店,10211456028455,"['政策补贴15%', '华为麒麟8000', '华为新机旗舰']",曜金黑【512GB】,0
华为mate80pro手机 5G旗舰新品手机,2685.00,200+,华选手机店,10209202438477,"['红外遥控', '超级快充', '4千+手机达人加购']",幻夜黑12GB+512GB,100+
华为mete70pro手机 可选畅享70x  5G全网通 鸿蒙系统一键北斗 曲屏NFC 麒麟芯片 长续航闪充 防水防摔 512GB【湖光青】+送蓝牙耳机,2499.00,600+,慕霖轩手机专营店,10206652352215,"['IP64防护', '商务三防', '512GB大存', 'NFC便捷', '超耐摔机', '双曲护眼']",512GB【湖光青】+送蓝牙耳机,500+
华为（HUAWEI）2026热销 华为70X 尊享新机上市 麒麟8000一键北斗 6100mAh巨鲸长续航 华为免息80Pro补贴80X 曜金黑【512GB】 豪礼套餐版+2年延保服务+90天碎屏险+,2838.82,,德凯英顿手机专营店,10211759557906,"['华为巨鲸电池', '华为鸿蒙旗舰', '华为麒麟8000']",曜金黑【512GB】,0
华为（HUAWEI）Mate80 Pro 版本选购24期【免息】70X 尊享版6100mAh华为巨鲸长续航麒麟8000芯片鸿蒙手机 星海蓝【512GB】 耳机套装【90天碎屏险+两年延保+运费险】,3095.00,100+,福购手机专营店,10210093795735,"['麒麟8000芯片', '鸿蒙系统', 'IP64防护', '巨鲸续航']",星海蓝【512GB】,78
荣耀X70 12+512 朱砂红  金标十面抗摔 80W无线超级快充 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1999.00,90万+,荣耀京东自营旗舰店,100189191015,"['高频调光', '8300mAh', 'IP69防水', '绿洲护眼']",朱砂红,50万+
华为 nova 15 256G,2599.00,4000+,京东手机直营旗舰店,100310722766,"['高频PWM', '臻彩OLED', '鸿蒙AI', 'IP65防护']",幻夜黑,2000+
华为2026热销手机 鸿蒙新品70X 北斗卫星通信 支持NFC 玄甲机身抗跌耐摔 大电池长续航 地震预警 Mate 耀金黑【512GB】 蓝牙套装版丨3年质保+180天只换不...,2999.00,9000+,品宴手机通讯专营店,10122791293735,"['北斗卫星通信', '华为鸿蒙系统', '超长续航', '高性能处理']",耀金黑【512GB】,5000+
华为（HUAWEI）手机华为mate80 pro版本选购 70X尊享版 24期免息 6100mAh巨鲸续航 麒麟8000芯片鸿蒙手机 星海蓝【512GB】 耳机套餐版【赠一年延保+180天碎屏险】,2599.00,,迪旺手机专营店,10211073832318,"['超级NFC', '麒麟8000芯片', '大电池巨鲸续航', '鸿蒙系统', '简约风格', '轻薄机身', '星海蓝色', '麒麟芯片', '高频PWM', '巨鲸续航']",星海蓝【512GB】,3
华为手机华为智选 5G新品 Hi畅享 80 Pro 昆仑玻璃十倍耐摔 护眼屏 6100mAh+40W巨鲸续航店内Mate可选 星空黑【512GB】 官方标配+蓝牙耳机,2749.00,100+,联讯手机专营店,10210364079049,"['1千+手机达人浏览', '护眼屏', '官方标配']",星空黑【512GB】,100+
华为（HUAWEI）nova 15 12GB+256GB 幻夜黑 麒麟8020芯片 多焦段红枫影像 臻彩OLED直屏鸿蒙智能手机 支架套装,2528.00,1000+,1号会员店,100232381081,"['轻薄设计', '高频PWM', '麒麟芯片', '红枫影像']",nova15,500+
华为5G智选手机华为80pro【国家补贴】2025新机上市 24期免息 6100mAh续航 十倍耐摔 补贴华为mate80 24GB(12+12)+512GB星空黑 耳机套装版【赠1年延保+季度碎屏险,2416.00,300+,迪旺手机专营店,10211027867259,"['大电池长续航', '昆仑玻璃十倍耐摔', 'OLED 护眼屏']",24GB(12+12)+512GB星空黑,34
华为2025上市 5G新品 智选80 pro  昆仑玻璃十倍耐摔 长续航红外遥控 男女士新款手机 晨光白 12GB+512GB 官方标配【180天只换不修+三年保修+碎屏保】,2518.00,1000+,鸿福手机专营店,10183666739244,"['大气外观', '昆仑玻璃', '十倍耐摔', '高频PWM']",晨光白 12GB+512GB,1000+
华为手机智选80pro新品5G旗舰 红外遥控 昆仑玻璃 海量双存 鸿蒙守护五星级防水抗摔巨量电池+极速快充 星空黑12+512GB 蓝牙耳机套装版|180天只换不修+3年保修+碎屏险,3031.00,7000+,京贸手机专营店,10199103516102,"['近7日热卖好货', '60万+人浏览', '15万+人加购']",星空黑12+512GB,5000+
华为智选新品5G手机 70plus 鸿蒙生态24期免息 智能红外线 40W巨鲸续航 抗摔防水耐用 选mate补贴80 曜金黑【12+256GB】 官方标配【赠季度碎屏险+延保+蓝牙耳机】,1863.00,200+,乾诚手机专营店,10210918743831,"['大气外观', '鸿蒙生态', '巨鲸续航', '大容量存储']",曜金黑【12+256GB】,100+
华为 nova 15 256GB 好搭紫 麒麟8020芯片 多焦段红枫影像北斗卫星消息 100W超级快充华为手机鸿蒙系统,2549.00,,华为京东自营旗舰店,100307090428,"['多焦段红枫影像', '北斗卫星消息', '麒麟芯片', '北斗卫星']",好搭紫,5万+
华为手机华为 新品70X 活力新机2025上市一键北斗 大电池长续航 纯血鸿蒙 五星抗跌耐摔 补贴 Mate80 曜金黑【256GB】热销爆款 官方标配【赠季度碎屏险+延保+蓝牙耳机】,1745.00,200+,乾诚手机专营店,10211346562613,"['巨鲸长续航', '五星抗跌耐摔', '新品鸿蒙旗舰']",曜金黑【256GB】热销爆款,100+
一加 15T oppo智能手机 9.9元权益包 9.9元预约价值299元 OPPO Enco R4 蓝牙耳机,9.90,,一加手机京东自营旗舰店,100245397441,,【9.9元权益包】OPPO蓝牙耳机,100+
华为5G智选手机 80pro新机2025上市 24期免息 6100mAh大电池 红外遥控 昆仑玻璃 华为补贴手机mate80 星空黑 24GB(12+12)+256GB 24期白条| 365天只换不修,3599.00,,唯绅手机专营店,10208656492486,"['红外遥控', '防尘防水', '昆仑玻璃', '巨鲸续航']",星空黑 24GB(12+12)+256GB,15
华为（HUAWEI）手机华为 Mate70Pro 24期免息可选 2026新机X60 GT骁龙旗舰芯片 6300mAh青海湖电池 绿洲护眼屏 AI 幻夜黑 16GB+512GB 官方标配【180天只换,2944.00,200+,麒源手机专营店,10210908243102,"['OLED直屏', '绿洲护眼屏', '旗舰芯片', 'AI拍摄']",幻夜黑 16GB+512GB,200+
华为手机华为 新品70X 活力新机2025上市一键北斗 大电池长续航 纯血鸿蒙 五星抗跌耐摔 补贴 Mate80 雪域白【512GB】 官方标配【赠季度碎屏险+延保+蓝牙耳机】,2334.00,200+,乾诚手机专营店,10211346562625,"['五星抗跌耐摔', '巨鲸长续航', '新品鸿蒙旗舰']",雪域白【512GB】,100+
华为智选X70 十面抗摔防水 80W无线快充 华为智选手机 新品5G NFC OLED护眼屏 8300mAh电池 AI防抖拍照 8GB+128GB-朱砂红,1583.00,300+,雅领手机专营店,10178606050651,"['护眼屏', '3千+手机达人加购', '3千+人加购']",8GB+128GB-朱砂红,200+
华为手机华为 2025新机上市 70X 官方正品6100mAh巨鲸长续航地震预警北斗卫星通信超级NFC 补贴mate 湖光青【512GB】 官方标配【赠季度碎屏险+延保+蓝牙耳机】,2569.00,200+,乾诚手机专营店,10210359726926,"['OLED曲面', '北斗通信', '巨鲸续航', '防水防尘']",湖光青【512GB】,200+
华为Mate80pro版本选购24期【免息】70X 活力 2026新机上市手机华为一键北斗大电池长续航五星抗摔补贴 【雪域白 512GB】 24期免息【180天只换不修+三年质保+碎屏险】,2868.00,200+,越尔庆手机专营店,10205593844868,"['鸿蒙系统', 'FHD+显示', '防水防尘', '大电池续航']",【雪域白 512GB】,200+
华为 nova 15 512G,2899.00,4000+,京东手机直营旗舰店,100310722768,"['多焦段影像', '鸿蒙AI', '高频PWM', '红外遥控']",幻夜黑,2000+
小米（MI）REDMI Turbo 5 Max 天玑9500s 9000mAh大电池 1.5K阳光屏 12+256祥云白 小米红米5G手机,2199.00,,小米京东自营旗舰店,100316653558,"['100万+店铺粉丝浏览', '近30日热卖好货']",祥云白,10万+
华为畅享 70X 尊享版512GB 曜金黑 6100mAh华为巨鲸长续航 麒麟8000芯片 鸿蒙系统华为手机,1899.00,,华为京东自营旗舰店,100224902259,"['OLED显示', '鸿蒙系统', '曲面屏幕', 'IP64防护']",曜金黑,5万+
华为手机华为 新品70X 活力新机2025上市 一键北斗 大电池长续航 纯血鸿蒙 五星抗跌耐摔 补贴 Mate 曜金黑【512GB】 官方标配+三年延保+蓝牙耳机,2451.00,1000+,乾诚手机专营店,10209339017578,"['五星抗跌耐摔', '巨鲸长续航', '大电池续航', '鸿蒙系统', '防水防尘', '曲面屏幕', '北斗导航', '五星抗跌', '新品鸿蒙手机']",曜金黑【512GB】,1000+
华为 nova 15 512GB 好搭紫 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2799.00,1万+,京东手机自营旗舰店,100232782561,"['北斗卫星图片消息', '麒麟8020芯片', '鸿蒙AI']",好搭紫,1000+
华为手机智选80pro新品5G旗舰 红外遥控 昆仑玻璃 海量双存 鸿蒙守护五星级防水抗摔巨量电池+极速快充 星空黑12+512GB 蓝牙耳机套装版|180天只换不修+3年保修+碎屏保,3013.00,,智果手机专营店,10210906733237,"['新品5G旗舰', '400+手机达人浏览']",星空黑12+512GB,100+
华为Pura 70 12GB+512GB,3799.00,70万+,华为京东自营旗舰店,100106087181,"['第二代昆仑玻璃', '卫星通信', '双超级快充', '潜望长焦']",雪域白,5万+
华为手机华为 新品70X 活力新机2025上市 一键北斗 大电池长续航 纯血鸿蒙 五星抗跌耐摔 补贴 Mate 曜金黑【256GB】 官方标配+三年延保+蓝牙耳机,1745.00,1000+,乾诚手机专营店,10209339017569,"['新品鸿蒙手机', '巨鲸长续航', '五星抗跌耐摔']",曜金黑【256GB】,1000+
华为新机2026上市 畅享80plus,2288.00,300+,京浩手机专营店,10208816910592,"['快充技术', '高内存配置', '流畅运行', '耐摔防水']",【幻夜黑】24(12+12)+512【同款低价】,200+
华为手机新品mate70pro上市,1488.00,1万+,卓选数码手机店,10163252658600,"['95万+人浏览', '20万+人加购', '近7日人气商品']",曜石黑 6GB+128GB,5000+
华为 nova 15 512GB 好搭紫 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏鸿蒙手机【京东快递】,2899.00,4000+,京东手机直营旗舰店,100232845579,"['高频PWM', '臻彩OLED', '红枫影像', '麒麟芯片']",好搭紫,2000+
华为 nova 15 512GB 好搭紫 麒麟8020芯片 多焦段红枫影像北斗卫星消息 100W超级快充华为手机鸿蒙系统,2849.00,,华为京东自营旗舰店,100307090460,"['北斗卫星消息', 'AI大模型', '5000万像素', 'IP65防护']",好搭紫,5万+
华为 nova 15 512GB 零度白 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2799.00,1万+,京东手机自营旗舰店,100310638774,"['麒麟8020芯片', '北斗卫星图片消息', '红枫影像', '高频PWM']",零度白,500+
HUAWEI Mate 80 第二代红枫影像鸿蒙AI 华为直屏鸿蒙手机华为mate80 官方正品 曜石黑 16GB+512GB 全网通 官方标配,5499.00,3000+,京联通达旗舰店,10199736736359,"['第二代红枫影像', '超可靠玄武架构']",曜石黑,2000+
华为（HUAWEI）Mate80 Pro 版本选购24期【免息】70X 尊享版6100mAh华为巨鲸长续航麒麟8000芯片鸿蒙手机 曜金黑【512GB】 耳机套装【90天碎屏险+两年延保+运费险】,3095.00,100+,福购手机专营店,10210093795732,"['鸿蒙系统', '巨鲸续航', '曲面屏幕', '麒麟8000芯片']",曜金黑【512GB】,78
华为Pura 70 12GB+512GB,3799.00,70万+,华为京东自营旗舰店,100123450364,"['双超级快充', '高频调光', '潜望长焦距', '轻薄便携带']",羽砂黑,50万+
REDMI K90 12GB+256GB 白色,2598.99,30万+,小米京东自营旗舰店,100215674663,"['5000万像素', '时尚设计', '大电池续航', '7100毫安电池']",白色,20万+
HUAWEI Mate X7 折叠屏手机 超可靠折叠玄武架构 华为折叠屏鸿蒙 华为matex7手机 官方正品 现货速发 曜石黑 12GB+512GB全网通,13999.00,1000+,炜东电商旗舰店,10200281263496,"['4千+店铺粉丝浏览', '超20万人店内购买']",曜石黑,1000+
华为手机 华为畅享70 X 华为2026新机上市手机 尊享版 大电池长续航 五星耐摔补贴 Mate 80 曜金黑 512GB 官方标配【赠1年延保+碎屏险+运费险】,2399.00,,迪旺手机专营店,10211526122281,"['双曲五星超耐摔', '超级NFC', '鸿蒙智慧通信']",曜金黑 512GB,0
HUERIAI旗舰顶配80Pro 5G手机 1TB超薄大屏 骁龙8+芯 8000mAh电池游戏电竞高刷全网通双卡双待百元便宜 鎏金色【补贴秒杀 | 今日特价】 20GB+1TB【1024GB】 官方标,1199.00,1万+,HUERI智趣专卖店,10208813121271,"['一亿像素超清拍照', '8000mAh电池', '26-49W快充', '超薄大屏']",鎏金色【补贴秒杀 | 今日特价】,500+
华为（HUAWEI）华为pura80 pro 24期免息可选 2025新机Power 8000mAh电池 自研C1+通讯芯片十面抗摔 防水防尘 雪原白 8GB+256GB 【荣耀power】 蓝牙套装,2489.00,200+,理妙实手机专营店,10206920748085,"['8000Ah电池', '大底主摄', 'FHD+屏幕', '自研C1通讯芯片']",雪原白 8GB+256GB 【荣耀power】,200+
小米 REDMI K80 国家补贴 第三代骁龙 8 6550mAh大电池 澎湃OS 雪岩白 12GB+256GB 红米5G手机,1999.00,100万+,小米京东自营旗舰店,100157830512,"['店铺被3000万人种草', '近7日热卖好货']",雪岩白,100万+
华为手机新品5G  mate80pro上市,2733.47,3000+,福购手机专营店,10189949499012,"['十倍耐摔', '华为巨鲸续航', '昆仑抗摔玻璃', 'OLED护眼']",24GB(12+12)+512GB 星空黑,2000+
HUAWEI Mate 80 16GB+512GB晨曦金 麒麟9020 第二代红枫影像鸿蒙AI 华为直屏鸿蒙手机,5499.00,8000+,京东手机直营旗舰店,100226469453,"['红外遥控', '大内存储', 'LTPO屏幕', 'AI智慧']",晨曦金,5000+
华为（HUAWEI）Mate60 正品智能手机旗舰鸿蒙智能AI手机男女正品国行pro补贴 Mate60【雅川青】 12GB+256GB 赠运费险|详情咨询客服,3098.00,2000+,速捷手机经营部,10191251968851,"['鸿蒙系统', '三防设计', '时尚外观', '商务风范']",Mate60【雅川青】,1000+
华为手机2025新机上市畅享 70X鸿蒙【12期|免息】五星超耐摔6100mAh巨鲸长续航地震预警北斗卫星通信 曜金黑 256GB 【官方标配】【赠：季度碎屏险】,1461.05,5000+,好机汇手机旗舰店,10194750378880,"['5万+手机达人加购', '25万+人浏览']",曜金黑,2000+
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+512GB 星海蓝 耳机套装【运费险+碎屏险+两年延保】,2733.47,3000+,福购手机专营店,10189949499015,"['华为新机上市', '昆仑抗摔玻璃', '华为巨鲸续航', 'IP64防护', '十倍耐摔', '红外遥控', '昆仑玻璃', 'OLED护眼']",24GB(12+12)+512GB 星海蓝,2000+
小米（MI）REDMI K80 至尊版 天玑9400+ 7410mAh大电池 砂岩灰 12GB+512GB 红米5G手机 国家补贴,2799.00,,小米京东自营旗舰店,100182833371,"['高像素拍摄', 'OLED直屏', '大电池续航', '拍照出色']",砂岩灰,20万+
华为5G新品 Hi畅享80 Pro 24期【免息】华为2025新机上市 昆仑玻璃十倍耐摔 OLED护眼屏 补贴80 星空黑【12+512GB】 蓝牙耳机套装|送3年保修+180天只换不修+碎屏险,2849.00,200+,云铸手机专营店,10195036476565,"['轻薄设计', 'OLED护眼', '大内存储', '高频PWM']",星空黑【12+512GB】,200+
HUAWEI Mate 80  第二代红枫影像 鸿蒙AI 超可靠玄武架构 华为直屏鸿蒙手机 曜石黑 12GB+512GB 官方标配,5399.00,3000+,华为礼象专卖店,10199734921579,"['第二代红枫影像', '超可靠玄武架构', '第二代']",曜石黑,2000+
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+512GB 晨光白 12期白条免息【运费险+碎屏险+两年延保】,2969.41,3000+,福购手机专营店,10189949499019,"['华为新机上市', '昆仑抗摔玻璃', '华为巨鲸续航']",24GB(12+12)+512GB 晨光白,2000+
HUERIAI旗舰顶配80Pro 5G手机 1TB超薄大屏 骁龙8+芯 8000mAh电池游戏电竞高刷全网通双卡双待百元便宜 雅黑色【补贴秒杀 | 今日特价】 20GB+1TB【1024GB】 官方标,1199.00,1万+,HUERI智趣专卖店,10208813121263,"['8000mAh', '一亿像素高清拍照', '骁龙8+处理器', '高刷电竞']",雅黑色【补贴秒杀 | 今日特价】,500+
荣耀Power2 12+512 旭日橙 10080mAh青海湖电池 天玑8500 Elite 电梯信号 5G AI 长续航手机,2999.00,6000+,荣耀通讯京东自营专区,100316982524,"['三防设计', '高频PWM', 'OLED屏', '超长续航', '大内存大存储', 'AI智能']",旭日橙,5000+
华为（HUAWEI）nova 15 华为手机新品上市 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏鸿蒙智能手机 幻夜黑 12GB+256GB 官方标配,2699.00,900+,华为大鹏专卖店,10205546013078,,幻夜黑,500+
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+512GB 晨光白 耳机套装【运费险+碎屏险+两年延保】,2733.47,3000+,福购手机专营店,10189949499018,"['华为新机上市', '昆仑抗摔玻璃', '华为巨鲸续航', 'IP64防护', '红外遥控', '快充续航', '十倍耐摔', '防尘防水', '昆仑玻璃', 'OLED护眼']",24GB(12+12)+512GB 晨光白,2000+
华为（HUAWEI）手机华为Pura80pro 24期免息可选 2026新机Power 8000mAh电池 power2 自研C1+通讯芯片 十面抗摔 旭日橙 12GB+256GB【荣耀power2】,3799.00,200+,麒源手机专营店,10210836207383,"['高频PWM', '自研通讯芯', '8000mAh', '十面抗摔']",旭日橙 12GB+256GB【荣耀power2】,200+
小米（MI）REDMI K80 至尊版 天玑9400+ 7410mAh大电池 砂岩灰 16GB+512GB 红米5G手机 国家补贴,3098.99,,小米京东自营旗舰店,100182833365,"['大电池续航', 'OLED直屏', '三防标准', 'D2独显芯片']",砂岩灰,20万+
华为Mate 70 Pro 重磅新品上市,2225.00,1000+,良纽手机专营店,10193265006857,"['只换不修', '2万+人加购', '安全守护', '300+人收藏']",晴空蓝8GB+256GB,1000+
【肖战同款】荣耀500 2亿人像,2699.00,,荣耀京东自营旗舰店,100296990470,"['荣耀绿洲护眼屏', '2亿人像全能实况', '青海湖电池', '三防标准']",曜石黑,10万+
【国家补贴】OPPO Reno14 5G手机,2799.00,30万+,OPPO京东自营旗舰店,100164968409,"['轻薄机身', 'AI拍照', '长寿耐用大电池', 'Live图神机']",人鱼姬,20万+
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+256GB 晨光白 耳机套装【运费险+碎屏险+两年延保】,2381.35,3000+,福购手机专营店,10189949499009,"['华为巨鲸续航', 'IP64防护', 'FHD+屏幕', '26-49W快充', '红外遥控', '华为新机上市', 'OLED护眼', '十倍耐摔', '昆仑抗摔玻璃', '昆仑玻璃']",24GB(12+12)+256GB 晨光白,2000+
OPPO Reno15 12GB+512GB 星光蝴蝶结 2亿像素 实况拼图 5G智能小直屏学生游戏AI拍照手机 新品国家补贴,3299.00,,OPPO京东自营旗舰店,100219066095,"['AI拍照', 'OLED屏', '512GB存', '天玑8450芯片']",星光蝴蝶结,10万+
荣耀Power2 12+512 旭日橙 10080mAh青海湖电池 天玑8500 Elite 电梯信号 5G AI 长续航手机,2999.00,,荣耀京东自营旗舰店,100310496358,"['天玑芯片', '续航持久', '10080mAh', '信号强劲']",旭日橙,5000+
华为手机新品5G  mate80pro上市,2322.53,3000+,福购手机专营店,10189949499003,"['十倍耐摔', '华为巨鲸续航', 'OLED护眼', 'IP64防护']",24GB(12+12)+256GB 星空黑,2000+
华为mete70pro手机 可选畅享70x  5G全网通 鸿蒙系统一键北斗 曲屏NFC 麒麟芯片 长续航闪充 防水防摔 512GB【湖光青】+送蓝牙耳机,2499.00,600+,慕霖轩手机专营店,10206652352215,"['IP64防护', '商务三防', '512GB大存', 'NFC便捷', '超耐摔机', '双曲护眼']",512GB【湖光青】+送蓝牙耳机,500+
华为手机2025新机上市畅享 70X鸿蒙【12期|免息】五星超耐摔6100mAh巨鲸长续航地震预警北斗卫星通信 曜金黑 256GB 【官方标配】【赠：季度碎屏险】,1461.05,5000+,好机汇手机旗舰店,10194750378880,"['5万+手机达人加购', '25万+人浏览']",曜金黑,2000+
华为智选新品5G手机 70plus 鸿蒙生态24期免息 智能红外线 40W巨鲸续航 抗摔防水耐用 选mate补贴80 雪域白【12+256GB】 官方标配【赠季度碎屏险+延保+蓝牙耳机】,1863.00,200+,乾诚手机专营店,10210918743834,"['智能红外遥控', '鸿蒙生态', '新品5G手机', '大气外观']",雪域白【12+256GB】,100+
Apple/苹果 iPhone 17 256GB 白色 支持移动联通电信5G 双卡双待手机,5999.00,,Apple产品京东自营旗舰店,100209267857,"['4800万像素', '自适应高刷', 'A19芯片']",白色,100万+
华为 nova 15 512GB 幻夜黑 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2799.00,1万+,京东手机自营旗舰店,100310638776,"['北斗卫星图片消息', '5000万像素', '鸿蒙AI', '轻薄设计']",幻夜黑,1000+
华为mate80pro手机 5G旗舰新品手机,2685.00,200+,华选手机店,10209202438477,"['红外遥控', '超级快充', '4千+手机达人加购']",幻夜黑12GB+512GB,100+
