标题,原价,销量,店名,id,卖点,颜色,评论,销量_数字
荣耀X70 8+128 月影白 金标十面抗摔 8300mAh青海湖电池 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1399.0,90万+,荣耀京东自营旗舰店,100248102682.0,"['金标十面抗摔', '8300mAh', '青海湖电池']",月影白,50万+,900000
荣耀X70 12+512 竹韵青 金标十面抗摔 80W无线超级快充 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1999.0,90万+,荣耀京东自营旗舰店,100248102656.0,"['金标十面抗摔', '8300mAh', '80W无线快充']",竹韵青,50万+,900000
【国家补贴】荣耀X70 12+512,1999.0,90万+,荣耀京东自营旗舰店,100248102660.0,"['快速充电', '护眼屏幕', '高频调光', '防水防尘']",幻夜黑,50万+,900000
荣耀X70 12+256 月影白  金标十面抗摔 8300mAh青海湖电池 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1799.0,90万+,荣耀京东自营旗舰店,100189191019.0,"['金标十面抗摔', '8300mAh', '青海湖电池']",月影白,50万+,900000
荣耀X70 8+256 朱砂红 金标十面抗摔 8300mAh青海湖电池 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1599.0,90万+,荣耀京东自营旗舰店,100248102684.0,"['金标十面抗摔', '8300mAh', '青海湖电池']",朱砂红,50万+,900000
荣耀X70 8+256 月影白 金标十面抗摔 8300mAh青海湖电池 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1599.0,90万+,荣耀京东自营旗舰店,100189191017.0,"['OLED直屏', '青海湖电池', '8300mAh', '金标十面抗摔']",月影白,50万+,900000
荣耀X70 8+256 幻夜黑 金标十面抗摔 8300mAh青海湖电池 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1599.0,90万+,荣耀京东自营旗舰店,100248102658.0,"['金标十面抗摔', 'IP69防水', 'OLED直屏', '高频PWM']",幻夜黑,50万+,900000
荣耀X70 12+512 朱砂红  金标十面抗摔 80W无线超级快充 IP69防水 荣耀绿洲护眼屏 AI手机 国家补贴,1999.0,90万+,荣耀京东自营旗舰店,100189191015.0,"['高频调光', '8300mAh', 'IP69防水', '绿洲护眼']",朱砂红,50万+,900000
华为Pura 70 12GB+512GB,3799.0,70万+,华为京东自营旗舰店,100123450364.0,"['双超级快充', '高频调光', '潜望长焦距', '轻薄便携带']",羽砂黑,50万+,700000
华为Pura 70 12GB+512GB,3799.0,70万+,华为京东自营旗舰店,100106087181.0,"['第二代昆仑玻璃', '卫星通信', '双超级快充', '潜望长焦']",雪域白,5万+,700000
荣耀GT 荣耀幻影引擎 第三代骁龙8 荣耀AI绿洲护眼电竞屏 12+256 极光绿 5G AI 新款游戏手机 国家补贴,1799.0,40万+,荣耀京东自营旗舰店,100162425358.0,"['NFC便捷', '大底主摄', '高频PWM', '荣耀幻影引擎']",极光绿,20万+,400000
荣耀GT 荣耀幻影引擎 第三代骁龙8 荣耀AI绿洲护眼电竞屏 12+512 幻影黑 5G AI 新款游戏手机 国家补贴,1999.0,40万+,荣耀京东自营旗舰店,100162425498.0,"['FHD+高清', '绿洲护眼电竞屏', 'OLED直屏', '12GB大内存']",幻影黑,2万+,400000
【国家补贴】荣耀GT 5G游戏手机,1799.0,40万+,荣耀京东自营旗舰店,100162425356.0,"['绿洲护眼电竞屏', '第三代骁龙8', 'IP65防护', '超强续航']",幻影黑,10万+,400000
荣耀GT 荣耀幻影引擎 第三代骁龙8 荣耀AI绿洲护眼电竞屏 12+256 冰晶白 5G AI 新款游戏手机 国家补贴,1799.0,40万+,荣耀京东自营旗舰店,100162425472.0,"['荣耀幻影引擎', 'OLED直屏', 'FHD+显示', 'IP65防护']",冰晶白,20万+,400000
荣耀GT 荣耀幻影引擎 第三代骁龙8 荣耀AI绿洲护眼电竞屏 12+512 冰晶白 5G AI 新款游戏手机 国家补贴,1999.0,40万+,荣耀京东自营旗舰店,100162469372.0,"['荣耀幻影引擎', '绿洲护眼电竞屏', '80-119W快充', '高速反应']",冰晶白,20万+,400000
小米REDMI Note14 金刚品质 5110mAh大电量 大光圈超感相机 8GB+128GB子夜黑 红米5G手机 国家补贴,888.0,30万+,小米京东自营旗舰店,100143837568.0,"['超长续航', '快速充电', '轻薄设计', '强劲性能']",子夜黑,20万+,300000
REDMI K90 12GB+256GB 白色,2598.99,30万+,小米京东自营旗舰店,100215674663.0,"['5000万像素', '时尚设计', '大电池续航', '7100毫安电池']",白色,20万+,300000
REDMI K90 16GB+256GB 黑色,2899.0,30万+,小米京东自营旗舰店,100215674637.0,"['80-119W快充', '5000万像素', '骁龙8至尊版', '7100毫安电池']",黑色,20万+,300000
小米REDMI K90 骁龙®8至尊版 7100mAh大电池 青山护眼 水蓝色 12GB+256GB 红米5G手机国家补贴,2598.99,30万+,小米京东自营旗舰店,100287793026.0,"['超级像素护眼屏', '1.5K高清屏', '5000万像素', '简约风设计']",水蓝色,20万+,300000
OPPO Reno14 12GB+512GB 礁石黑 高清长焦实况 全新小直屏Live图 AI拍照5G智能手机 学生游戏 国家补贴,3099.0,30万+,OPPO京东自营旗舰店,100212441628.0,"['长寿耐用大电池', 'Live图神机', '满级防水', 'OLED屏']",礁石黑,20万+,300000
小米REDMI K90 骁龙®8至尊版 7100mAh大电池 青山护眼 浅紫色 12GB+256GB 红米5G手机国家补贴,2598.99,30万+,小米京东自营旗舰店,100215674651.0,"['超快充电', '1.5K高清摄', '7100毫安电池', '骁龙8至尊版']",浅紫色,20万+,300000
小米REDMI K90 骁龙®8至尊版 7100mAh大电池 青山护眼 黑色 12GB+512GB 红米5G手机国家补贴,2899.0,30万+,小米京东自营旗舰店,100287792994.0,"['防水防尘', 'OLED直屏', '3D冰封散热', '青山护眼']",黑色,20万+,300000
小米REDMI K90 骁龙®8至尊版 7100mAh大电池 青山护眼 黑色 12GB+256GB 红米5G手机国家补贴,2598.99,30万+,小米京东自营旗舰店,100287758128.0,"['防水防尘', '7100毫安电池', '骁龙8至尊版', '超清主摄']",黑色,20万+,300000
【国家补贴】OPPO Reno14 5G手机,2799.0,30万+,OPPO京东自营旗舰店,100164968409.0,"['轻薄机身', 'AI拍照', '长寿耐用大电池', 'Live图神机']",人鱼姬,20万+,300000
一加 13 16GB+512GB 蓝调时刻 oppo 国家补贴 高通骁龙®8至尊版 6000mAh 冰川电池 智能AI游戏5G手机 京东自营,4199.0,30万+,一加手机京东自营旗舰店,100123790095.0,"['100万+人浏览', '2K高刷护眼屏', '3万+人已买']",蓝调时刻,20万+,300000
小米 REDMI Note14,888.0,30万+,小米京东自营旗舰店,100119685899.0,"['OLED直屏', '轻薄设计', '高效处理器', '超强续航']",星辉白,20万+,300000
荣耀400 AI 2亿超清写真人像 7200mAh青海湖大电池 12+512 海风蓝 5G AI 新款 学生 拍照手机 国家补贴,2599.0,30万+,荣耀京东自营旗舰店,100222882416.0,"['OLED直屏', '大电池续航', '2亿写真人像', '青海湖电池']",海风蓝,2万+,300000
一加 13 16GB+512GB 黑曜秘境 oppo 国家补贴 高通骁龙®8至尊版 6000mAh 冰川电池 智能AI游戏5G手机 京东自营,4199.0,30万+,一加手机京东自营旗舰店,100149996442.0,"['100万+手机达人浏览', '9千+人收藏']",黑曜秘境,20万+,300000
荣耀400 AI 2亿超清写真人像 7200mAh青海湖大电池 12+512 幻夜黑 5G AI 新款 学生 拍照手机 国家补贴,2599.0,30万+,荣耀京东自营旗舰店,100172364637.0,"['大电池续航', '高频PWM', '2亿写真人像', 'OLED直屏']",幻夜黑,20万+,300000
OPPO K12s 12GB+512GB 棱镜黑 7000mAh长续航大电池 OLED 直屏 骁龙学生 5G游戏千元新款手机 国家补贴,1699.0,20万+,OPPO京东自营旗舰店,100163936607.0,"['120Hz直屏', '红外遥控', '高清显示', '第四代骁龙6']",棱镜黑,10万+,200000
【国家补贴】荣耀Play10T AI手机,999.0,10万+,荣耀京东自营旗舰店,100277046648.0,"['AI 一键直达', '超长续航', '抗摔防水', '超强防摔']",幻夜黑,5万+,100000
OPPO K13 Turbo Pro 16GB+512GB 黑武士 变频主动散热风扇 第四代骁龙8s 5G防水游戏OPPO手机 国家补贴,2699.0,10万+,OPPO京东自营旗舰店,100244498476.0,"['长续航电池', '疾风散热引擎', '第四代骁龙8s', 'OLED直屏']",黑武士,10万+,100000
OPPO K13 Turbo Pro 16GB+512GB 骑士银 疾风散热引擎 第四代骁龙8s 5G防水游戏 OPPO手机 国家补贴,2699.0,10万+,OPPO京东自营旗舰店,100186787561.0,"['三防标准', '疾风散热引擎', '骁龙8s芯', '潮汐引擎']",骑士银,10万+,100000
vivo Y37c 超长续航,709.0,10万+,vivo京东自营旗舰店,100165699723.0,"['大电量持久', '150%大音量', 'AI拍摄精彩', '六面抗摔']",钛金,5万+,100000
vivo Y300t 12GB+512GB 岩白 国家补贴 6500mAh超薄蓝海电池 天玑7300长久流畅芯 全功能NFC AI手机,1699.0,9万+,vivo京东自营旗舰店,100154164101.0,"['长久流畅', '全功能NFC', '天玑7300', 'AI智能']",岩白,5万+,90000
vivo Y300t 超长续航,1299.0,9万+,vivo京东自营旗舰店,100195576176.0,"['全功能NFC', 'AI智能', 'FHD+屏幕', '天玑7300']",海蓝,5万+,90000
vivo Y300t手机12GB+512GB,1699.0,9万+,vivo京东自营旗舰店,100154164105.0,"['天玑7300', 'FHD+屏幕', '6500mAh', '军标测试']",海蓝,5万+,90000
华为 nova 14  512GB 凝霜白 后置多焦段质感人像 鸿蒙AI 100W超级快充 华为手机【赠话费券】国家补贴,2299.0,8万+,京东手机自营旗舰店,100229686896.0,"['鸿蒙AI', '100W快充', '多焦段人像三摄', '大底主摄']",凝霜白,5000+,80000
华为nova14 12+256 羽砂黑,2049.0,8万+,京东手机自营旗舰店,100176903645.0,"['全焦段影像', '北斗卫星图片消息', '鸿蒙AI', '多焦段人像三摄']",羽砂黑,1万+,80000
华为畅享 70X活力版 256GB 曜金黑 华为巨鲸超能长续航 双五星超耐摔 华为手机【赠话费券】国家补贴 京东自营,1349.0,8万+,京东手机自营旗舰店,100210604060.0,,曜金黑,2万+,80000
华为畅享 80 8+256 曜金黑,1149.0,8万+,京东手机自营旗舰店,100167328313.0,"['5000万像素', '高清拍摄', '玄甲架构', '双五星超耐摔']",曜金黑,2万+,80000
华为 nova 14  512GB 冰晶蓝 后置多焦段质感人像 鸿蒙AI 100W超级快充 华为手机【赠话费券】国家补贴,2299.0,8万+,京东手机自营旗舰店,100229686894.0,"['北斗卫星图片消息', '多焦段人像三摄', '高清大屏', '长续航电池']",冰晶蓝,5000+,80000
一加 Turbo 6 12GB+256GB 追光银 oppo 9000mAh冰川电池  165Hz高刷东方屏 智能游戏电竞手机 国家补贴,2299.0,7万+,一加手机京东自营旗舰店,100309764698.0,"['追光银设计', '电竞三芯', '超高刷东方屏', '性能超新星']",追光银,5万+,70000
【国家补贴】荣耀300 Ultra,2699.0,5万+,荣耀京东自营旗舰店,100159822748.0,"['超清成像', '流畅体验', '高效运算', '超声波指纹']",墨岩黑,2万+,50000
荣耀X70 12+512 幻夜黑 金标十面抗摔 80W无线超级快充 IP69防水 AI手机【赠话费券】国家补贴,1999.0,5万+,京东手机自营旗舰店,100257209568.0,"['NFC功能', '红外遥控', '荣耀最大电池', '防水防尘']",幻夜黑,2万+,50000
【准新机】Apple【至快次日达】苹果17promax 国行正品,10187.0,5万+,聚纹荟手机买手店,10187677543439.0,,17Promax  6.9英寸    星宇橙色,5000+,50000
荣耀畅玩70 Plus 12+256 幻夜黑 新款大屏AI 7000mAh超大电池 5G手机【赠话费券】国家补贴,1269.0,3万+,京东手机自营旗舰店,100264777540.0,"['大屏体验', 'AI功能方便', '耐用抗造', '超长续航']",幻夜黑,2万+,30000
荣耀畅玩70 Plus 12+256 晓山青 新款大屏AI 7000mAh超大电池 5G手机【赠话费券】国家补贴,1269.0,3万+,京东手机自营旗舰店,100264777548.0,"['AI拍摄', '耐用抗造', 'AI功能方便', '超长续航']",晓山青,2万+,30000
OPPO A6 Pro 16GB+512GB 墨玉黑 7000mAh大电池长续航 IP69防水 流畅抗摔耐用 5G智能手机 国家补贴,2499.0,3万+,OPPO京东自营旗舰店,100269753882.0,"['越级流畅双引擎', '时尚外观', '5000万像素', 'NFC功能']",墨玉黑,2万+,30000
荣耀畅玩70 Plus  12+512幻夜黑,1439.0,3万+,京东手机自营旗舰店,100200300263.0,"['AI功能方便', '耐用抗造', '超大电池', '大屏体验']",幻夜黑,2万+,30000
OPPO A6 GT 12GB+512GB 岩雾蓝 IP69防水 抗摔耐用流畅 5G智能手机 长续航 骁龙 自营正品 国家补贴,2099.0,3万+,OPPO京东自营旗舰店,100269753886.0,"['5000万像素', '7000mAh', 'FHD+屏幕', '360° 抗摔']",岩雾蓝,2万+,30000
OPPO Reno15 12GB+512GB,3299.0,2万+,OPPO官方旗舰店,10196534823895.0,"['超清影像', '高频PWM', '运动芭蕾美学', 'AI拍照']",星光蝴蝶结,2万+,20000
甄选荣耀P80Pro手机1TB大内存7800mAh快充长续航骁龙8电竞学生原装 香颂绿 12G运行+128G内存 官方标配,1168.0,2万+,国货全网通经营部,10152206694263.0,,香颂绿,1万+,20000
vivo Y300t 12GB+512GB 海蓝 国家补贴 超薄蓝海电池 天玑7300长久流畅芯 拍照 AI手机【移动补贴】,1699.0,2万+,中国移动京东自营旗舰店,100205029286.0,"['长久流畅', 'AI拍照', '全功能NFC', '军工级耐用品质']",海蓝,1万+,20000
HUERIAI旗舰顶配80Pro 5G手机 1TB超薄大屏 骁龙8+芯 8000mAh电池游戏电竞高刷全网通双卡双待百元便宜 鎏金色【补贴秒杀 | 今日特价】 20GB+1TB【1024GB】 官方标,1199.0,1万+,HUERI智趣专卖店,10208813121271.0,"['一亿像素超清拍照', '8000mAh电池', '26-49W快充', '超薄大屏']",鎏金色【补贴秒杀 | 今日特价】,500+,10000
华为 nova 15 512GB 零度白 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2799.0,1万+,京东手机自营旗舰店,100310638774.0,"['麒麟8020芯片', '北斗卫星图片消息', '红枫影像', '高频PWM']",零度白,500+,10000
【小米官方旗舰店】REDMI K90,2599.0,1万+,小米手机官方旗舰店,10190208183274.0,"['骁龙8至尊版', '7100mAh', '100W快充', '2.5X长焦镜']",黑色,1万+,10000
华为 nova 15 512GB 带感绿 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2799.0,1万+,京东手机自营旗舰店,100232782605.0,"['红枫影像', '北斗卫星图片消息', '臻彩OLED', '鸿蒙AI']",带感绿,200+,10000
荣耀X70 12+512 月影白 金标十面抗摔 80W无线超级快充 IP69防水 荣耀绿洲护眼屏 AI手机 【京东快递】,1899.0,1万+,京东手机直营旗舰店,100195749051.0,"['OLED直屏', '抗摔耐用', '高频PWM', '80W快充']",月影白,1万+,10000
华为 nova 15 256GB带感绿,2499.0,1万+,京东手机自营旗舰店,100310638812.0,"['高频调光', '北斗卫星图片消息', '5000万像素', '鸿蒙AI']",带感绿,200+,10000
华为智选手机新机2025上市5Ghi畅享80S系列【12期|免息】原装正品地震预警红外遥控抗摔防水耐用双五星 晴空蓝12G(6+6)+128G 【官方标配】+180天只换不修,899.0,1万+,好机汇手机旗舰店,10160905158187.0,"['10万+人加购', '近30日人气商品', '抗摔防水']",晴空蓝12G(6+6)+128G,1万+,10000
华为智选手机新机2025上市5Ghi畅享80S系列【12期|免息】原装正品地震预警红外遥控抗摔防水耐用双五星 晴空蓝12G(6+6)+128G 【官方标配】+180天只换不修,899.0,1万+,好机汇手机旗舰店,10160905158187.0,,晴空蓝12G(6+6)+128G,1万+,10000
5G旗舰 华为mate80pro手机自选,2898.0,1万+,华星通讯手机店,10159334864006.0,"['昆仑玻璃', 'AI智慧', '抗摔防水', '玄甲机身']",星空黑 12G+512GB,5000+,10000
荣耀X70 12+512 朱砂红 金标十面抗摔 80W无线超级快充 IP69防水 荣耀绿洲护眼屏 AI手机【京东快递】,1899.0,1万+,京东手机直营旗舰店,100257938642.0,"['十面抗摔', '512GB大存', '高频PWM', 'OLED直屏']",朱砂红,1万+,10000
HUAWEI Mate 80 12GB+256GB曜石黑 麒麟9020 第二代红枫影像鸿蒙AI 华为手机【赠话费券】,4699.0,1万+,京东手机自营旗舰店,100226416337.0,"['第二代红枫影像', '户外探索模式', '第二代昆仑玻璃', 'AI大模型', '防水防尘', 'NFC功能', '全焦段影像', '红外遥控']",曜石黑,200+,10000
华为 nova 15 256GB零度白,2499.0,1万+,京东手机自营旗舰店,100232782603.0,"['鸿蒙AI', '北斗卫星图片消息', '麒麟8020芯片', '5000万像素']",零度白,1000+,10000
小米（MI）REDMI K90 6.59英寸手机红米k90 骁龙8至尊版 2.5X长焦 7100mAh大电池 Bose联合调音 IP68防尘防水 白色 12GB+512GB,2899.0,1万+,小米手机官方旗舰店,10190208183280.0,"['骁龙8至尊版', '9万+人加购', '防尘防水', '7100mAh']",白色,1万+,10000
华为 nova 15 512GB 好搭紫 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2799.0,1万+,京东手机自营旗舰店,100232782561.0,"['北斗卫星图片消息', '麒麟8020芯片', '鸿蒙AI']",好搭紫,1000+,10000
华为手机新品mate70pro上市,1488.0,1万+,卓选数码手机店,10163252658600.0,"['95万+人浏览', '20万+人加购', '近7日人气商品']",曜石黑 6GB+128GB,5000+,10000
华为畅享70X 尊享版512GB 星海蓝,1889.0,1万+,京东手机自营旗舰店,100302372810.0,"['麒麟芯片', '高清摄影', '双曲护眼屏', '巨鲸长续航']",星海蓝,2万+,10000
华为 nova 15 256GB 好搭紫 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2499.0,1万+,京东手机自营旗舰店,100310638814.0,"['AI影像', '大屏显示', '麒麟8020芯片', '轻薄设计']",好搭紫,500+,10000
HUERIAI旗舰顶配80Pro 5G手机 1TB超薄大屏 骁龙8+芯 8000mAh电池游戏电竞高刷全网通双卡双待百元便宜 雅黑色【补贴秒杀 | 今日特价】 20GB+1TB【1024GB】 官方标,1199.0,1万+,HUERI智趣专卖店,10208813121263.0,"['8000mAh', '一亿像素高清拍照', '骁龙8+处理器', '高刷电竞']",雅黑色【补贴秒杀 | 今日特价】,500+,10000
小米（MI）REDMI K90 6.59英寸手机红米k90 骁龙8至尊版 2.5X长焦 7100mAh大电池 Bose联合调音 IP68防尘防水 白色 12GB+256GB,2599.0,1万+,小米手机官方旗舰店,10190208183279.0,"['商务风格', '长焦拍摄', '大电池续航', '100W快充']",白色,1万+,10000
华为畅享 70X 尊享版 256GB 曜金黑 6100mAh华为巨鲸长续航 麒麟8000芯片华为手机【赠话费券】 京东自营,1699.0,1万+,京东手机自营旗舰店,100226583809.0,"['9千+店铺粉丝浏览', '2万+手机达人加购']",曜金黑,2万+,10000
华为（HUAWEI）智选畅享80Pro 5G手机【限时补贴】昆仑玻璃10倍耐摔 鸿蒙 6100mAh+40W巨鲸续航护眼屏 游戏学生 12GB+512GB 星空黑 标配 【赠延保+碎屏保】,2899.0,1万+,优品手机通讯专营店,10173971058239.0,"['抗摔防水', '本店手机热销第1名', '鸿蒙安全守护']",12GB+512GB 星空黑,1万+,10000
HUERIAI旗舰顶配80Pro 5G手机 1TB超薄大屏 骁龙8+芯 8000mAh电池游戏电竞高刷全网通双卡双待百元便宜 鎏金色【补贴秒杀 | 今日特价】 16GB+256GB 官方标配,1099.0,1万+,HUERI智趣专卖店,10208813121267.0,"['骁龙8+处理器', '一亿像素超清拍照', '2026旗舰新款', '8000mAh', '高刷屏幕', '大气外观', '超薄大屏', '双卡双待']",鎏金色【补贴秒杀 | 今日特价】,500+,10000
OPRDX16Pro手机2026新品6年质保5G双卡全网通1TB大内存7800mAh快充大电池抗摔防水高清护眼拍照 钛沙金 12G运行+256G内存,1398.0,1万+,OPRD官方旗舰店,10144477677036.0,"['已售10万+', 'OP旗舰新品', '抗摔防水', '三防标准']",钛沙金,5000+,10000
华为 nova 15 512GB 幻夜黑 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2799.0,1万+,京东手机自营旗舰店,100310638776.0,"['北斗卫星图片消息', '5000万像素', '鸿蒙AI', '轻薄设计']",幻夜黑,1000+,10000
华为 nova 15 256GB 幻夜黑 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2499.0,1万+,京东手机自营旗舰店,100310638736.0,"['轻薄设计', '鸿蒙AI', 'FHD+显示', '5000万像素']",幻夜黑,2000+,10000
新品华为mate70pro手机上市,1488.0,1万+,卓选数码手机店,10163252658600.0,"['地震预警', '红外遥控', '抗摔耐用', '大电池续航']",曜石黑 6GB+128GB,5000+,10000
华为2026热销 5G新品 智选80 Pro手机 红外遥控 AI智慧助手昆仑玻璃+玄甲机身 华为鸿蒙生态手机 mate 星海蓝 12G+512GB 蓝牙套装版丨送3年保修+180天只换不修+碎屏保,2898.0,1万+,华星通讯手机店,10159334864000.0,"['鸿蒙生态', '抗摔防水', '玄甲机身', '12G内存']",星海蓝 12G+512GB,5000+,10000
华为2026热销手机 鸿蒙新品70X 北斗卫星通信 支持NFC 玄甲机身抗跌耐摔 大电池长续航 地震预警 Mate 耀金黑【512GB】 蓝牙套装版丨3年质保+180天只换不...,2999.0,9000+,品宴手机通讯专营店,10122791293735.0,"['北斗卫星通信', '华为鸿蒙系统', '超长续航', '高性能处理']",耀金黑【512GB】,5000+,9000
华为2026热销手机 鸿蒙新品70X 北斗卫星通信 支持NFC 玄甲机身抗跌耐摔 大电池长续航 地震预警 Mate 雪域白【512GB】 蓝牙套装版丨3年质保+180天只换不修+碎屏险,2999.0,9000+,品宴手机通讯专营店,10122791293737.0,"['长续航', '7万+人加购', '800+人收藏', '只换不修']",雪域白【512GB】,5000+,9000
HUAWEI Mate 80 16GB+512GB晨曦金 麒麟9020 第二代红枫影像鸿蒙AI 华为直屏鸿蒙手机,5499.0,8000+,京东手机直营旗舰店,100226469453.0,"['红外遥控', '大内存储', 'LTPO屏幕', 'AI智慧']",晨曦金,5000+,8000
华为Mate60 手机 mate60pro国行手机旗舰鸿蒙智能AI手机麒麟芯片正品国行pro补贴智能 mate60Pro【雅丹黑】 12G+256G 支持7天试用赠送适配充电器,3489.0,8000+,潮机社手机优选拼购店,10190139635870.0,"['OLED直屏', '鸿蒙系统', '低价特卖', '现货速发']",mate60Pro【雅丹黑】,2000+,8000
OPPO A6 Pro 16GB+512GB 流水生金 耐用新一代 强悍更流畅 7000mAh大电池 IP69防水 5G学生智能手机,2299.0,8000+,OPPO京东自营专卖店,100270329578.0,"['IP69 防水', '军标测试', '时尚外观', '越级流畅双引擎']",流水生金,5000+,8000
华为手机智选80pro新品5G旗舰 红外遥控 昆仑玻璃 海量双存 鸿蒙守护五星级防水抗摔巨量电池+极速快充 晨光白12+512GB 蓝牙耳机套装版|180天只换不修+3年保修+碎屏险,3031.0,7000+,京贸手机专营店,10199103516105.0,"['海量内存大电池', '新品5G旗舰', '鸿蒙安全守护', '巨量电池', '昆仑玻璃', '高频PWM', '海量双存', '红外遥控', 'SGS抗摔', '高速快充']",晨光白12+512GB,5000+,7000
